Date,Open,High,Low,Close,Volume
31-Dec-14,14.40,14.40,14.39,14.39,2238
30-Dec-14,14.20,14.40,14.18,14.37,1121
29-Dec-14,14.23,14.40,14.21,14.40,11555
26-Dec-14,14.40,14.40,14.16,14.17,4271
24-Dec-14,14.13,14.43,14.13,14.42,1578
23-Dec-14,14.45,14.45,14.34,14.41,5214
22-Dec-14,14.12,14.53,14.12,14.39,13560
19-Dec-14,14.26,14.40,14.05,14.27,169291
18-Dec-14,14.27,14.40,14.11,14.23,14935
17-Dec-14,14.33,14.65,14.06,14.20,11062
16-Dec-14,14.01,14.48,14.01,14.46,34343
15-Dec-14,14.43,14.73,13.93,14.11,7254
12-Dec-14,14.68,14.90,13.92,14.48,21957
11-Dec-14,14.55,14.83,14.55,14.74,12148
10-Dec-14,14.71,14.94,14.36,14.41,14395
9-Dec-14,13.99,14.75,13.98,14.75,62570
8-Dec-14,13.91,13.99,13.91,13.98,29278
5-Dec-14,13.90,13.99,13.89,13.99,8771
4-Dec-14,13.87,13.90,13.83,13.89,5791
3-Dec-14,13.95,13.98,13.82,13.90,3550
2-Dec-14,13.82,13.94,13.81,13.94,5695
1-Dec-14,13.81,13.89,13.81,13.88,17319
28-Nov-14,13.97,13.98,13.90,13.90,641
26-Nov-14,13.95,13.95,13.95,13.95,2900
25-Nov-14,13.83,13.98,13.83,13.96,8033
24-Nov-14,13.85,13.86,13.78,13.85,35386
21-Nov-14,13.85,13.85,13.80,13.85,10067
20-Nov-14,13.82,13.85,13.81,13.84,5251
19-Nov-14,13.71,13.99,13.71,13.85,7584
18-Nov-14,13.88,13.90,13.71,13.78,12532
17-Nov-14,13.76,13.98,13.60,13.93,45854
14-Nov-14,13.77,13.77,13.51,13.75,29923
13-Nov-14,13.83,13.83,13.61,13.81,36160
12-Nov-14,13.83,13.86,13.75,13.78,41859
11-Nov-14,13.87,13.99,13.82,13.86,44311
10-Nov-14,13.95,13.95,13.80,13.89,23053
7-Nov-14,13.77,13.99,13.75,13.85,60534
6-Nov-14,13.70,13.85,13.70,13.83,56382
5-Nov-14,13.60,13.79,13.60,13.77,16616
4-Nov-14,13.84,13.84,13.70,13.71,4830
3-Nov-14,13.49,13.83,13.48,13.78,33488
31-Oct-14,13.25,13.40,13.20,13.40,100703
30-Oct-14,13.14,13.20,13.01,13.20,24550
29-Oct-14,12.99,13.17,12.98,13.13,16590
28-Oct-14,13.15,13.19,13.00,13.01,47390
27-Oct-14,13.08,13.13,12.96,13.06,20458
24-Oct-14,13.00,13.04,12.96,13.04,11832
23-Oct-14,12.98,13.08,12.95,13.08,38161
22-Oct-14,13.09,13.10,13.02,13.02,17345
21-Oct-14,13.00,13.09,12.94,13.09,40727
20-Oct-14,13.01,13.04,13.00,13.01,47024
17-Oct-14,13.00,13.05,13.00,13.04,58275
16-Oct-14,12.97,13.02,12.80,12.95,95217
15-Oct-14,13.02,13.04,12.84,13.00,97232
14-Oct-14,13.09,13.09,13.01,13.02,81302
13-Oct-14,13.01,13.08,12.97,13.01,139217
10-Oct-14,13.14,13.14,13.00,13.07,148251
9-Oct-14,13.20,13.23,13.06,13.16,92180
8-Oct-14,13.16,13.23,13.14,13.20,140548
7-Oct-14,13.15,13.20,13.05,13.07,170588
6-Oct-14,13.20,13.22,13.15,13.17,135982
3-Oct-14,13.15,13.23,13.13,13.22,204392
2-Oct-14,13.25,13.25,13.01,13.15,448948
1-Oct-14,12.60,13.32,12.60,13.28,2893174
