Date,Open,High,Low,Close,Volume
31-Dec-14,92.10,92.10,90.64,90.77,35407
30-Dec-14,91.33,92.19,88.00,91.54,23584
29-Dec-14,90.01,91.81,89.67,91.23,68139
26-Dec-14,90.68,90.90,89.75,89.81,28167
24-Dec-14,90.31,91.70,90.31,90.77,30548
23-Dec-14,89.92,90.76,89.30,90.40,26933
22-Dec-14,88.60,89.73,88.60,89.52,40857
19-Dec-14,88.71,89.38,88.43,88.58,141341
18-Dec-14,89.20,89.53,88.86,89.43,40706
17-Dec-14,88.75,89.70,88.10,88.95,43196
16-Dec-14,88.02,90.10,88.02,88.75,63434
15-Dec-14,91.62,91.97,88.19,88.76,67944
12-Dec-14,91.37,92.55,90.67,90.79,20969
11-Dec-14,92.24,93.17,91.33,92.05,39253
10-Dec-14,92.97,93.71,91.25,91.78,22076
9-Dec-14,92.98,94.00,90.96,92.61,40361
8-Dec-14,89.59,94.00,89.59,93.35,76869
5-Dec-14,90.34,90.35,89.01,89.59,17406
4-Dec-14,88.52,89.91,88.00,89.73,23970
3-Dec-14,88.69,88.69,87.85,88.34,21202
2-Dec-14,87.36,88.75,87.36,88.20,13741
1-Dec-14,87.11,87.50,86.70,86.77,21289
28-Nov-14,87.79,88.32,87.10,87.23,12729
26-Nov-14,87.69,88.10,87.03,87.54,22762
25-Nov-14,86.77,87.46,86.38,87.29,37033
24-Nov-14,85.38,87.20,85.38,86.92,47265
21-Nov-14,85.80,85.99,85.18,85.41,23400
20-Nov-14,84.14,85.16,84.14,85.16,44900
19-Nov-14,84.90,84.90,84.15,84.66,8991
18-Nov-14,85.34,85.80,84.65,84.78,27247
17-Nov-14,84.70,85.34,84.16,85.09,23544
14-Nov-14,86.00,86.00,84.47,84.71,18515
13-Nov-14,85.23,86.00,85.23,85.85,17728
12-Nov-14,85.69,85.86,85.15,85.48,22743
11-Nov-14,86.00,86.00,85.12,85.64,21839
10-Nov-14,85.41,86.00,85.24,85.81,38240
7-Nov-14,84.98,85.72,84.53,85.50,25156
6-Nov-14,85.79,86.00,84.24,85.00,34524
5-Nov-14,86.00,86.00,85.23,85.49,42941
4-Nov-14,85.15,85.87,84.43,85.87,35866
3-Nov-14,85.12,85.35,83.10,85.00,39128
31-Oct-14,83.10,85.30,83.10,84.87,55525
30-Oct-14,84.08,84.67,83.28,84.53,26742
29-Oct-14,84.00,84.94,83.48,83.80,40586
28-Oct-14,83.52,84.00,82.31,83.99,38542
27-Oct-14,82.25,83.09,81.58,82.84,28557
24-Oct-14,82.33,82.38,81.51,82.25,35428
23-Oct-14,82.02,82.40,81.59,81.97,45852
22-Oct-14,80.59,81.98,80.55,81.31,57374
21-Oct-14,79.81,80.50,79.27,80.29,74530
