Date,Open,High,Low,Close,Volume
31-Dec-14,5.25,6.50,5.25,6.50,6500
30-Dec-14,5.50,6.26,5.50,5.50,2300
29-Dec-14,5.00,5.00,5.00,5.00,3200
23-Dec-14,5.00,5.00,5.00,5.00,2632
19-Dec-14,5.00,5.00,5.00,5.00,2501
18-Dec-14,5.00,5.00,5.00,5.00,1504
9-Dec-14,5.00,5.00,5.00,5.00,4500
4-Dec-14,5.00,5.00,5.00,5.00,130
25-Nov-14,4.36,4.36,4.30,4.30,1040
24-Nov-14,5.50,5.50,5.50,5.50,348
21-Nov-14,5.00,5.00,5.00,5.00,250
19-Nov-14,5.00,5.00,4.74,4.74,200
14-Nov-14,5.00,5.00,4.75,4.75,1500
13-Nov-14,4.88,5.00,4.88,5.00,750
12-Nov-14,4.76,5.00,4.75,5.00,3250
11-Nov-14,5.25,5.25,5.25,5.25,450
10-Nov-14,5.25,5.25,5.25,5.25,1050
6-Nov-14,5.00,5.00,5.00,5.00,3143
5-Nov-14,5.00,5.00,5.00,5.00,808
4-Nov-14,4.95,4.95,4.95,4.95,1020
3-Nov-14,5.00,5.00,5.00,5.00,500
31-Oct-14,5.25,5.25,5.25,5.25,1000
29-Oct-14,5.49,5.50,5.49,5.50,1000
28-Oct-14,5.50,5.50,5.01,5.49,1725
23-Oct-14,5.00,5.50,4.99,5.50,3800
22-Oct-14,5.00,5.00,5.00,5.00,2515
20-Oct-14,5.00,5.00,5.00,5.00,2637
17-Oct-14,4.97,4.98,4.80,4.80,2800
16-Oct-14,5.16,5.16,4.99,4.99,5280
15-Oct-14,5.00,5.01,4.52,5.01,47888
14-Oct-14,5.99,5.99,5.99,5.99,1000
10-Oct-14,6.50,6.50,6.50,6.50,1737
9-Oct-14,6.50,6.50,6.50,6.50,9000
7-Oct-14,6.50,7.00,6.50,7.00,2450
6-Oct-14,6.95,7.05,6.51,7.00,29405
3-Oct-14,6.50,7.10,6.50,7.04,121750
2-Oct-14,6.50,6.55,6.20,6.50,72550
1-Oct-14,8.05,8.05,6.05,6.05,25001
30-Sep-14,6.10,10.00,6.04,8.05,145040
29-Sep-14,6.05,6.05,6.04,6.04,24000
26-Sep-14,6.00,6.00,6.00,6.00,140
23-Sep-14,10.00,10.00,6.25,7.48,90005
22-Sep-14,11.51,11.51,11.50,11.50,1857
28-Aug-14,11.50,11.50,11.50,11.50,749
26-Aug-14,8.00,10.50,7.95,10.50,891
14-Aug-14,11.85,11.85,11.85,11.85,436
11-Aug-14,11.85,11.85,11.85,11.85,115
6-Aug-14,11.80,11.80,11.80,11.80,451
5-Aug-14,9.00,16.00,9.00,16.00,400
31-Jul-14,7.00,7.00,7.00,7.00,366
29-Jul-14,10.00,10.00,10.00,10.00,100
7-Jul-14,6.25,6.25,6.25,6.25,100
7-Apr-14,6.50,6.50,6.50,6.50,167
4-Apr-14,7.75,7.75,7.75,7.75,1030
31-Mar-14,7.30,7.70,7.25,7.70,766
27-Mar-14,8.00,8.00,8.00,8.00,120
25-Mar-14,8.00,8.00,8.00,8.00,320
13-Mar-14,8.00,8.00,8.00,8.00,120
5-Mar-14,10.00,10.00,10.00,10.00,200
25-Feb-14,8.05,10.00,8.05,10.00,628
20-Feb-14,10.90,10.90,10.90,10.90,418
19-Feb-14,8.31,8.31,8.31,8.31,100
14-Feb-14,11.00,11.00,11.00,11.00,100
12-Feb-14,10.99,10.99,10.99,10.99,201
11-Feb-14,11.50,12.00,9.50,9.50,767
7-Feb-14,10.00,11.00,10.00,11.00,419
6-Feb-14,8.00,10.00,8.00,10.00,402
5-Feb-14,6.75,6.75,6.75,6.75,250
3-Feb-14,8.00,8.00,8.00,8.00,100
30-Jan-14,10.01,10.01,10.00,10.00,450
29-Jan-14,10.00,10.00,10.00,10.00,401
24-Jan-14,10.00,10.00,8.00,8.00,770
