Date,Open,High,Low,Close,Volume
31-Dec-14,1.41,1.61,1.41,1.61,6049
30-Dec-14,1.43,1.47,1.43,1.46,2981
29-Dec-14,1.55,1.60,1.55,1.59,2100
26-Dec-14,1.49,1.58,1.48,1.56,4245
24-Dec-14,1.34,1.47,1.32,1.47,2994
23-Dec-14,1.38,1.45,1.37,1.40,7483
22-Dec-14,1.45,1.45,1.24,1.38,17121
19-Dec-14,1.48,1.64,1.45,1.45,3959
18-Dec-14,1.54,1.59,1.48,1.52,9103
17-Dec-14,1.65,1.65,1.40,1.51,1616
16-Dec-14,1.48,1.70,1.48,1.67,5273
15-Dec-14,1.48,1.48,1.48,1.48,5050
12-Dec-14,1.42,1.51,1.36,1.44,10964
11-Dec-14,1.60,1.60,1.34,1.44,2934
10-Dec-14,1.79,1.79,1.57,1.61,2545
9-Dec-14,1.52,1.52,1.52,1.52,204
8-Dec-14,1.49,1.59,1.49,1.59,8350
5-Dec-14,1.46,1.48,1.46,1.48,800
4-Dec-14,1.40,1.45,1.40,1.45,4542
3-Dec-14,1.38,1.38,1.38,1.38,200
2-Dec-14,1.45,1.45,1.45,1.45,200
1-Dec-14,1.45,1.47,1.45,1.47,3901
28-Nov-14,1.42,1.45,1.42,1.45,4702
26-Nov-14,1.41,1.41,1.40,1.41,3895
25-Nov-14,1.34,1.41,1.34,1.41,6004
24-Nov-14,1.40,1.41,1.36,1.36,9510
21-Nov-14,1.36,1.43,1.35,1.43,7717
20-Nov-14,1.40,1.40,1.40,1.40,300
19-Nov-14,1.34,1.41,1.34,1.39,5459
18-Nov-14,1.40,1.40,1.36,1.36,200
17-Nov-14,1.43,1.43,1.35,1.40,7127
14-Nov-14,1.30,1.39,1.30,1.38,4500
13-Nov-14,1.32,1.38,1.32,1.38,7118
12-Nov-14,1.31,1.31,1.31,1.31,500
11-Nov-14,1.37,1.38,1.22,1.34,50342
10-Nov-14,1.32,1.37,1.31,1.37,5911
7-Nov-14,1.39,1.39,1.37,1.39,400
6-Nov-14,1.40,1.42,1.36,1.36,7200
5-Nov-14,1.35,1.40,1.35,1.38,9680
4-Nov-14,1.31,1.32,1.30,1.30,14218
3-Nov-14,1.40,1.40,1.39,1.39,500
31-Oct-14,1.38,1.41,1.27,1.41,7261
30-Oct-14,1.36,1.40,1.33,1.33,7197
29-Oct-14,1.32,1.40,1.25,1.31,59106
28-Oct-14,1.33,1.35,1.28,1.31,15605
27-Oct-14,1.30,1.34,1.30,1.33,2313
24-Oct-14,1.28,1.36,1.28,1.36,663
23-Oct-14,1.34,1.34,1.34,1.34,500
22-Oct-14,1.32,1.34,1.32,1.33,7435
21-Oct-14,1.37,1.37,1.29,1.34,38251
20-Oct-14,1.35,1.35,1.35,1.35,1200
16-Oct-14,1.40,1.44,1.36,1.37,7400
15-Oct-14,1.38,1.39,1.35,1.35,21284
14-Oct-14,1.39,1.44,1.38,1.44,3413
13-Oct-14,1.49,1.49,1.38,1.47,568
10-Oct-14,1.38,1.48,1.38,1.45,7306
9-Oct-14,1.44,1.44,1.42,1.44,10667
8-Oct-14,1.45,1.45,1.43,1.44,23475
6-Oct-14,1.46,1.49,1.46,1.48,2299
3-Oct-14,1.52,1.52,1.50,1.50,718
2-Oct-14,1.52,1.52,1.52,1.52,140
1-Oct-14,1.56,1.57,1.50,1.52,15108
30-Sep-14,1.49,1.59,1.49,1.51,7381
29-Sep-14,1.69,1.69,1.43,1.48,53102
26-Sep-14,1.70,1.70,1.67,1.67,804
25-Sep-14,1.66,1.70,1.66,1.70,3087
24-Sep-14,1.69,1.77,1.64,1.69,14161
23-Sep-14,1.78,1.78,1.78,1.78,902
22-Sep-14,1.63,1.74,1.63,1.74,11485
19-Sep-14,1.62,1.62,1.62,1.62,716
18-Sep-14,1.62,1.63,1.60,1.63,2425
17-Sep-14,1.56,1.61,1.56,1.61,26420
16-Sep-14,1.56,1.57,1.56,1.57,1257
15-Sep-14,1.57,1.57,1.55,1.55,6167
12-Sep-14,1.57,1.59,1.55,1.59,1447
11-Sep-14,1.57,1.57,1.57,1.57,217
10-Sep-14,1.59,1.61,1.59,1.59,1976
9-Sep-14,1.62,1.68,1.61,1.61,2106
8-Sep-14,1.64,1.73,1.60,1.66,27783
5-Sep-14,1.66,1.66,1.66,1.66,200
4-Sep-14,1.66,1.68,1.65,1.65,1005
3-Sep-14,1.60,1.71,1.60,1.63,18378
2-Sep-14,1.80,1.80,1.60,1.60,43474
29-Aug-14,1.69,1.80,1.69,1.80,8839
28-Aug-14,1.64,1.73,1.64,1.68,4200
27-Aug-14,1.60,1.60,1.60,1.60,400
26-Aug-14,1.63,1.64,1.63,1.64,5574
25-Aug-14,1.56,1.64,1.56,1.63,10767
22-Aug-14,1.57,1.62,1.55,1.62,9300
21-Aug-14,1.57,1.64,1.57,1.64,14160
20-Aug-14,1.64,1.64,1.59,1.64,2702
19-Aug-14,1.60,1.64,1.59,1.64,8800
18-Aug-14,1.61,1.66,1.57,1.61,7164
15-Aug-14,1.66,1.66,1.59,1.65,1499
14-Aug-14,1.69,1.69,1.65,1.66,3106
13-Aug-14,1.65,1.67,1.65,1.67,4600
12-Aug-14,1.65,1.66,1.59,1.62,12797
11-Aug-14,1.66,1.68,1.66,1.68,950
8-Aug-14,1.69,1.72,1.69,1.69,4779
7-Aug-14,1.64,1.69,1.62,1.64,3154
6-Aug-14,1.71,1.71,1.63,1.63,5080
5-Aug-14,1.63,1.74,1.62,1.64,8360
4-Aug-14,1.70,1.70,1.70,1.70,275
1-Aug-14,1.75,1.80,1.72,1.77,2346
31-Jul-14,1.72,1.79,1.70,1.79,896
29-Jul-14,1.73,1.77,1.69,1.76,3634
28-Jul-14,1.72,1.79,1.71,1.76,2650
25-Jul-14,1.81,1.84,1.70,1.75,15800
24-Jul-14,1.75,1.81,1.75,1.81,5150
23-Jul-14,1.70,1.82,1.70,1.81,8572
22-Jul-14,1.78,1.81,1.72,1.81,21168
21-Jul-14,1.74,1.84,1.71,1.78,76310
18-Jul-14,1.79,1.79,1.79,1.79,251
