Date,Open,High,Low,Close,Volume
31-Dec-14,43.11,43.31,42.13,42.16,136980
30-Dec-14,42.93,43.34,42.70,43.03,81114
29-Dec-14,42.62,43.20,42.37,43.05,99394
26-Dec-14,42.21,43.02,42.21,42.67,55203
24-Dec-14,42.15,42.47,41.79,42.04,78629
23-Dec-14,42.25,42.79,42.08,42.17,128570
22-Dec-14,41.64,42.15,41.46,42.06,166060
19-Dec-14,41.97,42.00,41.30,41.50,588537
18-Dec-14,41.73,42.19,41.06,42.03,188339
17-Dec-14,39.82,41.19,39.52,41.10,152477
16-Dec-14,39.31,40.41,39.08,39.78,235510
15-Dec-14,39.85,39.85,39.00,39.42,293918
12-Dec-14,39.24,39.82,38.22,39.55,278574
11-Dec-14,41.14,41.52,39.88,40.16,225414
10-Dec-14,42.98,43.00,40.91,40.95,152058
9-Dec-14,40.30,43.15,40.17,43.02,319008
8-Dec-14,41.23,41.55,40.62,40.81,135021
5-Dec-14,41.12,41.85,41.12,41.48,115362
4-Dec-14,41.50,41.90,40.87,41.13,122885
3-Dec-14,41.16,41.92,40.87,41.58,125397
2-Dec-14,40.74,41.38,40.50,41.27,74896
1-Dec-14,41.06,41.30,40.62,40.63,151989
28-Nov-14,42.14,42.14,40.96,41.06,177664
26-Nov-14,42.03,42.14,41.83,42.06,97719
25-Nov-14,42.05,42.36,41.77,42.09,92352
24-Nov-14,41.46,42.15,41.46,41.99,110525
21-Nov-14,42.62,42.62,41.07,41.40,190317
20-Nov-14,41.41,42.14,41.17,42.10,136671
19-Nov-14,42.18,42.18,41.39,41.70,137523
18-Nov-14,42.26,42.41,41.94,42.21,101658
17-Nov-14,42.57,42.79,42.18,42.21,166266
14-Nov-14,42.85,43.09,42.70,42.75,148599
13-Nov-14,42.71,42.97,42.42,42.82,274676
12-Nov-14,42.33,43.02,41.89,42.75,283416
11-Nov-14,42.64,42.67,42.25,42.48,198141
10-Nov-14,42.42,42.79,42.11,42.71,197170
7-Nov-14,41.91,42.51,41.63,42.42,164031
6-Nov-14,41.94,42.25,41.64,42.05,207702
5-Nov-14,41.70,42.14,41.30,41.98,189443
4-Nov-14,41.34,41.81,41.08,41.50,206461
3-Nov-14,41.94,42.06,41.22,41.43,198348
31-Oct-14,41.97,42.35,40.95,41.77,291243
30-Oct-14,40.79,41.43,40.67,40.99,162585
29-Oct-14,41.21,41.50,40.66,41.01,148195
28-Oct-14,39.63,41.08,39.63,41.04,260794
27-Oct-14,39.16,39.65,38.82,39.56,243768
24-Oct-14,39.42,40.05,39.13,39.42,128914
23-Oct-14,41.00,41.50,39.16,39.30,432397
22-Oct-14,41.32,41.61,40.65,40.89,281373
21-Oct-14,39.75,41.14,39.70,41.07,161709
20-Oct-14,38.83,39.51,38.83,39.45,163056
17-Oct-14,39.61,39.69,38.78,39.11,138649
16-Oct-14,38.25,39.19,38.25,39.06,157703
15-Oct-14,37.26,39.00,37.14,38.78,165341
14-Oct-14,38.02,38.72,37.78,37.84,263143
13-Oct-14,37.26,38.46,37.13,37.82,227545
10-Oct-14,36.81,37.78,36.57,37.28,164332
9-Oct-14,37.70,37.82,36.80,36.97,153233
8-Oct-14,36.62,37.92,36.55,37.83,158935
7-Oct-14,37.02,37.35,36.64,36.72,111625
6-Oct-14,37.53,37.70,37.13,37.30,84051
3-Oct-14,37.99,38.28,37.44,37.46,89496
2-Oct-14,36.79,37.67,36.79,37.60,102546
1-Oct-14,37.43,37.73,36.50,36.80,233559
30-Sep-14,38.33,38.33,37.55,37.57,232871
29-Sep-14,37.69,38.32,37.69,38.28,103666
26-Sep-14,38.18,38.28,37.79,38.09,120535
25-Sep-14,38.52,38.97,37.77,38.13,136391
24-Sep-14,38.78,39.00,37.40,38.54,226167
23-Sep-14,39.21,39.31,38.66,38.67,137608
22-Sep-14,39.83,40.02,39.07,39.35,173094
19-Sep-14,40.97,41.00,39.82,39.95,348660
18-Sep-14,40.95,41.10,40.42,40.89,92059
17-Sep-14,40.72,40.88,40.11,40.68,95034
16-Sep-14,40.47,41.02,40.19,40.68,113372
15-Sep-14,41.01,41.01,40.38,40.65,87079
12-Sep-14,40.82,41.17,40.64,40.96,205362
11-Sep-14,39.84,40.76,39.60,40.70,93570
10-Sep-14,39.89,40.16,39.54,40.11,58876
