Date,Open,High,Low,Close,Volume
31-Dec-14,6.57,6.57,6.46,6.47,10110
30-Dec-14,6.50,6.50,6.36,6.43,8378
29-Dec-14,6.46,6.50,6.36,6.48,14997
26-Dec-14,6.47,6.50,6.45,6.46,12820
24-Dec-14,6.40,6.50,6.40,6.43,33729
23-Dec-14,6.34,6.35,6.30,6.34,3921
22-Dec-14,6.20,6.30,6.13,6.30,3515
19-Dec-14,6.29,6.30,6.27,6.27,1094
18-Dec-14,6.29,6.30,6.22,6.29,4842
17-Dec-14,6.30,6.30,6.25,6.30,6720
16-Dec-14,6.19,6.40,6.19,6.25,3643
15-Dec-14,6.27,6.40,6.24,6.25,10155
12-Dec-14,6.30,6.38,6.30,6.33,1954
11-Dec-14,6.21,6.33,6.21,6.33,1242
10-Dec-14,6.22,6.22,6.18,6.20,1204
9-Dec-14,6.21,6.43,6.21,6.26,4079
8-Dec-14,6.43,6.43,6.25,6.32,5157
5-Dec-14,6.35,6.45,6.25,6.37,9169
4-Dec-14,6.40,6.40,6.35,6.35,748
3-Dec-14,6.40,6.46,6.35,6.35,2932
2-Dec-14,6.35,6.48,6.35,6.48,915
1-Dec-14,6.50,6.50,6.30,6.35,7443
28-Nov-14,6.47,6.47,6.47,6.47,500
26-Nov-14,6.45,6.50,6.32,6.33,61052
25-Nov-14,6.30,6.35,6.25,6.35,1380
24-Nov-14,6.26,6.40,6.21,6.25,9249
21-Nov-14,6.17,6.44,6.14,6.32,25737
20-Nov-14,6.27,6.27,6.12,6.17,9152
19-Nov-14,6.37,6.37,6.11,6.28,19579
18-Nov-14,6.30,6.32,6.30,6.32,5211
17-Nov-14,6.27,6.35,6.27,6.28,16600
14-Nov-14,6.28,6.28,6.27,6.27,250
13-Nov-14,6.16,6.30,6.15,6.27,13412
12-Nov-14,6.11,6.29,6.11,6.29,1828
11-Nov-14,6.02,6.25,6.02,6.21,1347
10-Nov-14,6.04,6.04,6.04,6.04,806
7-Nov-14,6.20,6.20,5.33,6.13,1365
6-Nov-14,6.34,6.34,6.30,6.30,1236
5-Nov-14,6.35,6.35,6.25,6.29,9082
4-Nov-14,6.18,6.31,6.18,6.30,21139
3-Nov-14,6.05,6.20,6.05,6.20,6006
31-Oct-14,6.02,6.02,6.02,6.02,350
