Date,Open,High,Low,Close,Volume
31-Dec-14,39.36,39.44,38.71,38.71,589905
30-Dec-14,39.01,39.71,39.01,39.31,609341
29-Dec-14,38.60,39.42,38.60,39.29,402494
26-Dec-14,38.96,39.02,38.67,38.78,334269
24-Dec-14,38.88,38.95,38.32,38.89,255278
23-Dec-14,38.33,38.83,38.11,38.80,451100
22-Dec-14,38.23,38.42,38.02,38.16,509428
19-Dec-14,38.90,38.90,37.95,38.06,2466357
18-Dec-14,38.28,38.80,38.14,38.80,758982
17-Dec-14,37.22,37.85,36.91,37.84,495320
16-Dec-14,36.83,37.50,36.53,37.09,662539
15-Dec-14,37.60,37.77,37.15,37.22,943657
12-Dec-14,37.29,37.77,37.26,37.44,986097
11-Dec-14,37.52,38.01,37.11,37.71,648989
10-Dec-14,38.49,38.73,37.32,37.36,528656
9-Dec-14,38.06,38.79,37.95,38.74,668003
8-Dec-14,38.85,39.38,38.36,38.70,1109506
5-Dec-14,37.70,38.97,37.40,38.84,1065709
4-Dec-14,37.40,37.50,37.13,37.47,486914
3-Dec-14,37.40,37.54,36.53,37.45,714827
2-Dec-14,36.15,37.61,36.15,36.63,454653
1-Dec-14,36.70,36.90,35.88,36.06,606777
28-Nov-14,37.31,37.50,36.73,36.77,274601
26-Nov-14,37.15,37.39,37.07,37.36,402850
25-Nov-14,37.07,37.25,36.79,37.21,561714
24-Nov-14,36.53,37.07,36.49,37.07,654656
21-Nov-14,38.00,38.00,36.35,36.38,487282
20-Nov-14,36.67,37.03,36.52,36.86,610174
19-Nov-14,36.66,36.74,36.18,36.66,578578
18-Nov-14,36.77,36.92,36.51,36.59,764358
17-Nov-14,36.86,36.86,36.52,36.71,486201
14-Nov-14,37.24,37.46,36.78,36.92,506445
13-Nov-14,37.83,37.88,37.19,37.26,430500
12-Nov-14,37.18,37.90,37.12,37.79,365250
11-Nov-14,37.33,37.42,37.09,37.32,463140
10-Nov-14,37.19,37.92,37.01,37.36,1464190
7-Nov-14,37.16,37.33,36.94,37.17,537157
6-Nov-14,37.27,37.50,37.13,37.25,716366
5-Nov-14,37.22,37.36,36.93,37.32,496555
4-Nov-14,36.86,37.04,36.62,37.01,707854
3-Nov-14,36.73,37.18,36.52,36.87,944580
31-Oct-14,36.00,36.80,35.82,36.76,916741
30-Oct-14,35.97,36.15,35.55,35.80,532132
29-Oct-14,35.63,36.22,35.36,36.18,906721
28-Oct-14,35.00,35.70,34.93,35.68,912872
