Date,Open,High,Low,Close,Volume
31-Dec-14,20.80,20.87,20.55,20.62,143136
30-Dec-14,20.82,20.93,20.56,20.64,96828
29-Dec-14,20.80,21.00,20.68,20.80,274372
26-Dec-14,20.51,20.80,20.26,20.74,285676
24-Dec-14,20.75,20.75,20.46,20.47,128808
23-Dec-14,20.62,20.71,20.58,20.66,363556
22-Dec-14,20.50,20.56,20.23,20.53,262756
19-Dec-14,20.66,20.66,20.20,20.47,645332
18-Dec-14,20.58,20.89,20.40,20.74,152712
17-Dec-14,19.55,20.42,19.37,20.41,228320
16-Dec-14,19.47,19.87,19.25,19.70,172576
15-Dec-14,19.61,19.83,19.12,19.42,234452
12-Dec-14,19.65,20.08,19.39,19.46,129572
11-Dec-14,19.70,20.14,19.70,19.82,172552
10-Dec-14,19.79,19.98,19.31,19.59,164240
9-Dec-14,19.22,19.94,19.22,19.93,151596
8-Dec-14,19.62,19.71,19.25,19.39,97812
5-Dec-14,19.38,19.67,19.38,19.63,126420
4-Dec-14,19.63,19.64,19.35,19.44,166548
3-Dec-14,19.46,19.80,19.38,19.64,147476
2-Dec-14,19.03,19.45,19.03,19.37,295116
1-Dec-14,19.08,19.38,18.84,19.25,245388
28-Nov-14,19.38,19.88,18.98,19.02,73120
26-Nov-14,19.46,19.58,19.35,19.49,92148
25-Nov-14,19.47,19.57,19.36,19.48,65628
24-Nov-14,19.40,19.55,19.30,19.50,94904
21-Nov-14,19.65,19.67,19.34,19.38,129780
20-Nov-14,19.37,19.55,19.30,19.41,82524
19-Nov-14,19.84,19.84,19.34,19.47,90964
18-Nov-14,19.73,20.07,19.64,19.77,133988
17-Nov-14,19.84,19.91,19.67,19.75,83308
14-Nov-14,20.05,20.07,19.80,19.86,85544
13-Nov-14,20.23,20.24,19.84,19.96,69592
12-Nov-14,19.95,20.23,19.92,20.20,99496
11-Nov-14,20.04,20.19,19.72,19.97,180184
10-Nov-14,19.74,20.06,19.74,20.04,145444
7-Nov-14,19.96,20.00,19.64,19.89,137976
6-Nov-14,19.80,20.00,19.67,19.98,91924
5-Nov-14,19.78,19.84,19.59,19.80,122672
4-Nov-14,19.60,19.85,19.56,19.71,127748
3-Nov-14,20.00,20.00,19.59,19.73,133480
31-Oct-14,20.00,20.00,19.66,19.96,176620
30-Oct-14,19.22,19.91,19.22,19.84,155732
29-Oct-14,19.74,20.00,19.18,19.43,195464
28-Oct-14,19.06,19.80,19.06,19.74,136172
27-Oct-14,18.84,19.06,18.72,18.96,114508
24-Oct-14,18.77,18.98,18.75,18.88,197408
23-Oct-14,19.10,19.10,18.66,18.73,125784
22-Oct-14,18.74,18.76,18.33,18.55,116576
21-Oct-14,18.54,18.67,18.22,18.64,82016
20-Oct-14,18.00,18.40,17.68,18.39,115932
17-Oct-14,18.84,18.89,17.97,18.04,284372
16-Oct-14,18.53,18.90,18.50,18.56,152420
15-Oct-14,18.18,18.80,17.90,18.76,165384
14-Oct-14,18.42,18.79,18.09,18.40,165936
13-Oct-14,17.96,18.39,17.70,18.20,148508
10-Oct-14,17.90,18.26,17.81,17.88,155496
9-Oct-14,17.84,18.30,17.84,18.00,140176
8-Oct-14,17.65,18.44,17.65,18.28,151572
7-Oct-14,17.75,17.89,17.68,17.73,102120
6-Oct-14,18.05,18.17,17.82,17.82,132724
3-Oct-14,18.02,18.28,17.96,17.98,112884
2-Oct-14,17.50,18.05,17.50,17.86,149444
1-Oct-14,17.69,17.90,17.46,17.56,165172
30-Sep-14,18.00,18.16,17.69,17.72,245948
29-Sep-14,17.84,18.24,17.67,18.07,165660
26-Sep-14,17.83,18.06,17.80,18.00,103036
25-Sep-14,17.96,17.96,17.61,17.81,150100
24-Sep-14,17.80,18.07,17.73,17.98,159220
23-Sep-14,18.03,18.14,17.75,17.83,236300
22-Sep-14,18.13,18.25,18.02,18.12,169912
19-Sep-14,18.81,18.84,18.14,18.19,414608
18-Sep-14,18.75,18.98,18.68,18.84,105124
17-Sep-14,18.68,18.80,18.63,18.73,75052
16-Sep-14,18.71,18.80,18.58,18.71,97980
15-Sep-14,18.70,18.82,18.58,18.70,115068
12-Sep-14,18.95,19.09,18.58,18.75,155696
11-Sep-14,18.57,18.93,18.57,18.92,105148
10-Sep-14,18.68,18.82,18.44,18.73,117568
9-Sep-14,18.83,18.83,18.51,18.53,176092
8-Sep-14,18.66,18.84,18.50,18.81,132688
5-Sep-14,18.59,18.86,18.54,18.73,72672
4-Sep-14,18.98,18.98,18.62,18.67,111760
3-Sep-14,18.49,18.91,18.36,18.90,370444
2-Sep-14,18.26,18.48,18.14,18.42,203036
29-Aug-14,18.10,18.31,17.89,18.26,117168
28-Aug-14,18.12,18.28,18.10,18.12,70732
27-Aug-14,18.31,18.36,18.10,18.27,91908
26-Aug-14,18.30,18.58,18.23,18.27,191392
25-Aug-14,18.65,18.65,18.28,18.34,82512
22-Aug-14,18.28,18.60,18.26,18.50,130972
21-Aug-14,18.34,18.44,18.06,18.37,97048
20-Aug-14,18.35,18.50,18.14,18.32,114960
19-Aug-14,18.58,18.63,18.42,18.48,66048
18-Aug-14,18.35,18.66,18.31,18.51,145288
15-Aug-14,18.37,18.39,17.94,18.15,225116
14-Aug-14,17.72,18.28,17.72,18.22,49956
13-Aug-14,18.02,18.28,17.94,18.23,84496
12-Aug-14,18.06,18.29,17.85,18.01,157664
11-Aug-14,18.25,18.39,18.12,18.16,111752
8-Aug-14,17.97,18.26,17.85,18.18,126124
7-Aug-14,17.95,18.08,17.81,17.98,124396
6-Aug-14,17.97,18.20,17.90,17.96,99272
5-Aug-14,17.78,18.00,17.66,17.94,86192
4-Aug-14,17.78,17.96,17.46,17.88,158672
1-Aug-14,17.82,18.00,17.50,17.66,142096
31-Jul-14,18.14,18.23,17.73,17.77,164940
30-Jul-14,18.50,18.55,18.25,18.39,143804
29-Jul-14,18.52,18.60,18.16,18.41,124612
28-Jul-14,18.65,18.65,18.38,18.56,96892
25-Jul-14,18.83,18.99,18.56,18.70,197016
24-Jul-14,19.07,19.41,18.83,18.89,261776
23-Jul-14,18.33,19.27,17.82,19.21,201888
22-Jul-14,18.02,18.36,17.82,18.30,194928
21-Jul-14,18.28,18.28,17.96,18.06,74704
18-Jul-14,18.03,18.38,17.85,18.34,174244
17-Jul-14,18.36,18.52,18.06,18.08,209420
16-Jul-14,18.62,18.62,18.40,18.50,203428
15-Jul-14,18.50,18.60,18.45,18.50,327604
14-Jul-14,18.68,18.71,18.49,18.50,110800
11-Jul-14,18.50,18.53,18.40,18.50,214036
10-Jul-14,18.46,18.58,18.36,18.50,279236
9-Jul-14,18.61,18.61,18.47,18.51,153500
8-Jul-14,18.55,18.63,18.48,18.57,243844
7-Jul-14,18.62,18.68,18.43,18.56,184804
3-Jul-14,18.64,18.76,18.60,18.70,91920
2-Jul-14,18.81,18.87,18.58,18.60,87192
1-Jul-14,18.57,19.08,18.57,18.86,188548
30-Jun-14,18.34,18.58,18.21,18.53,310308
27-Jun-14,18.25,18.42,18.25,18.35,445504
26-Jun-14,18.34,18.34,18.15,18.29,181316
25-Jun-14,18.16,18.33,18.16,18.28,133404
24-Jun-14,18.27,18.54,18.24,18.28,200368
23-Jun-14,18.25,18.42,18.12,18.38,277360
20-Jun-14,18.40,18.40,18.25,18.27,336104
19-Jun-14,18.40,18.42,18.23,18.28,138456
18-Jun-14,18.34,18.41,18.20,18.38,137784
17-Jun-14,18.20,18.52,18.20,18.28,251016
16-Jun-14,18.25,18.28,18.15,18.25,255928
13-Jun-14,18.35,18.35,18.14,18.24,283088
12-Jun-14,18.20,18.40,18.20,18.20,207360
11-Jun-14,18.14,18.29,18.10,18.25,287560
10-Jun-14,18.28,18.41,18.18,18.29,114556
9-Jun-14,18.16,18.43,18.04,18.40,172768
6-Jun-14,18.40,18.50,18.10,18.24,207532
5-Jun-14,17.78,18.30,17.57,18.26,171256
4-Jun-14,17.72,17.88,17.62,17.68,175408
3-Jun-14,17.75,17.97,17.58,17.79,208836
2-Jun-14,17.75,17.85,17.67,17.75,219856
30-May-14,17.68,17.82,17.58,17.68,250592
29-May-14,17.59,17.64,17.50,17.60,130468
28-May-14,17.67,17.67,17.30,17.54,146076
27-May-14,17.30,17.68,17.30,17.63,113088
23-May-14,17.25,17.38,17.12,17.31,115772
22-May-14,17.14,17.32,16.90,17.19,171520
21-May-14,17.08,17.24,16.80,17.15,237240
20-May-14,17.03,17.06,16.73,16.97,288648
19-May-14,16.90,17.16,16.90,17.02,126064
16-May-14,16.64,17.12,16.53,17.00,194592
15-May-14,16.68,16.76,16.20,16.68,172196
14-May-14,17.43,17.43,16.73,16.82,235492
13-May-14,17.91,17.91,17.42,17.46,233584
12-May-14,17.58,18.08,17.53,17.88,269712
9-May-14,17.16,17.62,17.09,17.62,223984
8-May-14,17.40,17.72,17.17,17.26,142856
7-May-14,17.42,17.51,17.09,17.39,138276
6-May-14,17.48,17.70,17.32,17.34,277968
5-May-14,17.58,17.75,17.41,17.62,169400
2-May-14,17.26,17.88,17.26,17.67,210456
1-May-14,17.52,17.56,16.97,17.28,254300
30-Apr-14,17.26,17.63,17.00,17.60,179404
29-Apr-14,17.50,17.62,17.27,17.29,142280
28-Apr-14,17.50,17.71,17.21,17.47,170728
25-Apr-14,17.49,17.64,17.32,17.49,183784
24-Apr-14,18.32,18.32,17.26,17.67,273948
23-Apr-14,18.09,18.45,18.02,18.10,148072
22-Apr-14,17.12,18.50,17.12,18.22,118096
21-Apr-14,18.27,18.32,18.09,18.27,92360
17-Apr-14,18.08,18.37,18.07,18.26,94664
16-Apr-14,17.84,18.24,17.70,18.08,149428
15-Apr-14,17.53,17.78,17.34,17.69,140860
14-Apr-14,17.64,17.82,17.50,17.57,148976
11-Apr-14,17.56,17.83,17.36,17.54,206508
10-Apr-14,18.18,18.28,17.66,17.75,202980
9-Apr-14,18.31,18.31,17.93,18.25,315572
8-Apr-14,18.06,18.35,17.88,18.18,376680
7-Apr-14,18.02,18.22,17.82,17.98,262136
4-Apr-14,18.89,18.92,18.08,18.16,285188
3-Apr-14,19.01,19.10,18.70,18.90,92320
2-Apr-14,19.05,19.07,18.78,19.02,100732
1-Apr-14,18.71,19.11,18.71,18.98,207496
31-Mar-14,18.48,18.84,18.48,18.76,171216
28-Mar-14,18.51,18.75,18.38,18.44,134364
27-Mar-14,18.40,18.61,18.12,18.58,164572
26-Mar-14,18.93,19.10,18.25,18.31,150620
25-Mar-14,18.87,18.98,18.56,18.76,110476
24-Mar-14,18.79,18.95,18.46,18.70,145632
21-Mar-14,18.74,19.18,18.59,18.82,324496
20-Mar-14,18.62,18.79,18.47,18.61,77216
19-Mar-14,18.94,18.94,18.53,18.69,66808
18-Mar-14,18.83,19.10,18.79,18.88,220288
17-Mar-14,18.71,19.04,18.66,18.88,92212
14-Mar-14,18.47,18.79,18.22,18.69,146492
13-Mar-14,18.69,18.69,18.17,18.49,171964
12-Mar-14,18.70,18.80,18.50,18.56,126048
11-Mar-14,18.65,18.92,18.45,18.80,158244
10-Mar-14,18.94,19.10,18.45,18.88,160600
7-Mar-14,19.13,19.21,18.69,18.99,206032
6-Mar-14,18.74,19.09,18.50,18.96,213164
5-Mar-14,18.88,18.88,18.40,18.55,264236
4-Mar-14,18.16,19.11,18.06,18.91,379316
3-Mar-14,17.67,18.01,17.48,17.96,198988
28-Feb-14,17.72,17.86,17.38,17.81,217252
27-Feb-14,17.65,17.83,17.60,17.70,190836
26-Feb-14,17.79,18.04,17.66,17.76,117020
25-Feb-14,17.99,18.09,17.69,17.73,98188
24-Feb-14,18.03,18.22,17.92,17.96,185656
21-Feb-14,18.10,18.10,17.91,18.04,233412
20-Feb-14,17.78,18.24,17.64,18.10,104804
19-Feb-14,18.06,18.24,17.74,17.84,227464
18-Feb-14,17.81,18.28,17.81,18.18,121196
14-Feb-14,17.90,17.91,17.57,17.82,177088
13-Feb-14,17.59,17.98,17.54,17.93,98984
12-Feb-14,17.66,17.94,17.60,17.66,129456
11-Feb-14,18.16,18.16,17.56,17.69,96212
10-Feb-14,17.63,17.83,17.48,17.76,189900
7-Feb-14,17.57,17.80,17.37,17.70,262504
6-Feb-14,17.36,17.81,16.43,17.48,435764
5-Feb-14,17.41,17.56,17.02,17.08,164912
4-Feb-14,17.64,17.68,17.39,17.47,158204
3-Feb-14,18.06,18.17,17.38,17.60,225944
31-Jan-14,18.31,18.52,17.87,18.06,175060
30-Jan-14,18.21,18.91,18.04,18.68,193948
29-Jan-14,18.45,18.45,17.81,18.10,174868
28-Jan-14,18.33,18.43,18.05,18.38,143512
27-Jan-14,18.70,18.82,18.30,18.30,95656
24-Jan-14,19.14,19.27,18.42,18.74,193796
23-Jan-14,18.98,19.34,18.88,19.31,146124
22-Jan-14,19.00,19.21,18.95,19.02,71320
21-Jan-14,18.92,19.09,18.75,19.04,74120
17-Jan-14,19.05,19.12,18.76,18.77,77400
16-Jan-14,19.06,19.20,18.89,19.12,81616
15-Jan-14,19.07,19.17,18.94,19.06,103088
14-Jan-14,18.80,19.30,18.57,18.98,116396
13-Jan-14,18.80,18.84,18.59,18.72,167140
10-Jan-14,18.90,18.96,18.67,18.92,92400
9-Jan-14,18.92,18.92,18.52,18.88,132852
8-Jan-14,19.16,19.16,18.54,18.86,228088
7-Jan-14,19.25,19.47,19.06,19.11,120432
6-Jan-14,19.38,19.43,19.05,19.20,224820
3-Jan-14,19.16,19.45,19.04,19.34,157612
2-Jan-14,19.34,19.34,18.87,19.11,146140
31-Dec-13,19.53,19.62,19.32,19.32,107944
30-Dec-13,19.53,19.68,19.45,19.50,67812
27-Dec-13,19.80,19.80,19.56,19.60,60256
26-Dec-13,19.89,19.89,19.63,19.73,57708
24-Dec-13,19.86,19.97,19.77,19.86,48028
23-Dec-13,19.81,19.96,19.70,19.90,138508
20-Dec-13,19.06,19.88,19.06,19.78,457360
19-Dec-13,19.08,19.29,18.97,18.97,104052
18-Dec-13,18.78,19.17,18.63,19.16,157588
17-Dec-13,18.87,18.87,18.68,18.75,159104
16-Dec-13,18.90,18.98,18.76,18.87,218588
13-Dec-13,19.00,19.04,18.75,18.88,180040
12-Dec-13,18.84,19.10,18.77,18.91,165568
11-Dec-13,19.41,19.43,18.70,18.88,239644
10-Dec-13,19.30,19.47,18.95,19.36,227272
9-Dec-13,19.74,19.77,19.16,19.30,200292
6-Dec-13,19.59,19.83,19.56,19.70,144916
5-Dec-13,19.24,19.44,19.18,19.38,162208
4-Dec-13,19.22,19.49,19.01,19.27,250860
3-Dec-13,19.09,19.30,19.00,19.22,956432
2-Dec-13,19.43,19.58,19.04,19.16,159272
29-Nov-13,19.85,19.85,19.34,19.34,94256
27-Nov-13,19.25,19.69,19.25,19.66,140900
