Date,Open,High,Low,Close,Volume
31-Dec-14,11.93,12.08,11.74,11.75,318591
30-Dec-14,11.86,11.98,11.81,11.92,275864
29-Dec-14,11.66,11.97,11.48,11.86,325258
26-Dec-14,11.54,11.91,11.41,11.69,254362
24-Dec-14,11.66,11.69,11.18,11.48,161402
23-Dec-14,11.73,11.84,11.60,11.68,264246
22-Dec-14,11.83,11.85,11.57,11.71,594626
19-Dec-14,11.44,11.99,11.37,11.90,1172104
18-Dec-14,11.48,11.56,11.34,11.45,554369
17-Dec-14,11.01,11.31,10.83,11.30,376935
16-Dec-14,10.87,11.18,10.66,10.99,571126
15-Dec-14,11.14,11.24,10.73,10.87,655765
12-Dec-14,10.81,11.21,10.79,11.13,567217
11-Dec-14,10.77,11.10,10.71,10.93,292845
10-Dec-14,11.07,11.09,10.67,10.68,314817
9-Dec-14,10.61,11.10,10.53,11.08,507024
8-Dec-14,10.51,10.93,10.49,10.67,416073
5-Dec-14,10.86,11.09,10.49,10.58,811334
4-Dec-14,10.37,10.65,10.17,10.53,477079
3-Dec-14,10.40,10.68,10.36,10.40,319546
2-Dec-14,10.71,10.72,10.36,10.43,381466
1-Dec-14,10.83,10.84,10.52,10.66,415775
28-Nov-14,10.40,11.10,10.40,10.89,489177
26-Nov-14,10.96,11.02,10.90,10.96,220067
25-Nov-14,10.98,11.00,10.82,10.99,373820
24-Nov-14,10.92,11.03,10.85,10.94,390415
21-Nov-14,10.99,11.01,10.80,10.94,312051
20-Nov-14,10.64,10.91,10.64,10.89,268422
19-Nov-14,10.75,10.81,10.50,10.68,319272
18-Nov-14,10.80,10.84,10.52,10.80,337797
17-Nov-14,10.97,10.98,10.68,10.77,482712
14-Nov-14,11.16,11.16,10.89,10.97,540673
13-Nov-14,11.36,11.69,11.11,11.18,600692
12-Nov-14,10.87,11.28,10.84,11.28,614913
11-Nov-14,11.02,11.15,10.86,10.94,378550
10-Nov-14,10.83,11.02,10.75,10.99,609638
7-Nov-14,10.79,11.05,10.24,10.88,660424
6-Nov-14,10.94,11.10,10.87,11.06,714640
5-Nov-14,10.89,11.04,10.74,10.89,288617
4-Nov-14,10.75,10.83,10.55,10.83,532834
3-Nov-14,11.28,11.28,10.75,10.76,505246
31-Oct-14,11.00,11.33,10.92,11.28,718619
30-Oct-14,10.65,10.93,10.65,10.92,751813
29-Oct-14,10.50,10.76,10.40,10.65,487958
28-Oct-14,9.89,10.46,9.82,10.44,518961
27-Oct-14,10.39,10.40,10.06,10.17,444086
24-Oct-14,9.93,10.49,9.93,10.47,590298
23-Oct-14,9.75,10.10,9.74,9.89,611384
22-Oct-14,9.88,9.97,9.64,9.68,365935
21-Oct-14,9.97,10.01,9.75,9.90,436197
20-Oct-14,9.14,10.31,9.08,9.93,1197460
17-Oct-14,9.68,9.68,9.12,9.17,367814
16-Oct-14,9.35,9.59,9.10,9.55,447735
15-Oct-14,8.89,9.48,8.80,9.39,869399
14-Oct-14,8.85,9.04,8.68,8.95,584976
13-Oct-14,8.62,8.81,8.61,8.72,464147
10-Oct-14,8.66,8.85,8.57,8.65,674094
9-Oct-14,8.98,9.10,8.72,8.72,1606502
8-Oct-14,9.01,9.10,8.69,9.01,1015924
7-Oct-14,8.43,9.36,8.25,8.96,3544449
6-Oct-14,9.81,10.48,9.75,9.95,547293
3-Oct-14,10.14,10.14,9.76,9.79,347948
2-Oct-14,9.93,10.12,9.79,10.04,325763
1-Oct-14,9.90,10.24,9.79,9.92,480008
30-Sep-14,9.96,9.99,9.87,9.91,633299
29-Sep-14,9.88,9.99,9.78,9.93,454255
26-Sep-14,9.95,10.04,9.88,9.96,215524
25-Sep-14,10.12,10.18,9.76,9.93,404632
24-Sep-14,10.17,10.19,10.03,10.18,351942
23-Sep-14,10.26,10.38,10.09,10.12,297651
22-Sep-14,10.43,10.43,10.24,10.30,420622
19-Sep-14,10.70,10.86,10.46,10.48,1178616
18-Sep-14,10.95,10.99,10.66,10.69,501175
17-Sep-14,10.50,10.89,10.50,10.88,666309
16-Sep-14,10.33,10.63,10.31,10.45,501193
15-Sep-14,10.17,10.43,10.07,10.38,382027
12-Sep-14,10.37,10.39,10.09,10.20,297450
11-Sep-14,10.12,10.35,10.09,10.34,447248
10-Sep-14,10.18,10.26,10.03,10.15,315049
9-Sep-14,10.12,10.26,10.09,10.20,591821
8-Sep-14,10.23,10.27,10.03,10.12,483690
5-Sep-14,10.30,10.38,10.22,10.29,325431
4-Sep-14,10.78,10.78,10.26,10.40,659374
3-Sep-14,10.74,10.90,10.67,10.74,397954
2-Sep-14,10.64,10.79,10.49,10.68,541429
29-Aug-14,10.52,10.66,10.43,10.63,346117
