Date,Open,High,Low,Close,Volume
31-Dec-14,17.22,17.29,16.87,16.88,1042288
30-Dec-14,17.25,17.39,17.08,17.13,670158
29-Dec-14,17.34,17.46,17.17,17.30,652196
26-Dec-14,17.37,17.46,17.27,17.40,523622
24-Dec-14,17.20,17.39,17.01,17.26,717097
23-Dec-14,17.47,17.52,17.19,17.20,847734
22-Dec-14,17.05,17.42,16.97,17.30,1190641
19-Dec-14,17.00,17.08,16.73,17.04,2362969
18-Dec-14,17.06,17.14,16.81,17.03,1734009
17-Dec-14,16.51,16.71,16.24,16.67,2849952
16-Dec-14,16.58,16.97,16.41,16.50,1986706
15-Dec-14,16.96,17.36,16.54,16.61,1799056
12-Dec-14,16.83,17.26,16.75,16.77,1663209
11-Dec-14,17.19,17.44,16.87,17.13,1184237
10-Dec-14,17.39,17.51,16.99,17.08,1789094
9-Dec-14,17.10,17.61,16.83,17.46,1575405
8-Dec-14,17.51,17.93,17.11,17.30,1950026
5-Dec-14,17.10,17.62,16.99,17.56,1046260
4-Dec-14,16.91,17.12,16.78,17.08,1159422
3-Dec-14,16.30,16.99,16.19,16.90,1297893
2-Dec-14,16.20,16.41,15.88,16.26,1149370
1-Dec-14,16.12,16.33,15.88,16.17,1073198
28-Nov-14,16.50,16.51,16.10,16.13,352969
26-Nov-14,16.21,16.63,16.21,16.43,641570
25-Nov-14,16.23,16.30,16.07,16.18,498164
24-Nov-14,15.91,16.20,15.85,16.20,799032
21-Nov-14,16.04,16.05,15.74,15.88,1070001
20-Nov-14,15.53,15.89,15.45,15.81,711812
19-Nov-14,15.81,15.82,15.43,15.63,1180112
18-Nov-14,15.27,15.86,15.25,15.81,1413838
17-Nov-14,15.76,15.78,15.08,15.21,1753804
14-Nov-14,15.67,15.84,15.25,15.79,1705231
13-Nov-14,15.85,15.85,15.62,15.64,1429147
12-Nov-14,15.60,15.86,15.53,15.84,784452
11-Nov-14,15.63,15.74,15.43,15.71,984241
10-Nov-14,15.53,15.75,15.52,15.66,1168931
7-Nov-14,15.72,15.79,15.25,15.50,2143282
6-Nov-14,15.35,15.74,15.27,15.68,1372497
5-Nov-14,15.21,15.47,15.04,15.38,1378305
4-Nov-14,15.16,15.41,14.95,15.09,1141789
3-Nov-14,15.31,15.55,15.15,15.22,1483966
31-Oct-14,14.48,15.51,14.45,15.35,3041141
30-Oct-14,14.35,14.46,13.80,13.95,1610304
29-Oct-14,14.48,14.67,14.22,14.46,1219858
28-Oct-14,14.03,14.52,14.02,14.50,1099028
27-Oct-14,13.99,14.05,13.53,13.99,1007663
24-Oct-14,13.94,14.20,13.87,14.10,920060
23-Oct-14,13.82,14.12,13.70,13.96,1016454
22-Oct-14,14.19,14.29,13.64,13.65,1424434
21-Oct-14,13.65,14.12,13.65,14.07,1545121
20-Oct-14,13.20,13.69,13.14,13.56,1546929
17-Oct-14,13.75,13.80,13.16,13.26,2683888
16-Oct-14,12.01,13.98,12.01,13.46,5280667
15-Oct-14,12.20,12.90,12.08,12.59,4408244
14-Oct-14,12.55,12.83,12.20,12.44,3055119
13-Oct-14,12.37,12.67,12.20,12.36,4137415
