Date,Open,High,Low,Close,Volume
31-Dec-14,11.68,11.73,11.34,11.43,11763
30-Dec-14,11.41,11.41,11.25,11.39,716
29-Dec-14,11.40,11.61,11.30,11.44,6824
26-Dec-14,11.40,11.74,11.02,11.74,1293
23-Dec-14,10.95,11.40,10.66,11.37,17602
22-Dec-14,11.00,11.11,10.69,10.99,7098
19-Dec-14,11.09,11.42,10.87,10.99,37554
18-Dec-14,10.85,11.14,10.85,10.99,5268
17-Dec-14,10.58,10.91,10.53,10.82,28188
16-Dec-14,11.09,11.16,10.25,10.60,465273
15-Dec-14,11.89,11.89,11.41,11.56,9074
12-Dec-14,11.77,11.77,11.50,11.50,8935
11-Dec-14,11.00,11.99,10.99,11.94,13948
10-Dec-14,10.37,10.91,10.35,10.91,14414
9-Dec-14,10.40,10.78,10.37,10.40,7965
8-Dec-14,10.55,10.55,10.37,10.42,2767
5-Dec-14,10.90,10.95,10.65,10.75,1805
4-Dec-14,10.77,10.85,10.46,10.77,3798
3-Dec-14,10.90,10.99,10.27,10.67,2150
2-Dec-14,10.52,10.53,10.21,10.38,7356
1-Dec-14,10.66,10.80,10.50,10.50,2281
28-Nov-14,10.62,10.96,10.60,10.65,1450
26-Nov-14,10.65,10.84,10.65,10.84,996
25-Nov-14,10.60,10.60,10.60,10.60,454
24-Nov-14,10.57,10.67,10.55,10.63,5212
20-Nov-14,10.21,11.20,10.21,10.88,1590
19-Nov-14,10.16,10.16,10.16,10.16,461
18-Nov-14,10.10,10.75,10.06,10.27,2643
17-Nov-14,10.45,10.45,10.00,10.35,3125
14-Nov-14,11.08,11.08,10.41,10.61,5512
13-Nov-14,10.80,10.87,10.75,10.87,9745
12-Nov-14,10.85,10.88,10.55,10.61,11219
11-Nov-14,10.91,10.91,10.85,10.85,1001
10-Nov-14,10.98,11.42,10.62,10.70,2646
7-Nov-14,10.87,11.18,10.61,11.18,3448
6-Nov-14,10.93,11.18,10.93,11.02,3798
5-Nov-14,11.01,11.22,11.01,11.18,1226
4-Nov-14,11.22,11.34,10.94,10.94,5438
3-Nov-14,11.47,11.47,11.06,11.06,5376
31-Oct-14,11.31,11.47,11.15,11.47,3873
30-Oct-14,11.67,11.67,11.02,11.11,12272
29-Oct-14,11.86,11.86,11.60,11.82,2264
28-Oct-14,11.48,11.86,11.48,11.86,3659
27-Oct-14,11.75,11.86,11.45,11.45,8857
24-Oct-14,11.97,11.97,11.45,11.91,5998
23-Oct-14,11.37,11.91,11.37,11.41,4191
22-Oct-14,11.81,11.93,11.65,11.66,5343
21-Oct-14,11.70,12.50,11.70,12.20,9695
20-Oct-14,11.75,12.13,10.93,11.70,12466
17-Oct-14,12.35,12.35,11.58,12.22,11936
16-Oct-14,11.82,12.06,11.61,12.06,4104
15-Oct-14,12.00,12.00,10.97,11.86,6181
14-Oct-14,11.50,12.50,11.50,12.27,11415
13-Oct-14,10.94,11.49,10.87,11.43,7349
10-Oct-14,10.94,11.19,10.89,11.07,3012
9-Oct-14,11.00,11.23,10.94,11.21,6287
8-Oct-14,10.65,11.03,10.63,11.03,7105
7-Oct-14,10.66,10.86,10.55,10.70,6382
6-Oct-14,10.93,10.99,10.58,10.66,3307
3-Oct-14,10.55,10.78,10.55,10.78,5930
2-Oct-14,10.57,10.67,10.57,10.67,300
1-Oct-14,10.82,10.82,10.55,10.61,2019
30-Sep-14,10.55,10.72,10.55,10.67,3406
29-Sep-14,10.75,10.86,10.50,10.56,6759
26-Sep-14,10.62,10.97,10.62,10.84,8424
25-Sep-14,11.04,11.04,10.56,10.56,9765
24-Sep-14,11.15,11.24,11.04,11.04,2301
23-Sep-14,11.23,11.23,11.15,11.15,402
22-Sep-14,11.21,11.33,11.15,11.25,3005
19-Sep-14,11.23,11.35,11.15,11.19,4007
18-Sep-14,11.27,11.34,11.22,11.34,7000
17-Sep-14,11.14,11.21,11.01,11.16,8011
16-Sep-14,11.14,11.24,11.11,11.12,2201
15-Sep-14,11.19,11.34,11.11,11.12,3985
12-Sep-14,11.16,11.41,11.12,11.26,9597
11-Sep-14,11.40,11.40,11.15,11.24,4516
10-Sep-14,11.34,11.44,11.25,11.30,3186
