Date,Open,High,Low,Close,Volume
31-Dec-14,11.38,11.39,11.15,11.18,2343226
30-Dec-14,11.32,11.39,11.18,11.35,2567649
29-Dec-14,11.23,11.38,11.22,11.32,3756364
26-Dec-14,11.28,11.37,11.26,11.32,3991023
24-Dec-14,11.13,11.37,11.13,11.25,5750741
23-Dec-14,11.18,11.18,11.06,11.14,6913356
22-Dec-14,11.01,11.19,11.01,11.13,4911718
19-Dec-14,10.98,11.08,10.92,11.02,3471460
18-Dec-14,10.89,10.96,10.78,10.95,6648854
17-Dec-14,10.78,10.86,10.53,10.68,9683246
16-Dec-14,10.73,11.07,10.68,10.77,5472614
15-Dec-14,10.71,10.84,10.70,10.78,5252404
12-Dec-14,10.77,10.94,10.61,10.62,3385526
11-Dec-14,10.97,11.05,10.79,10.85,4514559
10-Dec-14,11.07,11.13,10.88,10.90,3880164
9-Dec-14,10.85,11.11,10.72,11.10,8161030
8-Dec-14,11.32,11.36,10.96,10.98,4115682
5-Dec-14,11.27,11.32,11.24,11.29,4511431
4-Dec-14,11.26,11.32,11.19,11.27,6634146
3-Dec-14,11.06,11.25,11.06,11.24,6692280
2-Dec-14,11.14,11.25,11.09,11.10,3552913
1-Dec-14,11.03,11.22,11.00,11.11,3549680
28-Nov-14,11.06,11.11,11.02,11.09,1728111
26-Nov-14,11.12,11.14,11.06,11.09,2275245
25-Nov-14,11.20,11.25,11.07,11.10,5390298
24-Nov-14,11.15,11.23,11.05,11.20,3170670
21-Nov-14,11.11,11.18,11.05,11.10,6164643
20-Nov-14,10.93,11.12,10.92,11.03,4136738
19-Nov-14,11.08,11.10,10.92,10.99,3056329
18-Nov-14,10.98,11.19,10.97,11.08,6286725
17-Nov-14,11.09,11.14,10.97,10.98,2314108
14-Nov-14,11.06,11.12,10.93,11.10,4799219
13-Nov-14,11.01,11.12,10.85,10.89,3475821
12-Nov-14,10.88,11.07,10.79,11.03,5323300
11-Nov-14,10.74,10.94,10.74,10.92,3196720
10-Nov-14,10.89,11.08,10.73,10.74,6726415
7-Nov-14,10.86,10.93,10.76,10.86,3041767
