Date,Open,High,Low,Close,Volume
31-Dec-14,1.35,1.42,1.35,1.40,42920
30-Dec-14,1.42,1.49,1.35,1.36,36683
29-Dec-14,1.48,1.48,1.43,1.44,40155
26-Dec-14,1.44,1.48,1.44,1.48,23332
24-Dec-14,1.45,1.45,1.43,1.43,30105
23-Dec-14,1.43,1.46,1.43,1.43,29831
22-Dec-14,1.50,1.50,1.43,1.44,20258
19-Dec-14,1.44,1.50,1.42,1.47,45668
18-Dec-14,1.43,1.48,1.43,1.47,25243
17-Dec-14,1.48,1.49,1.42,1.43,43021
16-Dec-14,1.43,1.49,1.43,1.47,28512
15-Dec-14,1.50,1.50,1.42,1.44,69006
12-Dec-14,1.45,1.60,1.42,1.43,29873
11-Dec-14,1.65,1.65,1.42,1.43,57878
10-Dec-14,1.53,1.64,1.45,1.48,25810
9-Dec-14,1.44,1.60,1.40,1.53,40088
8-Dec-14,1.47,1.58,1.40,1.56,91521
5-Dec-14,1.52,1.64,1.46,1.50,54741
4-Dec-14,1.56,1.63,1.56,1.56,26245
3-Dec-14,1.64,1.64,1.57,1.57,71757
2-Dec-14,1.45,1.60,1.45,1.59,228379
1-Dec-14,1.26,1.49,1.26,1.45,123119
28-Nov-14,1.30,1.30,1.25,1.25,8833
26-Nov-14,1.30,1.35,1.26,1.32,25704
25-Nov-14,1.30,1.37,1.28,1.28,13229
24-Nov-14,1.39,1.40,1.30,1.32,31655
21-Nov-14,1.32,1.40,1.30,1.36,52970
20-Nov-14,1.25,1.33,1.22,1.31,32934
19-Nov-14,1.20,1.25,1.20,1.23,28289
18-Nov-14,1.21,1.25,1.18,1.20,18467
17-Nov-14,1.24,1.24,1.16,1.22,27548
14-Nov-14,1.22,1.24,1.18,1.20,13745
13-Nov-14,1.24,1.24,1.19,1.21,22900
12-Nov-14,1.26,1.28,1.11,1.25,58765
11-Nov-14,1.29,1.30,1.25,1.26,13789
10-Nov-14,1.30,1.30,1.29,1.30,21200
7-Nov-14,1.29,1.32,1.29,1.29,24800
6-Nov-14,1.27,1.30,1.24,1.29,62600
5-Nov-14,1.26,1.30,1.26,1.26,20143
4-Nov-14,1.28,1.33,1.28,1.28,20213
3-Nov-14,1.29,1.30,1.26,1.28,27474
31-Oct-14,1.31,1.31,1.25,1.29,15769
30-Oct-14,1.25,1.36,1.25,1.33,21711
29-Oct-14,1.32,1.32,1.25,1.27,20356
28-Oct-14,1.24,1.30,1.23,1.30,34122
27-Oct-14,1.23,1.28,1.22,1.26,81090
24-Oct-14,1.33,1.36,1.22,1.25,77349
23-Oct-14,1.11,1.34,1.11,1.30,111516
22-Oct-14,1.39,1.41,1.32,1.33,91075
21-Oct-14,1.33,1.39,1.26,1.27,31756
20-Oct-14,1.18,1.40,1.18,1.28,18230
17-Oct-14,1.19,1.25,1.10,1.14,52340
16-Oct-14,1.26,1.26,1.15,1.16,20116
15-Oct-14,1.28,1.29,1.23,1.28,29158
14-Oct-14,1.38,1.40,1.27,1.32,25266
13-Oct-14,1.44,1.44,1.22,1.32,37765
10-Oct-14,1.26,1.35,1.25,1.30,93422
9-Oct-14,1.21,1.26,1.21,1.23,55080
8-Oct-14,1.11,1.20,1.10,1.19,23765
7-Oct-14,1.15,1.15,1.10,1.12,78752
6-Oct-14,1.19,1.20,1.09,1.16,52989
3-Oct-14,1.14,1.19,1.06,1.16,38981
2-Oct-14,1.12,1.18,1.08,1.13,45383
1-Oct-14,1.12,1.17,1.12,1.15,106966
30-Sep-14,1.06,1.26,1.05,1.15,42762
