Date,Open,High,Low,Close,Volume
31-Dec-14,7.17,7.20,6.81,7.01,95945
30-Dec-14,6.79,7.25,6.50,7.03,212738
29-Dec-14,6.68,6.88,6.45,6.80,93974
26-Dec-14,6.39,6.74,6.32,6.69,44965
24-Dec-14,6.40,6.40,6.07,6.35,106075
23-Dec-14,6.80,6.80,6.37,6.50,120081
22-Dec-14,6.14,7.09,6.00,6.90,419750
19-Dec-14,5.89,6.19,5.89,6.14,65605
18-Dec-14,6.08,6.24,5.59,5.90,107007
17-Dec-14,6.17,6.28,5.99,6.19,91048
16-Dec-14,5.94,6.19,5.86,6.19,111553
15-Dec-14,6.33,6.45,5.82,6.01,134612
12-Dec-14,6.23,6.50,6.08,6.42,91556
11-Dec-14,6.60,6.66,6.04,6.23,164041
10-Dec-14,6.66,6.66,6.01,6.49,121382
9-Dec-14,6.52,6.73,6.34,6.56,134186
8-Dec-14,6.60,7.25,6.35,6.64,571376
5-Dec-14,5.41,6.66,5.40,6.60,619814
4-Dec-14,5.32,5.40,5.32,5.40,34522
3-Dec-14,5.35,5.37,5.35,5.35,21495
2-Dec-14,5.41,5.41,5.35,5.35,20623
1-Dec-14,5.39,5.49,5.31,5.41,84141
28-Nov-14,5.45,5.45,5.25,5.30,35779
26-Nov-14,5.36,5.47,5.36,5.45,52463
25-Nov-14,5.43,5.49,5.31,5.43,62005
24-Nov-14,5.34,5.45,5.27,5.38,91579
21-Nov-14,5.45,5.45,5.22,5.27,24424
20-Nov-14,5.36,5.40,5.30,5.34,32478
19-Nov-14,5.45,5.46,5.34,5.34,39301
18-Nov-14,5.45,5.49,5.31,5.45,95703
17-Nov-14,5.50,5.50,5.28,5.30,60449
14-Nov-14,5.45,5.45,5.34,5.38,16400
13-Nov-14,5.37,5.47,5.25,5.41,50707
12-Nov-14,5.33,5.37,5.27,5.31,37424
11-Nov-14,5.53,5.53,5.34,5.40,28508
10-Nov-14,5.40,5.54,5.40,5.48,41230
7-Nov-14,5.42,5.63,5.25,5.34,143040
6-Nov-14,5.45,5.54,5.30,5.43,73587
5-Nov-14,5.50,5.58,5.39,5.42,40327
4-Nov-14,5.33,5.50,5.21,5.50,86211
3-Nov-14,5.37,5.50,5.23,5.33,71598
31-Oct-14,5.48,5.53,5.37,5.40,18098
30-Oct-14,5.57,5.57,5.35,5.49,51719
29-Oct-14,5.50,5.54,5.28,5.51,51151
28-Oct-14,5.33,5.49,5.27,5.46,70173
27-Oct-14,5.46,5.54,5.27,5.33,78161
24-Oct-14,5.41,5.55,5.37,5.46,118770
23-Oct-14,5.51,5.67,5.27,5.47,244601
22-Oct-14,5.50,5.62,5.39,5.55,67728
21-Oct-14,5.73,5.74,5.53,5.55,162274
20-Oct-14,5.73,5.73,5.61,5.69,44458
17-Oct-14,5.75,5.75,5.50,5.73,225904
16-Oct-14,5.50,5.88,5.41,5.68,182561
15-Oct-14,5.71,5.71,5.50,5.57,109546
14-Oct-14,5.70,5.78,5.50,5.65,113217
13-Oct-14,5.46,5.83,5.37,5.60,543448
10-Oct-14,5.42,5.42,4.75,5.08,245776
9-Oct-14,5.41,5.50,5.14,5.27,188820
8-Oct-14,5.29,5.49,5.17,5.47,169289
7-Oct-14,5.25,5.30,5.20,5.25,116581
6-Oct-14,5.28,5.45,5.21,5.27,118363
3-Oct-14,5.32,5.69,5.25,5.39,89706
2-Oct-14,5.44,5.48,5.30,5.45,192877
1-Oct-14,5.31,5.63,5.31,5.45,176671
30-Sep-14,5.41,5.75,5.41,5.45,150513
29-Sep-14,5.71,5.98,5.40,5.46,146504
26-Sep-14,5.50,5.75,5.27,5.70,218083
25-Sep-14,5.50,5.58,5.25,5.33,527257
24-Sep-14,5.77,5.80,5.54,5.60,458018
23-Sep-14,5.90,6.08,5.74,5.77,461815
22-Sep-14,6.11,6.25,5.90,5.99,460948
19-Sep-14,6.20,6.48,5.70,6.15,2499269
18-Sep-14,8.00,11.00,6.22,6.22,16000277
