Date,Open,High,Low,Close,Volume
31-Dec-14,1.09,1.09,1.00,1.04,64454
30-Dec-14,1.09,1.09,1.00,1.07,38516
29-Dec-14,1.00,1.10,1.00,1.10,47877
26-Dec-14,0.95,1.00,0.95,1.00,18019
24-Dec-14,0.92,0.95,0.92,0.95,4123
23-Dec-14,0.90,0.95,0.88,0.90,10648
22-Dec-14,0.88,0.95,0.84,0.92,27759
19-Dec-14,0.91,0.93,0.82,0.93,117870
18-Dec-14,0.97,1.04,0.88,0.91,44177
17-Dec-14,0.96,0.97,0.91,0.93,33064
16-Dec-14,1.12,1.12,0.85,0.98,29000
15-Dec-14,1.03,1.07,0.97,0.97,24367
12-Dec-14,1.05,1.11,1.03,1.03,14730
11-Dec-14,1.12,1.18,1.03,1.05,33789
10-Dec-14,1.10,1.12,1.08,1.08,8570
9-Dec-14,1.16,1.16,1.12,1.12,941
8-Dec-14,1.18,1.18,1.09,1.10,8242
5-Dec-14,1.10,1.18,1.10,1.16,23099
4-Dec-14,1.11,1.19,1.08,1.08,15870
3-Dec-14,1.10,1.14,1.10,1.11,13162
2-Dec-14,1.10,1.18,1.10,1.11,12297
1-Dec-14,1.08,1.20,1.08,1.15,11765
28-Nov-14,1.08,1.18,1.08,1.10,9929
26-Nov-14,1.06,1.19,1.06,1.11,61402
25-Nov-14,1.09,1.10,1.06,1.08,38266
24-Nov-14,1.04,1.13,1.03,1.05,41005
21-Nov-14,1.05,1.07,1.03,1.04,20077
20-Nov-14,1.14,1.14,1.04,1.07,34106
19-Nov-14,1.15,1.15,1.11,1.14,7423
18-Nov-14,1.14,1.15,1.12,1.14,6706
17-Nov-14,1.23,1.23,1.12,1.12,39557
14-Nov-14,1.18,1.20,1.17,1.19,4275
13-Nov-14,1.18,1.18,1.15,1.18,9247
12-Nov-14,1.20,1.20,1.18,1.18,11900
11-Nov-14,1.20,1.21,1.20,1.20,2306
10-Nov-14,1.19,1.22,1.19,1.21,13713
7-Nov-14,1.16,1.20,1.16,1.18,15385
6-Nov-14,1.20,1.20,1.17,1.18,4460
5-Nov-14,1.24,1.24,1.21,1.21,7437
4-Nov-14,1.27,1.27,1.21,1.23,11706
3-Nov-14,1.26,1.26,1.23,1.24,14206
31-Oct-14,1.30,1.30,1.17,1.22,22265
30-Oct-14,1.23,1.32,1.20,1.26,30853
29-Oct-14,1.25,1.25,1.21,1.22,20126
28-Oct-14,1.25,1.32,1.21,1.24,25629
27-Oct-14,1.27,1.29,1.20,1.24,11657
24-Oct-14,1.23,1.28,1.21,1.24,31430
23-Oct-14,1.26,1.26,1.20,1.24,9633
22-Oct-14,1.23,1.27,1.23,1.27,5928
21-Oct-14,1.23,1.27,1.21,1.23,26171
