Date,Open,High,Low,Close,Volume
31-Dec-14,8.52,8.85,8.37,8.60,264672
30-Dec-14,8.52,8.63,8.40,8.44,192589
29-Dec-14,8.64,8.73,8.46,8.58,134614
26-Dec-14,8.60,8.83,8.53,8.65,231836
24-Dec-14,8.44,8.66,8.36,8.53,72989
23-Dec-14,8.62,8.72,8.40,8.42,178744
22-Dec-14,8.33,8.68,8.15,8.57,332783
19-Dec-14,8.34,8.34,8.07,8.32,377323
18-Dec-14,8.50,8.64,8.17,8.37,334210
17-Dec-14,8.10,8.36,7.93,8.34,263966
16-Dec-14,7.87,8.20,7.77,8.02,352000
15-Dec-14,8.02,8.30,7.86,7.86,359252
12-Dec-14,8.04,8.23,7.98,8.02,261308
11-Dec-14,8.24,8.52,8.10,8.18,334688
10-Dec-14,8.51,8.61,8.15,8.18,300656
9-Dec-14,8.13,8.62,8.00,8.53,295125
8-Dec-14,8.61,8.75,8.22,8.25,434510
5-Dec-14,8.42,8.56,8.34,8.51,272495
4-Dec-14,8.30,8.52,8.18,8.43,274462
3-Dec-14,8.22,8.34,8.12,8.32,285338
2-Dec-14,7.76,8.25,7.66,8.23,372838
1-Dec-14,7.97,8.07,7.72,7.72,334184
28-Nov-14,8.20,8.30,8.02,8.04,258211
26-Nov-14,8.16,8.39,8.04,8.15,341330
25-Nov-14,8.34,8.38,8.05,8.19,259897
24-Nov-14,8.29,8.43,8.25,8.35,235689
21-Nov-14,8.52,8.75,8.16,8.24,723521
20-Nov-14,8.22,8.62,8.12,8.35,220810
19-Nov-14,8.42,8.55,8.15,8.25,239804
18-Nov-14,8.34,8.63,8.28,8.46,466308
17-Nov-14,8.63,8.72,8.29,8.30,225860
14-Nov-14,8.46,8.74,8.46,8.69,309716
13-Nov-14,8.67,8.86,8.42,8.43,203704
12-Nov-14,8.85,8.85,8.62,8.69,219759
11-Nov-14,8.80,9.02,8.76,8.86,322051
10-Nov-14,9.02,9.05,8.72,8.86,243165
7-Nov-14,8.93,9.02,8.50,8.78,310405
6-Nov-14,8.89,9.08,8.65,8.93,859523
5-Nov-14,8.00,8.99,7.77,8.90,2021789
4-Nov-14,7.76,8.04,7.76,7.94,269710
3-Nov-14,7.95,8.09,7.75,7.83,212536
31-Oct-14,7.93,8.14,7.84,7.97,443529
30-Oct-14,7.63,8.04,7.52,7.75,710288
29-Oct-14,7.17,7.25,6.98,7.09,288742
28-Oct-14,6.94,7.21,6.85,7.14,273197
27-Oct-14,6.66,7.01,6.65,6.88,159715
24-Oct-14,6.84,6.90,6.68,6.72,114315
23-Oct-14,6.65,7.04,6.65,6.81,284436
22-Oct-14,6.74,6.81,6.50,6.56,253361
21-Oct-14,6.83,6.87,6.60,6.75,252381
20-Oct-14,6.62,6.95,6.62,6.79,289144
17-Oct-14,6.79,6.86,6.62,6.68,261523
16-Oct-14,6.39,6.96,6.30,6.68,356077
15-Oct-14,6.04,6.52,5.83,6.50,340910
14-Oct-14,6.30,6.44,6.10,6.18,403220
13-Oct-14,6.35,6.40,6.16,6.19,389262
10-Oct-14,6.85,6.85,6.30,6.32,384515
9-Oct-14,7.29,7.30,6.89,6.91,271163
8-Oct-14,7.04,7.34,6.94,7.32,205016
7-Oct-14,7.13,7.21,6.98,7.08,251740
6-Oct-14,7.39,7.44,7.00,7.21,301002
3-Oct-14,7.43,7.56,7.22,7.42,326647
2-Oct-14,7.04,7.28,6.89,7.27,262651
1-Oct-14,7.18,7.18,6.92,7.06,291453
30-Sep-14,7.44,7.46,7.15,7.17,292172
29-Sep-14,7.33,7.61,7.33,7.43,233867
26-Sep-14,7.40,7.65,7.37,7.46,207985
25-Sep-14,7.15,7.41,7.01,7.36,404911
24-Sep-14,7.07,7.25,7.02,7.18,151197
23-Sep-14,7.16,7.34,7.03,7.03,158968
22-Sep-14,7.33,7.45,7.20,7.21,155782
19-Sep-14,7.63,7.72,7.33,7.37,306393
18-Sep-14,7.67,7.85,7.50,7.62,322138
17-Sep-14,7.64,7.80,7.55,7.62,156295
16-Sep-14,7.60,7.72,7.44,7.66,242373
15-Sep-14,7.71,7.71,7.48,7.67,244324
12-Sep-14,7.95,7.95,7.57,7.74,254952
11-Sep-14,7.67,7.94,7.66,7.92,148130
10-Sep-14,7.72,7.80,7.63,7.74,164410
9-Sep-14,7.90,7.96,7.64,7.69,202900
8-Sep-14,7.99,8.18,7.88,7.91,221697
5-Sep-14,7.93,8.04,7.85,8.01,223762
4-Sep-14,8.10,8.41,7.93,7.96,291106
3-Sep-14,8.40,8.40,8.04,8.09,495675
2-Sep-14,7.27,8.48,7.25,8.41,1676187
29-Aug-14,6.87,7.20,6.86,7.04,286933
