Date,Open,High,Low,Close,Volume
31-Dec-14,17.47,17.98,16.90,17.06,260242
30-Dec-14,15.94,17.37,15.30,17.37,298375
29-Dec-14,15.25,16.23,15.00,15.99,444504
26-Dec-14,15.03,15.35,14.31,15.29,201537
24-Dec-14,14.36,15.83,14.30,15.30,168779
23-Dec-14,14.50,14.66,13.30,14.23,738665
22-Dec-14,15.09,15.20,14.00,14.37,811044
19-Dec-14,16.06,16.18,14.61,15.01,2839855
18-Dec-14,16.69,16.92,16.17,16.22,575467
17-Dec-14,17.06,18.02,15.80,16.45,593109
16-Dec-14,16.58,17.30,16.58,16.95,725685
15-Dec-14,16.88,17.58,16.75,16.93,892127
12-Dec-14,17.86,18.00,16.88,17.14,737958
11-Dec-14,18.65,18.90,17.56,18.02,1070629
10-Dec-14,16.50,18.82,16.40,18.52,1682489
9-Dec-14,17.50,17.59,16.89,17.48,903481
8-Dec-14,16.60,18.48,16.52,17.37,1120520
5-Dec-14,17.03,17.26,16.56,16.88,1117433
4-Dec-14,17.24,17.76,16.53,17.00,1017461
3-Dec-14,17.53,17.71,17.00,17.18,383643
2-Dec-14,17.00,17.95,16.77,17.23,1310900
1-Dec-14,16.73,16.76,15.80,16.73,661928
28-Nov-14,16.91,16.91,16.39,16.71,266351
26-Nov-14,17.68,17.68,17.00,17.09,355750
25-Nov-14,17.49,17.93,17.42,17.80,438621
24-Nov-14,17.11,17.85,16.59,17.66,381254
21-Nov-14,17.60,18.18,17.06,17.20,230398
20-Nov-14,18.65,18.65,17.30,17.59,632421
19-Nov-14,19.10,19.55,18.60,18.70,209075
18-Nov-14,19.10,20.30,19.10,19.45,338735
17-Nov-14,19.19,19.49,18.53,19.20,295392
14-Nov-14,18.50,19.08,18.25,18.84,274044
13-Nov-14,18.05,18.99,18.05,18.21,325871
12-Nov-14,18.06,18.51,18.00,18.30,183230
11-Nov-14,18.50,19.37,17.00,18.51,596284
10-Nov-14,19.10,19.19,18.08,18.42,856040
7-Nov-14,19.75,20.45,18.50,19.11,9931798
