Date,Open,High,Low,Close,Volume
31-Dec-14,29.50,30.87,29.50,30.10,7442
30-Dec-14,29.65,29.90,29.60,29.60,7601
29-Dec-14,29.65,30.56,29.31,30.30,9682
26-Dec-14,29.28,30.78,29.28,30.50,4502
24-Dec-14,29.50,30.30,29.00,29.00,5679
23-Dec-14,29.30,30.51,29.30,30.00,5733
22-Dec-14,29.48,29.55,29.28,29.30,2358
19-Dec-14,29.60,29.60,29.05,29.05,608
18-Dec-14,29.35,29.35,29.35,29.35,300
17-Dec-14,29.35,29.35,29.35,29.35,210
16-Dec-14,29.01,29.01,29.01,29.01,552
12-Dec-14,29.46,29.69,29.46,29.69,1342
10-Dec-14,29.66,29.66,29.66,29.66,125
4-Dec-14,29.06,29.61,29.06,29.61,519
3-Dec-14,29.00,29.00,29.00,29.00,1000
1-Dec-14,28.90,28.90,28.50,28.50,636
28-Nov-14,28.29,29.90,28.00,29.50,2816
26-Nov-14,27.50,27.50,27.50,27.50,882
25-Nov-14,27.00,27.00,27.00,27.00,136
18-Nov-14,27.30,27.30,26.26,26.26,2959
17-Nov-14,27.01,27.01,27.00,27.00,200
13-Nov-14,26.92,27.00,26.92,27.00,1283
11-Nov-14,27.25,27.25,25.32,25.32,2920
7-Nov-14,27.72,27.72,27.72,27.72,250
4-Nov-14,27.72,27.72,27.72,27.72,581
3-Nov-14,27.69,27.72,27.69,27.72,426
31-Oct-14,27.69,27.69,27.69,27.69,102
28-Oct-14,27.90,27.90,27.26,27.70,860
27-Oct-14,27.90,27.90,27.88,27.88,418
23-Oct-14,27.00,27.41,27.00,27.25,1410
22-Oct-14,27.25,27.25,27.25,27.25,1035
20-Oct-14,28.00,28.00,27.90,27.90,1970
16-Oct-14,27.10,28.00,27.00,28.00,698
15-Oct-14,27.00,27.04,27.00,27.00,3088
13-Oct-14,27.40,28.00,27.30,27.84,900
10-Oct-14,26.70,27.40,26.70,27.40,1573
9-Oct-14,27.37,27.38,27.37,27.38,300
7-Oct-14,26.98,27.29,26.92,27.29,3827
3-Oct-14,26.90,26.90,26.84,26.90,1241
1-Oct-14,26.55,26.55,26.55,26.55,332
29-Sep-14,26.98,26.98,26.98,26.98,131
26-Sep-14,26.23,26.99,26.23,26.99,1129
24-Sep-14,26.82,26.99,26.82,26.99,362
22-Sep-14,26.03,26.03,26.03,26.03,120
19-Sep-14,25.80,26.91,25.80,26.10,2817
18-Sep-14,26.97,26.97,26.97,26.97,107
17-Sep-14,26.91,26.91,26.91,26.91,202
16-Sep-14,26.08,26.08,25.47,26.02,502
12-Sep-14,26.92,27.00,26.75,26.75,1513
10-Sep-14,25.80,27.00,25.32,25.84,17149
9-Sep-14,25.77,26.40,25.25,26.00,23022
8-Sep-14,25.82,25.82,25.56,25.82,4965
2-Sep-14,26.25,26.25,25.80,26.03,2316
29-Aug-14,26.95,26.95,26.17,26.25,2154
28-Aug-14,26.25,26.25,25.70,25.90,6848
26-Aug-14,26.00,26.00,26.00,26.00,590
25-Aug-14,26.20,26.23,25.80,26.23,9443
22-Aug-14,26.25,26.25,26.18,26.20,600
21-Aug-14,26.25,26.25,26.22,26.22,1000
20-Aug-14,26.82,26.82,26.30,26.30,1813
19-Aug-14,27.00,27.00,26.80,26.80,698
18-Aug-14,26.80,26.83,26.80,26.80,1078
13-Aug-14,26.67,26.70,26.60,26.60,1894
12-Aug-14,26.52,26.70,26.52,26.70,713
7-Aug-14,26.66,26.66,26.40,26.45,4303
6-Aug-14,26.30,26.69,26.30,26.69,410
4-Aug-14,26.70,26.70,26.30,26.30,1176
30-Jul-14,26.61,26.70,26.61,26.70,1030
24-Jul-14,26.44,26.45,26.33,26.35,2034
21-Jul-14,26.21,26.21,26.21,26.21,250
18-Jul-14,26.21,26.21,26.21,26.21,112
17-Jul-14,26.40,26.40,26.28,26.34,1700
16-Jul-14,26.26,26.26,26.23,26.23,742
14-Jul-14,26.41,26.41,26.21,26.41,243
10-Jul-14,26.42,26.53,26.21,26.52,2822
8-Jul-14,26.41,26.69,26.10,26.27,6097
2-Jul-14,26.50,26.50,26.35,26.40,1443
23-Jun-14,26.55,26.55,26.55,26.55,314
16-Jun-14,26.40,26.43,26.40,26.43,201
13-Jun-14,26.28,26.28,26.28,26.28,644
11-Jun-14,26.70,26.70,26.68,26.68,2877
9-Jun-14,26.50,26.51,26.50,26.51,558
4-Jun-14,26.89,26.89,26.02,26.06,1204
2-Jun-14,26.16,26.99,26.16,26.99,4719
30-May-14,26.37,26.37,26.37,26.37,223
29-May-14,25.91,25.91,25.91,25.91,107
23-May-14,25.86,25.86,25.83,25.83,316
22-May-14,26.00,26.12,26.00,26.12,810
20-May-14,26.00,26.68,26.00,26.68,1609
16-May-14,25.51,25.71,25.51,25.71,852
9-May-14,25.82,25.82,25.82,25.82,156
5-May-14,26.26,26.26,25.65,25.83,1326
2-May-14,26.32,26.32,25.98,26.24,871
29-Apr-14,25.75,26.69,25.75,26.69,419
28-Apr-14,25.74,26.00,25.62,25.62,779
25-Apr-14,25.78,25.78,25.60,25.61,928
24-Apr-14,25.96,26.50,25.96,26.00,705
23-Apr-14,26.00,26.00,25.85,25.85,2287
22-Apr-14,25.75,25.76,25.75,25.75,753
21-Apr-14,25.82,25.99,25.61,25.61,1213
17-Apr-14,25.96,26.00,25.80,25.81,1193
10-Apr-14,25.71,25.71,25.60,25.60,200
9-Apr-14,25.61,25.61,25.61,25.61,200
7-Apr-14,25.50,25.50,25.50,25.50,141
3-Apr-14,25.50,25.53,25.50,25.53,539
28-Mar-14,25.70,25.70,25.41,25.70,403
21-Mar-14,25.36,25.36,25.36,25.36,463
17-Mar-14,25.64,26.67,25.64,26.64,1200
14-Mar-14,25.50,25.60,25.50,25.60,2383
10-Mar-14,25.50,25.50,25.49,25.50,1649
7-Mar-14,25.75,25.85,25.50,25.50,2606
6-Mar-14,25.31,25.31,25.31,25.31,340
4-Mar-14,28.00,28.00,25.36,25.36,350
3-Mar-14,27.35,27.35,25.40,25.40,422
28-Feb-14,25.45,27.35,25.45,27.35,2561
27-Feb-14,25.25,25.31,25.25,25.30,4306
26-Feb-14,25.50,25.60,25.50,25.60,2442
25-Feb-14,25.50,25.50,25.50,25.50,779
24-Feb-14,27.20,27.20,25.50,26.00,5564
21-Feb-14,25.76,25.76,25.75,25.75,1365
19-Feb-14,26.00,26.00,26.00,26.00,315
18-Feb-14,25.75,25.87,25.75,25.87,1250
11-Feb-14,25.70,25.70,25.70,25.70,184
7-Feb-14,24.97,26.05,24.97,25.20,978
6-Feb-14,25.39,25.50,25.00,25.00,2126
5-Feb-14,25.70,26.00,25.24,25.24,2183
4-Feb-14,25.70,26.90,25.28,26.90,4505
3-Feb-14,25.37,27.48,25.04,25.59,7331
27-Jan-14,25.30,25.30,25.30,25.30,281
24-Jan-14,25.25,25.30,25.25,25.30,309
23-Jan-14,26.00,26.84,25.52,25.52,974
21-Jan-14,25.47,25.60,25.47,25.60,2365
17-Jan-14,25.34,25.34,25.33,25.33,360
16-Jan-14,25.33,25.33,25.33,25.33,250
9-Jan-14,25.26,25.87,25.25,25.33,1341
6-Jan-14,25.88,27.28,25.02,26.25,2290
2-Jan-14,25.55,25.55,25.55,25.55,549
24-Dec-13,25.55,26.00,25.55,26.00,1194
23-Dec-13,25.65,26.04,25.65,25.73,1411
20-Dec-13,26.00,27.00,26.00,27.00,460
17-Dec-13,26.00,26.00,25.91,25.91,950
16-Dec-13,26.04,26.15,26.00,26.00,1621
9-Dec-13,26.81,27.99,25.75,25.91,2251
6-Dec-13,25.84,25.84,25.84,25.84,100
5-Dec-13,26.60,26.60,26.60,26.60,318
4-Dec-13,26.76,27.45,26.00,27.45,749
3-Dec-13,25.56,25.94,25.55,25.94,1763
2-Dec-13,25.75,25.75,25.55,25.75,1675
29-Nov-13,25.76,25.76,25.76,25.76,133
22-Nov-13,25.10,25.43,25.10,25.35,540
21-Nov-13,26.00,26.00,25.10,25.13,800
20-Nov-13,28.00,28.00,25.70,25.95,3534
19-Nov-13,26.61,26.61,26.00,26.00,2600
15-Nov-13,27.50,27.50,27.00,27.00,560
8-Nov-13,27.50,28.00,27.45,28.00,2386
7-Nov-13,26.50,26.51,26.50,26.51,400
6-Nov-13,26.20,26.20,26.02,26.05,900
5-Nov-13,26.00,26.50,26.00,26.50,2287
4-Nov-13,26.00,26.00,26.00,26.00,956
1-Nov-13,26.15,26.15,26.15,26.15,500
30-Oct-13,26.18,26.18,26.18,26.18,200
29-Oct-13,26.18,26.18,26.18,26.18,200
28-Oct-13,26.02,26.14,26.02,26.14,620
25-Oct-13,26.15,26.15,26.15,26.15,160
24-Oct-13,26.15,26.15,24.33,24.33,400
23-Oct-13,26.15,26.15,26.15,26.15,200
22-Oct-13,26.20,26.20,26.20,26.20,344
17-Oct-13,25.94,26.10,25.94,26.10,238
16-Oct-13,24.30,24.30,24.30,24.30,200
14-Oct-13,25.80,25.80,24.63,24.63,360
11-Oct-13,26.03,26.03,25.80,25.80,1213
10-Oct-13,26.02,26.05,25.81,25.81,900
8-Oct-13,25.80,26.11,25.80,26.10,1614
4-Oct-13,25.36,25.80,25.36,25.80,201
3-Oct-13,25.67,25.67,25.35,25.36,1200
2-Oct-13,26.51,26.51,26.51,26.51,300
1-Oct-13,27.82,27.82,26.03,26.27,1202
30-Sep-13,28.50,28.50,28.26,28.26,403
26-Sep-13,28.75,28.75,28.75,28.75,300
25-Sep-13,28.75,28.75,28.75,28.75,100
24-Sep-13,28.75,28.75,28.00,28.49,500
