Date,Open,High,Low,Close,Volume
31-Dec-14,1.85,2.20,1.85,1.93,258083
30-Dec-14,1.90,1.90,1.71,1.82,92862
29-Dec-14,1.80,1.85,1.75,1.85,31068
26-Dec-14,1.75,1.90,1.72,1.89,33272
24-Dec-14,1.70,1.82,1.70,1.79,10876
23-Dec-14,1.85,1.85,1.68,1.72,35621
22-Dec-14,2.20,2.20,1.75,1.85,30315
19-Dec-14,1.85,1.87,1.66,1.85,25238
18-Dec-14,1.76,1.90,1.70,1.75,29437
17-Dec-14,2.00,2.10,1.71,1.73,133256
16-Dec-14,1.75,1.87,1.65,1.80,72911
15-Dec-14,1.75,1.82,1.70,1.75,14176
12-Dec-14,1.71,1.93,1.71,1.82,32671
11-Dec-14,2.00,2.00,1.70,1.92,72387
10-Dec-14,2.00,2.00,1.80,1.96,23711
9-Dec-14,1.90,1.95,1.81,1.95,24519
8-Dec-14,1.90,1.99,1.75,1.97,75388
5-Dec-14,2.40,2.40,1.80,2.01,177733
4-Dec-14,2.50,2.70,1.90,2.03,515225
3-Dec-14,2.10,2.60,2.00,2.40,452808
2-Dec-14,1.75,2.00,1.61,1.99,135552
1-Dec-14,2.04,2.04,1.67,1.75,51054
28-Nov-14,2.10,2.15,1.85,1.93,34248
26-Nov-14,2.09,2.35,2.05,2.15,138686
25-Nov-14,1.75,2.10,1.58,2.02,190189
24-Nov-14,1.56,1.74,1.56,1.70,38219
21-Nov-14,1.74,1.78,1.59,1.62,51152
20-Nov-14,1.65,1.74,1.56,1.69,92873
19-Nov-14,1.55,1.70,1.55,1.65,58906
18-Nov-14,1.68,1.75,1.55,1.55,80681
17-Nov-14,1.80,1.85,1.65,1.65,36997
14-Nov-14,1.85,1.85,1.70,1.75,30843
13-Nov-14,1.95,1.95,1.70,1.75,61081
12-Nov-14,1.95,2.05,1.70,1.78,67541
11-Nov-14,1.86,2.00,1.80,1.95,35161
10-Nov-14,1.96,2.10,1.80,1.85,63698
7-Nov-14,2.10,2.15,1.95,2.04,42387
6-Nov-14,2.40,2.45,2.08,2.20,35352
5-Nov-14,2.30,2.40,2.15,2.25,51303
4-Nov-14,2.90,2.96,2.36,2.45,85514
3-Nov-14,2.68,3.00,2.66,2.70,112229
31-Oct-14,2.25,2.85,2.20,2.57,294819
30-Oct-14,2.25,2.49,1.90,2.20,56647
29-Oct-14,2.25,2.80,2.20,2.25,347661
28-Oct-14,1.80,2.40,1.80,2.20,156510
27-Oct-14,1.85,1.95,1.70,1.80,20521
24-Oct-14,1.85,1.95,1.80,1.80,45175
23-Oct-14,2.00,2.10,1.86,1.86,15938
22-Oct-14,2.20,2.20,1.91,2.00,18408
21-Oct-14,2.04,2.14,1.90,2.05,27736
20-Oct-14,1.66,2.15,1.65,1.95,110218
17-Oct-14,1.70,1.75,1.60,1.70,28412
16-Oct-14,1.80,1.80,1.60,1.62,51404
15-Oct-14,1.82,1.82,1.60,1.80,48086
14-Oct-14,2.05,2.10,1.70,1.75,76631
13-Oct-14,2.30,2.40,1.90,1.95,29675
10-Oct-14,2.45,2.45,2.15,2.15,18002
9-Oct-14,2.50,2.53,2.11,2.25,48089
8-Oct-14,2.65,2.65,2.30,2.48,19052
7-Oct-14,2.75,2.75,2.40,2.50,62463
6-Oct-14,2.75,3.00,2.52,2.65,28685
3-Oct-14,3.00,3.05,2.75,2.78,14375
2-Oct-14,2.85,2.95,2.75,2.94,8171
1-Oct-14,3.00,3.07,2.75,2.75,32233
30-Sep-14,3.00,3.00,2.80,2.85,6345
29-Sep-14,2.76,3.00,2.76,2.85,4587
26-Sep-14,2.76,3.03,2.75,2.95,15312
25-Sep-14,2.85,2.99,2.75,2.80,12033
24-Sep-14,2.75,3.00,2.75,2.95,13198
23-Sep-14,3.00,3.00,2.73,2.90,17643
22-Sep-14,3.00,3.00,2.80,3.00,19395
19-Sep-14,2.95,3.05,2.65,2.79,25594
18-Sep-14,2.80,2.90,2.70,2.88,14348
17-Sep-14,3.00,3.00,2.66,2.70,32687
16-Sep-14,2.70,3.20,2.70,2.88,62146
15-Sep-14,3.00,3.00,2.50,2.74,85649
8-Sep-14,3.20,3.35,3.20,3.35,56326
5-Sep-14,3.35,3.35,3.05,3.18,98836
4-Sep-14,3.40,3.50,3.20,3.20,43843
3-Sep-14,3.25,3.35,3.15,3.25,22429
2-Sep-14,3.30,3.44,3.16,3.22,57879
29-Aug-14,3.55,3.60,3.31,3.31,67150
28-Aug-14,3.65,3.75,3.45,3.53,60699
27-Aug-14,4.32,4.35,3.56,3.67,219292
26-Aug-14,3.75,4.75,3.70,3.99,961886
25-Aug-14,3.01,3.15,3.00,3.01,16548
22-Aug-14,3.26,3.26,3.10,3.10,24663
21-Aug-14,3.15,3.28,3.11,3.25,28739
20-Aug-14,3.25,3.34,3.10,3.25,19962
19-Aug-14,3.30,3.44,3.04,3.25,57501
18-Aug-14,3.60,3.60,3.40,3.48,11777
15-Aug-14,3.60,3.60,3.30,3.49,37679
14-Aug-14,3.65,3.80,3.50,3.60,35616
13-Aug-14,3.50,3.70,3.45,3.60,37575
12-Aug-14,3.75,3.90,3.30,3.48,66566
11-Aug-14,3.95,3.95,3.75,3.80,21416
8-Aug-14,4.15,4.15,3.85,3.90,18168
7-Aug-14,3.99,4.15,3.85,4.15,14406
6-Aug-14,3.95,4.20,3.85,4.00,16734
5-Aug-14,4.30,4.30,3.85,3.90,18440
4-Aug-14,4.20,4.30,4.00,4.10,9083
1-Aug-14,4.20,4.39,3.95,4.10,15273
31-Jul-14,4.40,4.60,4.10,4.16,16205
30-Jul-14,4.20,4.40,4.15,4.25,22769
29-Jul-14,4.20,4.38,4.10,4.25,20425
28-Jul-14,4.50,4.59,4.05,4.30,54055
25-Jul-14,4.75,4.75,4.45,4.55,13115
24-Jul-14,4.75,4.75,4.60,4.60,9197
23-Jul-14,4.75,4.79,4.55,4.74,17030
22-Jul-14,4.70,4.80,4.60,4.60,18753
21-Jul-14,4.80,4.95,4.52,4.70,24153
18-Jul-14,4.75,4.89,4.70,4.80,20967
17-Jul-14,5.12,5.12,4.50,4.70,55831
16-Jul-14,5.40,5.40,5.05,5.15,45452
15-Jul-14,5.40,5.60,5.10,5.25,27073
14-Jul-14,5.29,5.35,5.10,5.30,15240
11-Jul-14,5.30,5.35,5.20,5.30,22945
10-Jul-14,5.25,5.35,5.25,5.25,20809
9-Jul-14,5.45,5.70,5.25,5.36,26392
8-Jul-14,5.65,5.75,5.30,5.50,56205
7-Jul-14,5.75,6.55,5.55,5.70,613207
3-Jul-14,5.10,5.15,5.05,5.12,11487
2-Jul-14,5.25,5.28,5.15,5.15,8191
1-Jul-14,5.32,5.40,5.05,5.25,17123
30-Jun-14,5.45,5.45,5.20,5.30,3962
27-Jun-14,5.24,5.35,5.15,5.30,3502
26-Jun-14,5.25,5.25,5.14,5.20,2440
25-Jun-14,5.35,5.40,5.25,5.25,2175
24-Jun-14,5.30,5.40,5.25,5.25,13070
23-Jun-14,5.50,5.70,5.35,5.40,12483
20-Jun-14,5.40,5.74,5.35,5.55,9453
19-Jun-14,5.45,5.70,5.35,5.50,30436
18-Jun-14,5.80,5.80,5.65,5.70,18766
17-Jun-14,5.40,6.20,5.40,5.65,177041
16-Jun-14,5.45,5.55,5.40,5.45,4234
13-Jun-14,5.60,5.60,5.36,5.45,13982
12-Jun-14,5.30,5.74,5.20,5.35,68866
11-Jun-14,5.50,5.55,5.15,5.20,30366
10-Jun-14,5.10,5.45,5.10,5.40,12159
9-Jun-14,5.00,5.25,5.00,5.15,27638
6-Jun-14,5.05,5.30,5.05,5.10,4357
5-Jun-14,5.00,5.45,5.00,5.15,7505
4-Jun-14,5.00,5.20,5.00,5.10,10502
3-Jun-14,5.40,5.45,5.00,5.05,24920
2-Jun-14,5.60,5.60,5.20,5.20,8181
30-May-14,5.30,5.55,5.30,5.40,4730
29-May-14,5.30,5.35,5.20,5.30,10374
28-May-14,5.25,5.40,5.25,5.30,5600
27-May-14,5.55,5.70,5.30,5.35,17855
23-May-14,5.55,5.55,5.10,5.40,15846
22-May-14,5.15,5.65,5.15,5.40,10829
21-May-14,5.40,5.55,5.15,5.15,12984
20-May-14,6.00,6.00,5.30,5.50,16011
19-May-14,5.90,5.90,5.72,5.85,2351
16-May-14,5.85,5.85,5.65,5.75,3922
15-May-14,5.75,5.85,5.65,5.75,10818
14-May-14,5.70,5.70,5.40,5.50,11989
13-May-14,5.25,5.70,5.25,5.60,12313
12-May-14,5.15,5.40,5.15,5.30,10056
9-May-14,5.25,5.30,4.85,5.10,36199
8-May-14,5.95,5.95,5.05,5.30,60171
7-May-14,6.25,6.30,5.65,5.75,49846
6-May-14,6.60,6.61,6.30,6.40,17910
5-May-14,6.70,6.70,6.50,6.55,21000
2-May-14,6.80,6.80,6.65,6.70,1654
1-May-14,6.80,6.84,6.60,6.80,16950
30-Apr-14,6.70,7.25,6.60,6.80,51290
