Date,Open,High,Low,Close,Volume
31-Dec-14,3.21,3.36,3.20,3.25,2295383
30-Dec-14,3.31,3.34,3.19,3.21,1376572
29-Dec-14,3.23,3.37,3.23,3.30,2589973
26-Dec-14,3.06,3.24,3.05,3.24,1493530
24-Dec-14,3.00,3.13,2.99,3.06,1161699
23-Dec-14,3.15,3.15,2.95,3.01,2810418
22-Dec-14,3.21,3.22,3.11,3.12,2273152
19-Dec-14,3.26,3.32,3.19,3.26,8868167
18-Dec-14,3.18,3.31,3.17,3.27,3065779
17-Dec-14,3.08,3.19,3.03,3.15,2532181
16-Dec-14,3.04,3.18,3.00,3.04,3163738
15-Dec-14,3.27,3.28,2.91,2.98,4622890
12-Dec-14,3.20,3.35,3.15,3.24,3494079
11-Dec-14,3.40,3.51,3.22,3.23,4365907
10-Dec-14,3.60,3.63,3.36,3.37,4924437
9-Dec-14,3.57,3.68,3.46,3.63,5666877
8-Dec-14,3.75,3.96,3.72,3.78,6879861
5-Dec-14,3.53,3.65,3.52,3.64,3381596
4-Dec-14,3.58,3.61,3.46,3.50,3385061
3-Dec-14,3.57,3.63,3.49,3.60,4314626
2-Dec-14,3.53,3.65,3.53,3.59,3434958
1-Dec-14,3.76,3.76,3.52,3.55,4659197
28-Nov-14,3.69,3.78,3.65,3.68,2350412
26-Nov-14,3.51,3.79,3.50,3.72,7202261
25-Nov-14,3.84,3.87,3.52,3.59,11261566
24-Nov-14,3.83,3.93,3.72,3.84,13317410
21-Nov-14,3.30,3.76,3.28,3.70,18360473
20-Nov-14,3.08,3.28,3.04,3.25,5541246
19-Nov-14,3.20,3.25,3.06,3.11,7032161
18-Nov-14,3.00,3.18,3.00,3.17,8229907
17-Nov-14,2.74,3.10,2.74,2.98,13850096
14-Nov-14,3.21,3.33,2.72,2.76,31428604
13-Nov-14,2.38,2.42,2.30,2.31,3389316
12-Nov-14,2.35,2.39,2.33,2.37,1327054
11-Nov-14,2.30,2.44,2.25,2.40,2524470
10-Nov-14,2.31,2.33,2.20,2.30,2241745
7-Nov-14,2.38,2.40,2.26,2.33,2309934
6-Nov-14,2.50,2.51,2.30,2.40,4714692
5-Nov-14,2.71,2.75,2.62,2.64,2491504
4-Nov-14,2.81,2.81,2.58,2.68,5523363
3-Nov-14,2.81,2.98,2.58,2.80,30810325
31-Oct-14,2.26,2.43,2.20,2.23,3998090
30-Oct-14,2.24,2.30,2.19,2.21,2592858
29-Oct-14,2.33,2.40,2.21,2.26,1624867
28-Oct-14,2.21,2.34,2.17,2.34,3662624
27-Oct-14,2.20,2.23,2.16,2.21,1259427
24-Oct-14,2.20,2.24,2.17,2.23,1661606
23-Oct-14,2.18,2.28,2.15,2.21,2819801
22-Oct-14,2.19,2.20,2.14,2.15,1053006
21-Oct-14,2.19,2.21,2.13,2.16,942374
20-Oct-14,2.11,2.23,2.11,2.18,1130795
17-Oct-14,2.27,2.27,2.10,2.11,1818402
16-Oct-14,2.05,2.23,2.01,2.20,2626427
15-Oct-14,1.86,2.07,1.85,2.07,2940510
14-Oct-14,1.90,1.95,1.80,1.87,1675899
13-Oct-14,1.90,1.97,1.76,1.85,2117850
10-Oct-14,1.91,1.97,1.85,1.86,1808814
9-Oct-14,2.05,2.07,1.91,1.94,1602526
8-Oct-14,1.90,2.02,1.87,2.02,1851258
7-Oct-14,2.00,2.02,1.90,1.91,1838761
6-Oct-14,2.07,2.12,2.02,2.02,1629458
3-Oct-14,2.04,2.10,2.02,2.08,1399802
2-Oct-14,1.92,2.03,1.86,2.02,2048921
1-Oct-14,2.00,2.02,1.88,1.91,2423042
30-Sep-14,2.14,2.17,1.98,2.00,3462181
29-Sep-14,2.10,2.19,2.09,2.16,1169286
26-Sep-14,2.12,2.15,2.10,2.13,1254730
25-Sep-14,2.20,2.27,2.12,2.12,2089776
