Date,Open,High,Low,Close,Volume
31-Dec-14,4.95,4.95,4.05,4.80,54135
30-Dec-14,4.83,5.10,4.80,4.93,25990
29-Dec-14,4.88,5.24,4.81,5.18,30861
26-Dec-14,5.40,5.78,4.80,5.48,43950
24-Dec-14,5.70,5.85,5.40,5.55,44017
23-Dec-14,5.25,5.70,5.10,5.67,108078
22-Dec-14,4.80,5.14,4.66,4.95,44085
19-Dec-14,4.80,4.80,4.40,4.80,30631
18-Dec-14,4.35,4.95,4.35,4.39,10182
17-Dec-14,3.75,4.50,3.75,4.31,39213
16-Dec-14,4.12,4.35,3.75,4.35,69435
15-Dec-14,4.80,4.80,4.02,4.20,60228
12-Dec-14,4.51,4.72,4.42,4.65,38520
11-Dec-14,4.37,4.80,4.36,4.50,26144
10-Dec-14,4.80,5.21,4.35,4.87,79985
9-Dec-14,4.95,5.25,4.80,4.80,55995
8-Dec-14,5.55,5.55,4.65,4.80,63892
5-Dec-14,5.62,5.72,5.40,5.55,38180
4-Dec-14,5.84,5.98,5.59,5.70,36088
3-Dec-14,5.85,6.45,5.66,5.96,58451
2-Dec-14,6.14,6.30,5.72,5.85,36036
1-Dec-14,6.82,6.90,5.93,6.14,90168
28-Nov-14,7.05,7.56,6.60,6.60,61980
26-Nov-14,7.50,7.50,6.80,7.50,49744
25-Nov-14,7.80,8.02,7.20,7.38,87934
24-Nov-14,6.90,7.80,6.82,7.50,212124
21-Nov-14,6.68,7.20,6.45,6.75,152985
20-Nov-14,5.70,6.60,5.55,6.45,105167
19-Nov-14,5.85,6.15,5.55,5.70,29531
18-Nov-14,6.00,6.15,5.78,5.85,37303
17-Nov-14,6.38,6.44,5.92,6.15,51859
14-Nov-14,5.70,6.60,5.62,6.08,178272
13-Nov-14,5.85,5.85,5.30,5.40,45728
12-Nov-14,6.15,6.60,5.72,5.85,232810
11-Nov-14,4.88,5.01,4.80,4.88,27491
10-Nov-14,5.10,5.22,4.88,4.88,34501
7-Nov-14,4.65,4.95,4.50,4.92,12594
6-Nov-14,4.95,4.95,4.50,4.79,27397
5-Nov-14,5.10,5.10,4.65,4.65,9622
4-Nov-14,5.18,5.18,4.82,4.88,11544
3-Nov-14,5.50,5.54,4.80,4.82,20554
31-Oct-14,4.84,5.55,4.80,5.37,27064
30-Oct-14,5.27,5.70,4.20,5.31,50041
29-Oct-14,5.85,5.85,5.25,5.48,31759
28-Oct-14,5.40,5.85,5.40,5.40,43792
27-Oct-14,5.55,5.70,5.28,5.48,38485
24-Oct-14,5.37,5.66,5.25,5.45,44390
23-Oct-14,5.12,5.40,5.12,5.32,54630
22-Oct-14,4.92,5.36,4.80,5.13,96237
21-Oct-14,4.85,5.13,4.65,4.82,82325
20-Oct-14,4.80,4.80,4.28,4.50,47455
17-Oct-14,4.50,4.80,4.23,4.38,9919
16-Oct-14,4.20,4.65,4.13,4.20,40675
15-Oct-14,4.20,4.48,3.75,4.38,40363
14-Oct-14,3.90,4.29,3.88,4.29,10376
13-Oct-14,4.05,4.50,3.75,4.01,26930
10-Oct-14,4.05,4.35,3.92,4.10,15071
9-Oct-14,4.50,5.48,4.05,4.05,49407
8-Oct-14,4.18,4.18,3.87,4.05,34921
7-Oct-14,4.35,4.48,3.78,3.90,42740
6-Oct-14,4.58,4.95,3.75,4.20,75062
3-Oct-14,4.65,5.00,4.52,4.57,24761
2-Oct-14,4.84,5.10,4.56,4.58,56226
1-Oct-14,5.22,5.25,4.83,4.83,20909
30-Sep-14,5.08,5.29,4.54,5.14,62691
29-Sep-14,5.25,5.25,4.58,4.80,223239
26-Sep-14,5.40,5.61,5.10,5.10,48954
25-Sep-14,5.61,6.30,5.25,5.25,37772
24-Sep-14,6.30,6.38,5.04,5.31,159614
23-Sep-14,6.45,6.45,6.02,6.45,10228
22-Sep-14,6.00,6.45,5.56,6.37,32641
19-Sep-14,5.86,6.60,5.55,6.02,234817
18-Sep-14,6.15,6.16,5.10,5.25,154310
17-Sep-14,6.60,6.75,6.15,6.15,49362
