Date,Open,High,Low,Close,Volume
31-Dec-14,9.40,10.15,9.28,9.86,416054
30-Dec-14,9.39,9.43,8.82,9.41,51672
29-Dec-14,9.45,9.53,9.35,9.43,5863
26-Dec-14,9.50,9.64,9.40,9.50,24233
24-Dec-14,9.44,9.52,9.44,9.49,12835
23-Dec-14,9.55,9.59,9.30,9.48,46091
22-Dec-14,9.41,9.74,9.26,9.59,50853
19-Dec-14,8.74,9.52,8.74,9.39,70364
18-Dec-14,8.48,8.70,8.29,8.70,32128
17-Dec-14,8.18,8.54,8.18,8.40,24452
16-Dec-14,8.14,8.46,8.11,8.24,17772
15-Dec-14,8.21,8.51,8.11,8.11,29785
12-Dec-14,8.23,8.28,8.15,8.18,21568
11-Dec-14,8.19,8.40,8.15,8.33,10862
10-Dec-14,8.15,8.34,8.15,8.19,18161
9-Dec-14,8.15,8.34,8.10,8.19,54864
8-Dec-14,8.37,8.49,8.15,8.15,34942
5-Dec-14,8.21,8.53,8.21,8.46,10468
4-Dec-14,8.15,8.32,8.05,8.22,28677
3-Dec-14,8.58,8.58,8.00,8.13,264904
2-Dec-14,8.54,8.74,8.50,8.63,19565
1-Dec-14,9.16,9.16,8.60,8.60,33549
28-Nov-14,9.31,9.31,9.10,9.10,10180
26-Nov-14,9.28,9.32,9.20,9.30,7158
25-Nov-14,9.38,9.39,9.28,9.30,16534
24-Nov-14,9.41,9.49,9.31,9.40,17302
21-Nov-14,9.40,9.54,9.30,9.30,17755
20-Nov-14,9.27,9.41,9.13,9.24,13976
19-Nov-14,9.50,9.86,9.28,9.30,41295
18-Nov-14,9.47,9.50,9.31,9.39,58939
17-Nov-14,9.31,9.44,9.20,9.31,13998
14-Nov-14,9.75,9.80,9.28,9.29,27395
13-Nov-14,10.00,10.00,9.76,9.76,10147
12-Nov-14,9.32,9.85,9.32,9.85,14719
11-Nov-14,9.17,9.46,9.15,9.38,33362
10-Nov-14,8.70,9.01,8.70,9.01,50035
7-Nov-14,8.70,8.70,8.37,8.60,12507
6-Nov-14,8.73,8.90,8.53,8.78,22388
5-Nov-14,8.75,8.93,8.68,8.77,10885
4-Nov-14,8.79,8.79,8.69,8.72,14547
3-Nov-14,8.63,8.88,8.50,8.80,22694
31-Oct-14,8.70,8.82,8.49,8.62,19488
30-Oct-14,8.44,8.60,8.15,8.56,43330
29-Oct-14,8.33,8.62,8.22,8.49,14680
28-Oct-14,8.14,8.38,8.04,8.34,24257
27-Oct-14,8.40,8.41,8.11,8.16,17958
24-Oct-14,8.36,8.40,8.28,8.37,13230
23-Oct-14,8.50,8.50,8.28,8.32,16970
22-Oct-14,8.60,8.62,8.40,8.43,16838
21-Oct-14,8.35,8.68,8.35,8.61,18455
20-Oct-14,8.68,8.72,8.30,8.33,32419
17-Oct-14,8.91,8.91,8.58,8.62,32849
16-Oct-14,8.57,8.94,8.52,8.84,36552
15-Oct-14,8.60,8.92,8.35,8.87,99459
14-Oct-14,8.47,8.60,8.28,8.47,71760
13-Oct-14,8.46,8.50,8.11,8.43,38157
10-Oct-14,8.34,8.60,8.34,8.55,26668
9-Oct-14,8.50,8.59,8.40,8.43,18758
