Date,Open,High,Low,Close,Volume
31-Dec-14,19.51,19.73,19.05,19.39,54871
30-Dec-14,19.85,20.00,19.36,19.53,42164
29-Dec-14,20.14,20.23,19.68,19.88,40098
26-Dec-14,20.10,20.47,19.88,20.07,25665
24-Dec-14,19.65,20.10,19.10,19.93,23334
23-Dec-14,19.80,19.99,19.39,19.74,46213
22-Dec-14,19.97,19.99,19.36,19.55,63666
19-Dec-14,19.50,20.35,19.08,19.98,311225
18-Dec-14,19.73,20.26,19.30,19.56,84490
17-Dec-14,19.10,20.24,18.96,19.69,116528
16-Dec-14,18.51,19.70,18.45,19.17,129398
15-Dec-14,18.84,19.70,18.70,18.76,79070
12-Dec-14,18.63,18.98,18.31,18.66,70813
11-Dec-14,19.36,20.62,18.84,19.00,96911
10-Dec-14,19.95,20.10,19.16,19.26,76094
9-Dec-14,19.05,20.49,19.05,20.20,60240
8-Dec-14,21.00,21.00,19.09,19.12,47997
5-Dec-14,21.00,21.61,20.56,21.06,47077
4-Dec-14,20.55,21.17,19.88,21.04,56961
3-Dec-14,19.70,20.80,19.34,20.70,58378
2-Dec-14,19.11,20.01,18.64,19.78,48818
1-Dec-14,19.11,20.48,18.55,19.12,76687
28-Nov-14,21.60,21.60,19.37,19.51,40093
26-Nov-14,21.87,21.91,21.39,21.81,54535
25-Nov-14,22.59,22.64,21.54,21.90,82771
24-Nov-14,22.07,22.70,21.78,22.61,62268
21-Nov-14,22.52,22.52,21.89,22.12,35509
20-Nov-14,21.53,22.17,21.53,22.10,57445
19-Nov-14,21.58,21.78,20.96,21.71,53805
18-Nov-14,22.13,22.65,21.55,21.74,37665
17-Nov-14,22.51,22.64,22.01,22.12,64087
14-Nov-14,22.63,22.89,22.04,22.78,35986
13-Nov-14,23.19,23.19,22.11,22.52,39983
12-Nov-14,22.84,23.57,21.93,23.28,43922
11-Nov-14,22.44,23.35,22.13,22.99,58205
10-Nov-14,22.37,22.75,22.15,22.37,94101
7-Nov-14,21.92,22.33,21.42,22.27,51608
6-Nov-14,21.78,21.93,21.10,21.90,29717
5-Nov-14,21.22,21.89,21.18,21.79,54403
4-Nov-14,20.97,21.51,20.51,21.26,57280
3-Nov-14,21.47,21.70,20.75,21.15,67466
31-Oct-14,20.96,21.24,19.11,21.14,86395
30-Oct-14,20.04,20.64,19.65,20.37,59571
29-Oct-14,19.77,20.43,19.75,20.24,79118
28-Oct-14,18.68,19.83,18.62,19.75,83923
27-Oct-14,18.23,18.68,17.76,18.68,52684
24-Oct-14,18.75,20.19,18.09,18.51,70492
23-Oct-14,17.41,18.18,17.11,17.77,36715
22-Oct-14,18.47,18.51,17.11,17.26,53473
21-Oct-14,17.77,18.59,17.77,18.57,39020
20-Oct-14,17.28,17.63,17.06,17.62,61393
17-Oct-14,19.14,19.14,17.32,17.42,60861
16-Oct-14,17.76,18.89,17.43,18.75,55093
15-Oct-14,17.08,18.14,17.05,18.06,52376
14-Oct-14,17.20,17.81,16.99,17.46,57092
13-Oct-14,17.40,17.52,16.88,16.98,63689
10-Oct-14,16.50,17.77,16.43,17.49,56409
9-Oct-14,17.21,17.21,16.50,16.60,51019
8-Oct-14,16.88,17.30,16.78,17.24,61304
7-Oct-14,16.93,17.29,16.73,16.82,56208
6-Oct-14,17.18,17.24,16.75,17.12,43380
3-Oct-14,17.50,17.50,17.01,17.20,61832
2-Oct-14,17.10,17.81,16.90,17.26,53965
1-Oct-14,17.26,17.38,16.83,17.07,113784
30-Sep-14,17.85,17.85,17.15,17.20,67789
29-Sep-14,17.51,17.87,17.40,17.80,35194
26-Sep-14,17.87,17.87,17.55,17.78,36829
25-Sep-14,17.69,17.93,17.65,17.78,30437
24-Sep-14,17.88,17.88,17.57,17.80,38320
23-Sep-14,17.62,17.99,17.52,17.74,49684
22-Sep-14,17.67,17.96,17.55,17.82,47934
19-Sep-14,17.84,17.84,17.11,17.64,251858
18-Sep-14,18.20,18.46,17.54,17.79,75486
17-Sep-14,20.07,20.30,17.70,18.24,148184
16-Sep-14,20.12,20.29,19.95,20.00,40191
15-Sep-14,20.13,20.25,19.92,20.18,24468
