Date,Open,High,Low,Close,Volume
31-Dec-14,71.79,72.21,70.73,70.85,121786
30-Dec-14,71.61,72.55,71.30,71.69,96201
29-Dec-14,71.63,72.25,71.17,71.79,96040
26-Dec-14,71.23,72.54,70.91,71.67,119594
24-Dec-14,70.87,71.57,70.07,70.88,64706
23-Dec-14,70.91,71.41,70.10,70.57,100473
22-Dec-14,68.81,70.77,68.65,70.32,110660
19-Dec-14,66.95,68.95,66.27,68.46,259665
18-Dec-14,66.62,67.14,65.67,66.76,95897
17-Dec-14,63.75,65.97,63.08,65.72,139733
16-Dec-14,64.23,65.59,63.55,63.72,105635
15-Dec-14,64.55,64.91,63.33,64.24,121816
12-Dec-14,65.24,65.81,62.99,64.36,117174
11-Dec-14,65.58,66.98,65.33,65.93,142858
10-Dec-14,66.97,67.32,65.12,65.26,146305
9-Dec-14,65.23,67.53,64.25,67.04,143619
8-Dec-14,66.11,66.79,65.48,65.87,94204
5-Dec-14,65.69,66.53,65.62,66.21,91380
4-Dec-14,65.89,66.09,64.51,65.72,119285
3-Dec-14,64.98,66.15,64.43,65.75,96167
2-Dec-14,64.16,65.17,64.16,64.81,90202
1-Dec-14,64.61,65.98,63.38,63.94,145223
28-Nov-14,66.11,66.60,64.99,65.10,76000
26-Nov-14,65.95,66.19,65.36,65.88,138598
25-Nov-14,66.57,67.21,65.53,65.74,54519
24-Nov-14,65.33,66.61,64.90,66.41,90366
21-Nov-14,66.11,66.22,64.91,65.00,80279
20-Nov-14,63.89,65.34,63.84,65.33,53849
19-Nov-14,64.80,65.12,63.64,64.12,68901
18-Nov-14,64.69,65.88,64.65,65.06,66562
17-Nov-14,65.29,65.41,64.36,64.44,64976
14-Nov-14,65.46,65.94,65.05,65.30,56002
13-Nov-14,66.51,66.93,65.41,65.57,67404
12-Nov-14,65.52,66.86,65.52,66.27,78369
11-Nov-14,65.55,65.99,65.06,65.73,116024
10-Nov-14,64.63,65.45,64.48,65.38,60685
7-Nov-14,64.72,64.76,64.00,64.48,42740
6-Nov-14,63.20,64.86,63.09,64.63,89562
5-Nov-14,64.44,64.44,62.97,63.03,128540
4-Nov-14,63.20,64.34,63.20,63.91,49952
3-Nov-14,63.33,64.11,63.20,63.52,96613
31-Oct-14,64.72,64.72,63.00,63.07,192622
30-Oct-14,62.93,63.54,62.24,63.34,143085
29-Oct-14,62.69,63.49,62.06,62.96,203084
28-Oct-14,60.97,64.15,60.97,63.46,191437
27-Oct-14,60.45,61.08,59.90,60.68,155686
24-Oct-14,60.71,60.71,60.12,60.58,109851
23-Oct-14,60.67,61.81,60.01,60.50,122639
22-Oct-14,59.86,60.52,59.23,60.10,81882
21-Oct-14,59.14,60.04,58.93,59.87,63938
20-Oct-14,58.78,59.10,58.47,59.00,111230
17-Oct-14,59.88,59.88,58.47,58.91,189066
16-Oct-14,57.07,59.21,57.00,59.02,241222
15-Oct-14,56.43,58.31,56.12,57.64,130561
14-Oct-14,57.32,57.89,56.87,57.29,140097
13-Oct-14,56.15,57.98,56.15,57.05,161813
10-Oct-14,55.52,57.15,54.59,56.29,99046
9-Oct-14,56.43,56.68,55.88,55.91,290595
8-Oct-14,53.81,56.59,53.70,56.52,134507
7-Oct-14,54.23,54.89,53.96,54.08,87890
