Date,Open,High,Low,Close,Volume
31-Dec-14,8.27,8.34,8.23,8.27,228445
30-Dec-14,8.25,8.47,8.06,8.36,212496
29-Dec-14,8.46,8.56,8.35,8.39,176884
26-Dec-14,8.54,8.64,8.53,8.56,52914
24-Dec-14,8.45,8.56,8.39,8.55,97236
23-Dec-14,8.44,8.53,8.38,8.50,122091
22-Dec-14,8.71,8.75,8.33,8.45,146508
19-Dec-14,8.83,8.86,8.65,8.71,118435
18-Dec-14,8.41,8.85,8.31,8.85,120211
17-Dec-14,8.33,8.46,8.26,8.30,159039
16-Dec-14,8.59,8.59,8.35,8.39,220294
15-Dec-14,8.52,8.64,8.50,8.59,77274
12-Dec-14,8.57,8.64,8.50,8.50,103934
11-Dec-14,8.70,8.70,8.55,8.65,109469
10-Dec-14,8.74,8.75,8.66,8.70,96968
9-Dec-14,8.51,8.73,8.51,8.72,92487
8-Dec-14,9.24,9.24,8.63,8.65,277070
5-Dec-14,9.23,9.25,9.14,9.25,103819
4-Dec-14,9.24,9.31,9.15,9.18,68318
3-Dec-14,9.35,9.37,9.25,9.25,84395
2-Dec-14,9.29,9.41,9.26,9.32,99355
1-Dec-14,9.22,9.34,9.18,9.25,102038
28-Nov-14,9.20,9.24,9.15,9.24,99618
26-Nov-14,9.24,9.27,9.20,9.20,76389
25-Nov-14,9.22,9.24,9.17,9.20,46746
24-Nov-14,9.20,9.24,9.19,9.20,52596
21-Nov-14,9.24,9.30,9.21,9.22,74780
20-Nov-14,9.12,9.24,9.12,9.18,46565
19-Nov-14,9.21,9.25,9.14,9.17,91078
18-Nov-14,9.16,9.28,9.15,9.21,69868
17-Nov-14,9.28,9.28,9.14,9.16,85471
14-Nov-14,9.17,9.30,9.17,9.28,77235
13-Nov-14,9.11,9.22,9.08,9.20,83364
12-Nov-14,9.05,9.19,9.02,9.13,76605
11-Nov-14,9.26,9.26,9.12,9.17,78428
10-Nov-14,9.24,9.26,9.15,9.19,98235
7-Nov-14,9.14,9.24,9.11,9.22,47742
6-Nov-14,9.14,9.24,9.11,9.14,59505
5-Nov-14,9.10,9.19,9.00,9.11,54631
4-Nov-14,9.21,9.24,9.04,9.08,119111
3-Nov-14,9.21,9.21,9.16,9.19,73715
31-Oct-14,9.20,9.21,9.13,9.19,67643
30-Oct-14,9.12,9.18,9.10,9.16,36113
29-Oct-14,9.23,9.33,9.15,9.17,88579
28-Oct-14,9.11,9.31,9.11,9.31,117197
27-Oct-14,9.04,9.17,8.97,9.14,108276
24-Oct-14,9.00,9.17,8.96,9.09,107841
