Date,Open,High,Low,Close,Volume
31-Dec-14,34.41,34.80,33.91,33.99,158838
30-Dec-14,34.56,34.76,33.92,34.20,185640
29-Dec-14,34.63,34.82,34.44,34.69,151276
26-Dec-14,34.34,34.74,34.12,34.52,72045
24-Dec-14,34.30,34.59,33.75,34.26,100522
23-Dec-14,35.15,35.44,33.65,33.93,302551
22-Dec-14,35.26,35.80,35.00,35.49,206336
19-Dec-14,34.59,35.66,34.31,35.53,811811
18-Dec-14,33.15,34.77,33.10,34.76,511828
17-Dec-14,32.82,33.42,32.60,33.41,480377
16-Dec-14,33.07,33.33,32.68,32.83,631483
15-Dec-14,31.93,32.14,31.54,31.68,548411
12-Dec-14,33.53,33.86,31.90,31.95,374140
11-Dec-14,33.04,33.32,32.42,32.74,331004
10-Dec-14,33.57,33.81,33.23,33.28,293615
9-Dec-14,33.18,33.91,32.71,33.63,346596
8-Dec-14,34.27,34.39,33.23,33.53,300609
5-Dec-14,34.13,34.44,33.84,34.39,388661
4-Dec-14,34.56,35.05,34.37,34.59,411487
3-Dec-14,36.45,36.48,34.64,34.78,695203
2-Dec-14,36.14,36.60,35.95,36.00,573513
1-Dec-14,37.28,37.31,36.39,36.66,392756
28-Nov-14,37.21,37.26,36.72,37.24,188930
26-Nov-14,36.80,37.29,36.80,37.04,110598
25-Nov-14,36.91,37.20,36.69,36.90,220680
24-Nov-14,37.03,37.60,36.76,36.86,199970
21-Nov-14,36.70,37.21,36.56,36.82,171573
20-Nov-14,36.20,36.80,36.03,36.56,170046
19-Nov-14,37.18,37.18,36.36,36.38,466267
18-Nov-14,36.35,37.18,36.35,37.08,277743
17-Nov-14,36.18,36.81,36.18,36.30,206599
14-Nov-14,36.21,36.45,35.81,36.17,290090
13-Nov-14,36.08,36.68,36.04,36.50,305536
12-Nov-14,35.80,36.11,35.48,36.03,299711
11-Nov-14,35.95,36.36,35.95,36.30,429761
10-Nov-14,35.45,35.97,35.24,35.89,505098
7-Nov-14,35.94,36.08,35.25,35.67,2148654
6-Nov-14,35.69,36.57,35.69,36.36,2469798
5-Nov-14,35.44,36.02,35.03,35.54,1246422
4-Nov-14,36.32,36.65,35.18,35.25,1005411
3-Nov-14,34.98,35.34,34.34,34.55,545997
31-Oct-14,34.68,35.75,34.68,35.39,615950
30-Oct-14,34.37,34.83,34.12,34.80,457740
29-Oct-14,34.80,35.13,34.23,35.11,1611129
28-Oct-14,35.00,35.32,34.66,34.85,952629
27-Oct-14,33.92,34.95,33.61,34.90,819948
24-Oct-14,33.50,34.77,33.37,34.32,537279
23-Oct-14,33.19,33.73,33.19,33.54,906255
22-Oct-14,32.90,33.36,32.90,33.10,718088
21-Oct-14,32.29,32.91,31.83,32.90,419127
20-Oct-14,32.50,32.69,31.15,31.74,536973
17-Oct-14,31.83,33.01,31.69,32.96,3016055
16-Oct-14,29.65,31.69,29.65,31.10,1406515
15-Oct-14,29.39,30.16,29.24,30.00,433088
14-Oct-14,30.19,30.67,29.80,29.95,934338
