Date,Open,High,Low,Close,Volume
31-Dec-14,0.68,0.73,0.65,0.73,440264
30-Dec-14,0.71,0.73,0.70,0.70,281956
29-Dec-14,0.77,0.77,0.71,0.75,295935
26-Dec-14,0.79,0.82,0.76,0.79,227944
24-Dec-14,0.81,0.82,0.76,0.77,125397
23-Dec-14,0.90,0.90,0.81,0.82,163691
22-Dec-14,0.86,0.93,0.82,0.89,142405
19-Dec-14,0.97,0.97,0.82,0.89,480137
18-Dec-14,0.98,0.98,0.90,0.97,407730
17-Dec-14,0.88,0.94,0.88,0.94,430439
16-Dec-14,0.80,0.89,0.79,0.88,900818
15-Dec-14,0.80,0.81,0.71,0.77,548299
12-Dec-14,0.65,0.72,0.62,0.71,387154
11-Dec-14,0.59,0.65,0.59,0.64,159735
10-Dec-14,0.60,0.65,0.59,0.59,293954
9-Dec-14,0.62,0.63,0.58,0.62,102725
8-Dec-14,0.62,0.63,0.58,0.62,305353
5-Dec-14,0.62,0.63,0.58,0.60,128861
4-Dec-14,0.58,0.62,0.58,0.59,187589
3-Dec-14,0.62,0.63,0.58,0.60,103003
2-Dec-14,0.59,0.63,0.58,0.60,286124
1-Dec-14,0.64,0.65,0.60,0.61,115448
28-Nov-14,0.59,0.65,0.59,0.64,69973
26-Nov-14,0.65,0.65,0.58,0.62,280523
25-Nov-14,0.60,0.62,0.57,0.61,192597
24-Nov-14,0.60,0.62,0.57,0.57,222891
21-Nov-14,0.54,0.58,0.54,0.56,121823
20-Nov-14,0.59,0.59,0.54,0.55,154610
19-Nov-14,0.55,0.60,0.54,0.57,154035
18-Nov-14,0.60,0.60,0.54,0.58,247532
17-Nov-14,0.55,0.60,0.55,0.59,340179
14-Nov-14,0.53,0.55,0.51,0.55,20295
13-Nov-14,0.59,0.60,0.51,0.54,153052
12-Nov-14,0.54,0.56,0.52,0.54,176854
11-Nov-14,0.56,0.58,0.52,0.54,67248
10-Nov-14,0.52,0.60,0.52,0.56,114616
7-Nov-14,0.57,0.58,0.52,0.57,45823
6-Nov-14,0.57,0.58,0.53,0.54,48093
5-Nov-14,0.57,0.64,0.51,0.57,42745
4-Nov-14,0.60,0.60,0.50,0.59,146228
3-Nov-14,0.59,0.59,0.50,0.58,159809
31-Oct-14,0.60,0.63,0.56,0.56,93531
30-Oct-14,0.63,0.63,0.56,0.61,105870
29-Oct-14,0.60,0.63,0.59,0.61,67121
28-Oct-14,0.60,0.66,0.60,0.60,89484
27-Oct-14,0.62,0.63,0.60,0.60,121313
24-Oct-14,0.63,0.68,0.62,0.62,65488
23-Oct-14,0.63,0.70,0.60,0.64,98113
22-Oct-14,0.62,0.69,0.61,0.62,96253
21-Oct-14,0.70,0.75,0.61,0.62,453393
20-Oct-14,0.62,0.74,0.56,0.70,394959
17-Oct-14,0.60,0.63,0.57,0.59,251241
16-Oct-14,0.50,0.57,0.49,0.56,175336
15-Oct-14,0.45,0.50,0.45,0.48,138224
14-Oct-14,0.42,0.49,0.41,0.45,665159
13-Oct-14,0.43,0.43,0.42,0.42,223367
10-Oct-14,0.52,0.53,0.43,0.43,630590
9-Oct-14,0.66,0.66,0.50,0.55,542732
8-Oct-14,0.67,0.68,0.66,0.66,98651
7-Oct-14,0.68,0.70,0.67,0.68,70474
6-Oct-14,0.72,0.75,0.67,0.70,157270
3-Oct-14,0.71,0.74,0.70,0.72,41713
2-Oct-14,0.75,0.75,0.71,0.71,24196
1-Oct-14,0.74,0.75,0.72,0.73,71883
30-Sep-14,0.73,0.75,0.70,0.74,77692
29-Sep-14,0.73,0.75,0.70,0.73,85689
