Date,Open,High,Low,Close,Volume
31-Dec-14,12.17,12.43,11.98,12.09,23059
30-Dec-14,12.00,12.28,11.85,12.19,52455
29-Dec-14,11.83,12.00,11.83,12.00,25951
26-Dec-14,11.63,11.79,11.60,11.77,8825
24-Dec-14,11.78,11.78,11.50,11.58,6032
23-Dec-14,11.47,11.59,11.01,11.50,15170
22-Dec-14,11.51,11.59,11.21,11.45,28003
19-Dec-14,11.40,11.69,11.31,11.47,76202
18-Dec-14,11.76,11.89,11.33,11.44,32349
17-Dec-14,11.20,11.59,11.04,11.56,37205
16-Dec-14,11.28,11.68,11.12,11.24,50421
15-Dec-14,11.72,11.72,11.28,11.40,27294
12-Dec-14,11.63,11.85,11.40,11.67,96438
11-Dec-14,11.72,11.89,11.53,11.84,28251
10-Dec-14,12.00,12.00,11.59,11.62,21405
9-Dec-14,11.69,12.00,11.69,11.98,31499
8-Dec-14,11.96,12.00,11.33,11.89,43459
5-Dec-14,11.75,11.99,11.75,11.95,21040
4-Dec-14,11.49,11.85,11.49,11.75,19637
3-Dec-14,11.26,12.00,10.90,11.77,59282
2-Dec-14,11.08,11.55,11.08,11.55,15832
1-Dec-14,11.79,11.81,10.93,11.10,53160
28-Nov-14,12.09,12.09,11.75,11.79,19251
26-Nov-14,11.96,12.00,11.25,11.99,8476
25-Nov-14,11.89,12.04,11.75,11.88,22535
24-Nov-14,11.73,12.00,11.30,11.92,37349
21-Nov-14,11.74,11.96,11.47,11.76,19780
20-Nov-14,11.43,12.00,11.17,11.51,19255
19-Nov-14,12.00,12.04,11.45,11.47,33849
18-Nov-14,11.93,12.12,11.90,12.05,23108
17-Nov-14,11.45,11.97,11.45,11.87,43804
14-Nov-14,11.48,11.59,11.38,11.39,22855
13-Nov-14,11.15,11.50,11.15,11.45,25179
12-Nov-14,11.53,11.53,10.73,11.16,24230
11-Nov-14,11.38,11.46,11.16,11.26,19722
10-Nov-14,11.70,11.70,10.81,11.37,36860
7-Nov-14,11.82,11.82,11.00,11.70,21227
6-Nov-14,11.68,11.86,11.51,11.75,26167
5-Nov-14,11.94,11.94,11.34,11.70,32278
4-Nov-14,11.68,11.94,11.48,11.92,20312
3-Nov-14,11.66,11.94,11.55,11.66,59992
31-Oct-14,11.00,11.68,10.81,11.66,36754
30-Oct-14,10.90,11.00,10.88,11.00,47802
29-Oct-14,10.93,10.93,10.71,10.90,20748
28-Oct-14,10.33,10.94,10.33,10.92,21870
27-Oct-14,10.07,10.41,9.96,10.31,42848
24-Oct-14,10.17,10.25,10.03,10.16,22180
23-Oct-14,10.56,10.67,10.07,10.20,36784
22-Oct-14,10.52,10.62,10.40,10.43,18807
21-Oct-14,10.82,10.82,10.47,10.52,19051
20-Oct-14,10.94,11.00,10.72,10.78,36467
17-Oct-14,10.57,11.07,10.30,10.94,72275
16-Oct-14,10.12,10.55,10.12,10.51,21829
15-Oct-14,10.33,10.55,10.17,10.27,49077
14-Oct-14,10.65,10.75,10.44,10.47,39902
13-Oct-14,10.75,10.87,10.47,10.60,41799
10-Oct-14,10.20,10.90,10.20,10.65,38726
9-Oct-14,10.45,10.69,10.17,10.27,25313
8-Oct-14,10.09,10.62,10.04,10.56,24313
7-Oct-14,10.21,10.31,10.10,10.16,16808
6-Oct-14,10.53,10.54,10.30,10.32,23967
3-Oct-14,10.76,10.87,10.54,10.58,15250
2-Oct-14,10.31,10.64,10.30,10.64,30135
1-Oct-14,10.31,10.31,10.15,10.19,28429
30-Sep-14,10.32,10.51,10.31,10.31,43424
29-Sep-14,10.23,10.43,10.20,10.36,12090
26-Sep-14,10.18,10.44,10.15,10.38,20316
25-Sep-14,10.57,10.60,10.15,10.16,41335
24-Sep-14,10.31,10.64,10.19,10.62,23788
23-Sep-14,10.22,10.44,10.12,10.29,29292
22-Sep-14,10.51,10.51,10.19,10.22,63742
19-Sep-14,10.71,10.97,10.38,10.62,70668
18-Sep-14,10.26,10.77,10.08,10.71,28996
17-Sep-14,10.25,10.62,10.14,10.18,18231
16-Sep-14,9.85,10.32,9.85,10.22,50061
15-Sep-14,9.80,9.95,9.31,9.76,42399
12-Sep-14,9.63,9.77,9.24,9.70,25687
11-Sep-14,9.53,9.64,9.48,9.61,15277
10-Sep-14,9.59,9.64,9.24,9.62,59133
9-Sep-14,9.89,9.89,9.48,9.56,23684
8-Sep-14,10.06,10.06,9.61,9.66,9459
5-Sep-14,9.48,9.68,9.48,9.59,10721
4-Sep-14,9.69,9.85,9.43,9.53,13251
3-Sep-14,9.82,9.82,9.62,9.65,23278
2-Sep-14,9.62,9.79,9.54,9.73,43228
