Date,Open,High,Low,Close,Volume
31-Dec-14,48.19,49.27,48.19,48.50,23588
30-Dec-14,48.02,48.54,47.75,48.27,17861
29-Dec-14,47.28,47.81,46.96,47.59,26197
26-Dec-14,46.50,47.95,46.34,47.39,23021
24-Dec-14,46.65,46.91,46.12,46.60,13249
23-Dec-14,46.15,47.24,45.81,46.78,30146
22-Dec-14,46.85,46.85,45.20,46.00,50157
19-Dec-14,45.78,47.30,45.13,47.29,147005
18-Dec-14,49.28,49.28,45.77,46.08,53892
17-Dec-14,47.10,49.05,46.07,48.77,44257
16-Dec-14,46.55,48.35,46.12,47.10,78212
15-Dec-14,46.64,47.13,46.09,46.36,55378
12-Dec-14,46.96,47.32,46.00,46.27,44356
11-Dec-14,47.33,48.20,46.71,47.48,37388
10-Dec-14,48.67,48.67,46.68,46.93,44271
9-Dec-14,47.19,49.49,44.07,49.10,37862
8-Dec-14,46.52,47.92,46.52,47.53,37109
5-Dec-14,47.33,48.25,46.68,47.79,32282
4-Dec-14,46.89,48.11,46.75,47.45,29030
3-Dec-14,45.25,47.52,45.25,47.12,30439
2-Dec-14,44.45,46.00,43.83,44.72,34707
1-Dec-14,45.18,45.18,43.80,44.18,35084
28-Nov-14,47.48,47.83,44.76,44.89,16532
26-Nov-14,47.60,48.54,47.60,47.79,17379
25-Nov-14,47.77,48.47,47.35,48.11,37396
24-Nov-14,46.77,46.99,46.21,46.72,32683
21-Nov-14,47.35,49.09,45.24,46.64,47442
20-Nov-14,44.00,46.09,43.92,45.96,29302
19-Nov-14,44.40,45.48,44.01,44.26,27071
18-Nov-14,45.75,46.01,44.88,45.56,42908
17-Nov-14,46.02,46.34,45.46,45.50,25469
14-Nov-14,45.90,47.20,44.24,46.54,39708
13-Nov-14,46.58,46.60,45.51,45.94,19370
12-Nov-14,45.61,46.84,45.46,46.83,23226
11-Nov-14,46.02,46.36,45.57,46.11,17636
10-Nov-14,47.18,47.96,45.48,46.27,21843
7-Nov-14,45.61,47.87,45.58,47.60,24993
6-Nov-14,45.25,46.06,44.83,46.00,14515
5-Nov-14,45.42,45.55,44.48,45.40,23141
4-Nov-14,45.97,45.97,44.35,44.90,43199
3-Nov-14,46.48,46.93,45.81,46.19,26379
31-Oct-14,46.77,46.79,45.32,46.49,72566
30-Oct-14,45.57,46.02,44.92,45.73,22943
29-Oct-14,46.84,47.52,45.14,45.68,38997
28-Oct-14,44.38,46.76,44.38,46.31,60789
27-Oct-14,44.01,44.05,43.35,43.94,25284
24-Oct-14,44.58,45.25,44.36,44.55,21895
23-Oct-14,44.61,45.05,44.11,44.78,29863
22-Oct-14,44.94,44.94,43.79,43.94,25406
21-Oct-14,44.08,44.89,43.68,44.66,41218
20-Oct-14,42.95,43.63,42.95,43.46,32074
17-Oct-14,43.79,43.93,42.66,42.86,32657
16-Oct-14,41.47,43.49,41.47,43.09,39321
15-Oct-14,40.95,42.36,40.95,42.25,57996
14-Oct-14,40.63,41.72,40.49,41.23,102386
13-Oct-14,40.42,40.97,40.05,40.49,75778
10-Oct-14,41.30,42.13,40.16,40.22,64213
9-Oct-14,42.39,42.39,41.33,41.59,91141
8-Oct-14,42.36,42.73,41.12,42.53,69765
7-Oct-14,43.90,44.61,42.52,42.56,37520
6-Oct-14,44.33,44.89,43.84,44.09,45819
3-Oct-14,45.59,45.59,44.16,44.31,69170
2-Oct-14,44.78,45.56,44.73,45.09,59322
1-Oct-14,45.64,46.03,44.51,44.51,102606
30-Sep-14,46.62,46.77,45.58,45.99,76393
29-Sep-14,47.24,47.28,46.51,46.76,57804
26-Sep-14,47.82,48.10,46.99,47.45,36749
25-Sep-14,48.51,48.65,46.92,47.72,77065
24-Sep-14,49.63,49.63,48.52,48.69,28119
23-Sep-14,50.70,51.00,49.28,49.47,43931
22-Sep-14,51.05,51.46,50.37,50.52,67973
19-Sep-14,51.73,51.89,50.62,51.01,79766
