Date,Open,High,Low,Close,Volume
31-Dec-14,26.06,26.43,26.05,26.14,10163
30-Dec-14,26.29,26.58,26.29,26.51,5841
29-Dec-14,26.42,26.75,26.35,26.73,4618
26-Dec-14,26.29,26.50,26.26,26.42,8589
24-Dec-14,26.56,26.56,26.24,26.24,4004
23-Dec-14,26.24,26.75,25.95,26.61,41841
22-Dec-14,26.37,26.60,26.13,26.22,65128
19-Dec-14,25.90,26.45,25.77,26.44,52001
18-Dec-14,25.65,26.00,25.08,26.00,17418
17-Dec-14,24.85,25.67,24.81,25.66,21177
16-Dec-14,24.89,25.01,24.70,24.84,11514
15-Dec-14,24.75,24.94,24.66,24.74,15940
12-Dec-14,24.75,24.99,24.60,24.70,13377
11-Dec-14,24.56,24.94,24.56,24.84,16431
10-Dec-14,24.87,25.09,24.55,24.56,13786
9-Dec-14,24.56,25.00,24.42,24.98,24957
8-Dec-14,24.68,25.08,24.52,24.74,17158
5-Dec-14,24.87,25.35,24.70,25.01,23678
4-Dec-14,24.76,25.10,24.74,24.91,15262
3-Dec-14,24.49,24.98,24.34,24.72,42594
2-Dec-14,24.20,24.50,24.20,24.50,7210
1-Dec-14,24.48,24.83,23.56,24.04,30965
28-Nov-14,24.89,24.89,24.30,24.37,5979
26-Nov-14,24.92,25.00,23.87,25.00,8706
25-Nov-14,24.98,24.99,24.77,24.95,6159
24-Nov-14,24.88,25.00,23.60,24.99,7866
21-Nov-14,24.95,25.00,24.65,24.86,12814
20-Nov-14,24.71,24.93,24.50,24.69,10346
19-Nov-14,24.82,25.07,24.71,24.87,12453
18-Nov-14,25.18,25.25,25.10,25.23,11791
17-Nov-14,25.30,25.31,24.95,25.25,15724
14-Nov-14,25.60,25.60,24.98,25.37,47087
13-Nov-14,25.51,25.62,25.27,25.53,6443
12-Nov-14,25.58,25.65,25.43,25.64,14285
11-Nov-14,25.59,25.68,25.24,25.64,19898
10-Nov-14,25.59,25.70,24.99,25.68,12606
7-Nov-14,25.70,25.70,25.16,25.56,14169
6-Nov-14,25.52,25.70,25.01,25.69,17306
5-Nov-14,25.70,25.70,25.29,25.64,19055
4-Nov-14,25.59,25.65,24.56,25.58,24354
3-Nov-14,25.50,25.80,25.50,25.62,13721
31-Oct-14,25.72,25.95,25.36,25.72,25167
30-Oct-14,25.19,25.47,23.22,25.47,27171
29-Oct-14,24.05,25.25,24.00,25.23,14022
28-Oct-14,24.78,25.48,24.78,25.22,38154
27-Oct-14,24.41,25.00,23.31,24.92,18629
24-Oct-14,24.19,24.77,24.11,24.55,19339
23-Oct-14,23.13,24.20,22.82,24.19,26442
22-Oct-14,23.93,24.38,23.63,23.69,20288
21-Oct-14,24.29,24.29,23.72,23.96,14541
20-Oct-14,24.25,24.74,23.98,24.25,26196
17-Oct-14,25.00,25.00,23.96,24.24,23771
16-Oct-14,24.19,25.00,24.13,24.99,32266
15-Oct-14,23.88,24.73,23.60,24.50,29766
14-Oct-14,23.84,24.37,23.80,24.12,21403
13-Oct-14,22.89,23.84,22.89,23.72,36004
10-Oct-14,22.75,22.89,22.60,22.83,29491
9-Oct-14,22.99,23.00,22.85,22.90,14717
8-Oct-14,22.81,23.07,22.80,23.04,38353
7-Oct-14,23.06,23.12,22.88,22.88,49240
6-Oct-14,23.17,23.48,22.98,23.14,13423
3-Oct-14,23.19,23.28,22.87,23.14,16400
2-Oct-14,22.82,23.19,22.82,23.04,21510
1-Oct-14,23.00,23.08,22.74,22.87,29891
30-Sep-14,23.43,23.43,22.61,23.04,27249
29-Sep-14,23.01,23.30,22.92,23.08,39302
26-Sep-14,23.58,23.62,22.81,23.00,18488
25-Sep-14,23.54,23.70,23.44,23.58,32249
24-Sep-14,23.47,23.67,23.25,23.67,36682
23-Sep-14,23.05,23.36,22.95,23.19,36926
22-Sep-14,22.75,23.18,22.70,23.11,47420
19-Sep-14,22.80,22.99,22.55,22.75,51735
18-Sep-14,22.47,22.78,22.47,22.75,64693
17-Sep-14,22.50,22.97,22.31,22.44,20269
16-Sep-14,22.35,22.58,22.15,22.43,18930
15-Sep-14,22.57,22.78,22.10,22.29,23757
12-Sep-14,22.64,22.94,22.33,22.47,22609
11-Sep-14,22.50,22.76,22.30,22.58,36111
10-Sep-14,22.24,22.83,22.12,22.70,37849
9-Sep-14,22.13,22.34,22.00,22.18,47897
8-Sep-14,22.35,22.35,22.25,22.34,6499
5-Sep-14,22.15,22.40,22.10,22.33,17615
4-Sep-14,22.09,22.30,22.09,22.16,3139
3-Sep-14,22.25,22.37,22.19,22.24,8736
2-Sep-14,22.25,22.25,22.00,22.23,18875
29-Aug-14,22.07,22.31,21.85,22.15,20611
28-Aug-14,21.85,22.10,21.85,22.10,13948
27-Aug-14,21.67,22.15,21.64,22.10,11567
26-Aug-14,22.00,22.23,21.92,22.16,13972
25-Aug-14,22.21,22.21,21.99,21.99,6019
22-Aug-14,22.08,22.25,21.91,22.14,9293
21-Aug-14,21.82,22.13,21.75,22.05,14513
20-Aug-14,21.91,21.95,21.82,21.92,9053
19-Aug-14,21.96,22.23,21.96,22.08,16732
18-Aug-14,22.01,22.22,21.70,22.00,26647
15-Aug-14,22.07,22.07,21.80,21.82,16433
14-Aug-14,21.86,21.93,21.80,21.89,3156
13-Aug-14,21.66,21.95,21.66,21.83,12127
12-Aug-14,22.13,22.13,21.69,21.81,15069
11-Aug-14,22.12,22.43,22.10,22.27,11981
8-Aug-14,22.04,22.24,22.01,22.13,11658
7-Aug-14,22.06,22.21,21.96,22.01,27281
6-Aug-14,21.76,22.24,21.75,22.00,48432
5-Aug-14,21.60,21.86,21.60,21.76,23364
4-Aug-14,21.39,21.72,21.39,21.62,32357
1-Aug-14,21.39,21.57,21.26,21.41,21231
31-Jul-14,21.25,21.42,21.20,21.32,42755
30-Jul-14,21.22,21.44,21.21,21.34,22142
29-Jul-14,21.22,21.34,21.05,21.09,12777
28-Jul-14,21.18,21.33,21.16,21.16,13424
25-Jul-14,20.99,21.35,20.99,21.09,18842
24-Jul-14,21.33,21.87,21.03,21.17,48451
23-Jul-14,20.80,20.97,20.71,20.91,19252
22-Jul-14,20.73,20.90,20.65,20.75,10405
21-Jul-14,20.77,20.84,20.60,20.65,6442
18-Jul-14,20.59,20.93,20.59,20.84,19725
17-Jul-14,20.75,20.97,20.64,20.67,22568
16-Jul-14,21.17,21.17,20.75,20.92,19352
15-Jul-14,21.60,21.60,20.86,20.99,30646
14-Jul-14,21.57,21.77,21.02,21.55,15500
11-Jul-14,21.42,21.45,21.16,21.37,9765
10-Jul-14,21.44,21.52,20.89,21.37,25226
9-Jul-14,21.79,21.95,21.75,21.83,10168
8-Jul-14,21.80,22.09,21.54,21.73,28701
7-Jul-14,22.10,22.52,21.80,21.81,18397
3-Jul-14,22.14,22.49,21.85,22.10,8987
2-Jul-14,22.46,22.46,21.90,22.03,7718
1-Jul-14,21.86,22.52,21.28,22.16,21128
30-Jun-14,21.84,21.88,21.50,21.84,22339
27-Jun-14,21.44,22.00,21.40,21.99,76567
26-Jun-14,21.04,21.64,21.02,21.64,29665
25-Jun-14,21.05,21.41,20.80,21.10,35057
24-Jun-14,21.32,21.54,21.06,21.15,34685
23-Jun-14,21.55,21.75,21.20,21.36,19074
20-Jun-14,21.47,21.75,21.25,21.41,49749
19-Jun-14,21.29,21.49,21.26,21.30,13025
18-Jun-14,21.62,21.67,21.20,21.48,28903
17-Jun-14,21.29,21.72,21.20,21.60,26435
16-Jun-14,21.65,21.77,21.01,21.29,17549
13-Jun-14,21.79,22.30,21.37,21.49,30809
12-Jun-14,21.28,22.38,21.23,21.65,54570
11-Jun-14,21.78,22.62,21.15,21.80,33036
10-Jun-14,21.66,22.06,21.36,21.89,13797
9-Jun-14,21.15,22.68,21.15,21.91,24041
6-Jun-14,20.85,21.70,20.84,21.23,23776
5-Jun-14,20.38,20.94,20.21,20.92,20931
4-Jun-14,20.19,20.58,20.11,20.33,21126
3-Jun-14,20.48,20.84,20.20,20.31,30417
2-Jun-14,21.38,21.38,20.60,20.68,23918
30-May-14,22.09,22.22,21.21,21.25,62693
29-May-14,21.94,22.31,21.75,22.00,21602
28-May-14,21.77,22.20,21.75,21.95,29577
27-May-14,21.50,21.94,21.50,21.83,21552
23-May-14,20.64,21.83,20.59,21.44,33710
22-May-14,20.25,20.73,19.95,20.50,27088
21-May-14,19.75,20.20,19.61,20.00,33717
20-May-14,19.97,20.33,19.38,19.57,28138
19-May-14,20.01,20.25,19.91,20.09,10356
16-May-14,19.99,20.12,19.86,20.12,8564
15-May-14,20.25,20.50,19.95,20.04,20725
14-May-14,21.06,21.26,20.28,20.30,42422
13-May-14,21.43,21.70,20.99,20.99,34195
