Date,Open,High,Low,Close,Volume
31-Dec-14,11.93,12.13,11.85,11.92,51140
30-Dec-14,11.96,12.00,11.72,12.00,21039
29-Dec-14,11.95,12.01,11.94,12.01,11512
26-Dec-14,11.84,12.26,11.82,11.98,16272
24-Dec-14,12.06,12.06,11.88,12.00,6201
23-Dec-14,12.10,12.19,11.63,11.99,31538
22-Dec-14,11.67,12.08,11.67,12.07,39867
19-Dec-14,11.55,11.85,11.46,11.65,61082
18-Dec-14,11.44,11.63,11.42,11.56,22992
17-Dec-14,11.44,11.44,11.21,11.28,39039
16-Dec-14,11.46,11.53,11.40,11.46,26228
15-Dec-14,11.49,11.58,11.33,11.55,12970
12-Dec-14,11.47,11.55,11.30,11.49,31878
11-Dec-14,11.63,11.75,11.42,11.45,38256
10-Dec-14,11.88,11.96,11.54,11.54,19953
9-Dec-14,11.72,11.99,11.54,11.84,15567
8-Dec-14,12.20,12.29,11.78,11.90,15721
5-Dec-14,12.26,12.49,12.20,12.31,27555
4-Dec-14,12.58,12.60,12.25,12.32,39907
3-Dec-14,12.59,13.09,12.31,12.44,40485
2-Dec-14,12.24,12.66,12.08,12.59,45349
1-Dec-14,12.11,12.39,12.00,12.26,34265
28-Nov-14,12.11,12.38,11.96,12.25,56328
26-Nov-14,11.80,12.08,11.80,12.02,22061
25-Nov-14,11.32,11.98,11.32,11.76,27664
24-Nov-14,11.20,11.40,11.20,11.25,167983
21-Nov-14,11.34,11.34,11.22,11.25,23697
20-Nov-14,11.23,11.35,11.17,11.25,33771
19-Nov-14,11.34,11.41,11.15,11.26,24494
18-Nov-14,11.35,11.61,11.15,11.28,48413
17-Nov-14,11.09,11.42,11.02,11.36,43620
14-Nov-14,11.36,11.45,11.08,11.09,32567
13-Nov-14,11.35,11.45,11.30,11.38,41872
12-Nov-14,11.32,11.48,11.30,11.35,18699
11-Nov-14,11.55,11.56,11.34,11.44,29275
10-Nov-14,11.47,11.60,11.13,11.50,34689
7-Nov-14,11.10,11.50,10.98,11.43,25186
6-Nov-14,10.81,11.14,10.61,11.14,96929
5-Nov-14,10.97,11.24,10.91,11.24,30989
4-Nov-14,11.31,11.33,10.94,10.98,26860
3-Nov-14,11.23,11.45,11.23,11.30,13124
31-Oct-14,11.46,11.46,11.22,11.22,14991
