Date,Open,High,Low,Close,Volume
31-Dec-14,8.45,8.51,8.35,8.39,19739
30-Dec-14,8.29,8.45,8.25,8.42,58596
29-Dec-14,8.29,8.37,8.28,8.34,27180
26-Dec-14,8.17,8.37,8.08,8.25,26191
24-Dec-14,8.03,8.13,7.94,8.13,12019
23-Dec-14,8.00,8.09,7.86,8.01,73268
22-Dec-14,7.86,8.10,7.82,7.99,57231
19-Dec-14,7.76,7.89,7.72,7.79,102644
18-Dec-14,7.88,7.88,7.73,7.79,35059
17-Dec-14,7.64,7.84,7.64,7.80,35258
16-Dec-14,7.53,7.83,7.50,7.68,54742
15-Dec-14,7.47,7.57,7.44,7.56,23499
12-Dec-14,7.40,7.67,7.40,7.45,27871
11-Dec-14,7.65,7.69,7.30,7.56,16939
10-Dec-14,7.76,7.83,7.62,7.63,30588
9-Dec-14,7.39,7.82,7.39,7.81,50094
8-Dec-14,7.59,7.65,7.48,7.48,13084
5-Dec-14,7.56,7.69,7.51,7.59,13076
4-Dec-14,7.53,7.63,7.50,7.57,17739
3-Dec-14,7.39,7.65,7.39,7.62,23827
2-Dec-14,7.29,7.48,7.29,7.47,22903
1-Dec-14,7.30,7.40,7.25,7.25,25954
28-Nov-14,7.50,7.52,7.25,7.27,18212
26-Nov-14,7.66,7.66,7.53,7.55,9428
25-Nov-14,7.76,7.76,7.64,7.64,8112
24-Nov-14,7.60,7.75,7.50,7.74,16502
21-Nov-14,7.60,7.64,7.51,7.60,52221
20-Nov-14,7.41,7.53,7.41,7.50,25131
19-Nov-14,7.42,7.53,7.35,7.46,33689
18-Nov-14,7.39,7.43,7.28,7.41,18000
17-Nov-14,7.52,7.52,7.33,7.37,29001
14-Nov-14,7.58,7.60,7.52,7.55,36560
13-Nov-14,7.57,7.74,7.51,7.60,78562
12-Nov-14,7.56,7.63,7.53,7.60,26284
11-Nov-14,7.67,7.67,7.57,7.60,47291
10-Nov-14,7.79,7.79,7.68,7.70,37048
7-Nov-14,7.73,7.83,7.67,7.75,18132
6-Nov-14,7.85,7.85,7.72,7.84,43852
5-Nov-14,7.77,7.85,7.75,7.81,20940
4-Nov-14,7.64,7.82,7.55,7.74,84139
3-Nov-14,7.86,7.86,7.50,7.69,50066
31-Oct-14,7.99,7.99,7.72,7.87,46876
30-Oct-14,7.89,7.98,7.72,7.97,59828
29-Oct-14,7.93,7.93,7.75,7.89,28709
28-Oct-14,7.69,7.93,7.69,7.92,51733
27-Oct-14,7.48,7.67,7.46,7.64,29014
24-Oct-14,7.57,7.67,7.49,7.51,21404
23-Oct-14,7.53,7.61,7.48,7.54,17430
22-Oct-14,7.77,7.77,7.40,7.40,18156
21-Oct-14,7.54,7.64,7.45,7.55,20132
20-Oct-14,7.48,7.61,7.42,7.52,28518
17-Oct-14,7.78,7.78,7.50,7.50,30843
16-Oct-14,7.50,7.79,7.50,7.66,50149
15-Oct-14,7.39,7.80,7.31,7.62,75362
14-Oct-14,7.52,7.62,7.41,7.47,43371
13-Oct-14,7.20,7.49,7.20,7.46,37597
10-Oct-14,7.06,7.29,7.06,7.22,44362
9-Oct-14,7.13,7.26,7.11,7.11,23348
8-Oct-14,7.06,7.38,7.05,7.36,39645
7-Oct-14,7.25,7.27,7.05,7.06,34089
6-Oct-14,7.23,7.40,7.23,7.34,60377
3-Oct-14,7.21,7.42,7.15,7.31,76886
2-Oct-14,7.02,7.15,7.00,7.15,65079
1-Oct-14,7.01,7.15,6.95,7.00,110498
30-Sep-14,7.01,7.14,6.95,7.00,60777
