Date,Open,High,Low,Close,Volume
31-Dec-14,12.61,12.61,12.35,12.40,3051
30-Dec-14,12.53,12.72,12.51,12.72,6140
29-Dec-14,12.50,12.74,12.47,12.52,16482
26-Dec-14,12.56,12.56,12.56,12.56,100
24-Dec-14,12.57,12.57,12.57,12.57,150
23-Dec-14,12.45,12.72,12.44,12.55,1101
22-Dec-14,12.46,12.54,12.45,12.45,1321
19-Dec-14,12.52,12.57,12.51,12.51,3026
18-Dec-14,12.60,12.60,12.45,12.60,724
17-Dec-14,12.45,12.48,12.45,12.48,1655
16-Dec-14,12.50,12.67,12.50,12.50,3170
15-Dec-14,12.65,12.65,12.45,12.46,477
12-Dec-14,12.50,12.60,12.40,12.43,9673
11-Dec-14,12.52,12.59,12.52,12.59,1731
10-Dec-14,12.52,12.56,12.51,12.51,1524
9-Dec-14,12.51,12.68,12.51,12.55,3214
8-Dec-14,12.75,12.75,12.52,12.75,1927
5-Dec-14,12.53,12.55,12.53,12.54,2009
4-Dec-14,12.55,12.74,12.50,12.71,3783
2-Dec-14,12.73,12.73,12.67,12.70,715
1-Dec-14,12.75,12.75,12.61,12.75,3858
26-Nov-14,12.60,12.75,12.60,12.75,2497
25-Nov-14,12.74,12.74,12.60,12.62,4704
24-Nov-14,12.69,12.87,12.59,12.83,3475
21-Nov-14,12.55,12.59,12.55,12.59,572
20-Nov-14,12.52,12.83,12.50,12.56,6583
19-Nov-14,12.71,12.81,12.50,12.57,2848
18-Nov-14,12.79,12.89,12.52,12.88,2850
17-Nov-14,12.17,12.89,12.17,12.89,4214
14-Nov-14,12.57,12.57,10.06,12.17,15906
12-Nov-14,12.51,12.67,12.51,12.61,7610
11-Nov-14,12.64,12.68,12.50,12.65,3893
10-Nov-14,12.65,12.74,12.50,12.50,6436
7-Nov-14,12.53,12.86,12.50,12.70,10197
6-Nov-14,13.00,13.00,12.60,12.62,9438
5-Nov-14,12.98,13.00,12.85,12.85,3721
4-Nov-14,12.84,12.92,12.84,12.84,1041
3-Nov-14,12.69,12.97,12.53,12.84,5060
31-Oct-14,12.82,12.99,12.50,12.50,5304
30-Oct-14,12.63,12.90,12.55,12.62,3000
29-Oct-14,12.36,12.86,12.36,12.47,4978
28-Oct-14,12.19,12.31,12.19,12.31,2601
27-Oct-14,12.87,12.87,12.19,12.26,4722
24-Oct-14,12.62,12.92,12.60,12.87,6451
23-Oct-14,12.15,13.00,12.15,12.69,15213
22-Oct-14,12.56,12.74,12.20,12.59,18924
21-Oct-14,12.55,13.00,12.51,12.86,3920
20-Oct-14,12.50,12.78,12.50,12.59,4007
17-Oct-14,12.79,13.00,12.78,12.78,4650
16-Oct-14,12.60,12.97,12.60,12.73,3195
15-Oct-14,13.41,13.41,12.30,12.97,4503
14-Oct-14,12.78,13.15,12.66,12.68,3614
13-Oct-14,12.45,12.74,12.45,12.67,6002
10-Oct-14,13.03,13.09,12.26,12.37,6314
9-Oct-14,13.18,13.42,13.05,13.05,5652
8-Oct-14,13.53,13.70,13.13,13.50,6761
7-Oct-14,13.39,13.69,13.19,13.21,4167
6-Oct-14,13.30,13.49,13.30,13.30,2730
3-Oct-14,13.04,13.86,13.04,13.30,6607
2-Oct-14,13.16,13.95,13.13,13.13,15938
1-Oct-14,13.07,13.16,13.01,13.15,18910
30-Sep-14,13.17,13.20,13.02,13.20,2356
29-Sep-14,13.13,13.15,12.97,13.11,3313
26-Sep-14,13.00,13.17,12.96,13.07,3058
25-Sep-14,13.07,13.20,12.94,13.06,5175
23-Sep-14,12.91,13.19,12.91,13.19,16368
22-Sep-14,13.10,13.17,12.93,13.05,9387
19-Sep-14,13.07,13.20,12.93,13.20,14971
18-Sep-14,13.12,13.20,13.01,13.20,6774
17-Sep-14,13.02,13.20,12.93,13.20,7282
16-Sep-14,13.07,13.20,13.00,13.00,11950
15-Sep-14,13.19,13.20,12.94,12.94,6568
12-Sep-14,12.89,13.20,12.83,13.17,18198
11-Sep-14,12.96,13.00,12.60,12.77,14982
10-Sep-14,12.44,12.70,12.35,12.70,14920
9-Sep-14,12.68,12.99,12.42,12.70,13482
8-Sep-14,13.00,13.00,12.31,12.33,6386
5-Sep-14,12.33,12.99,12.30,12.91,13535
4-Sep-14,12.37,12.50,12.30,12.48,9056
3-Sep-14,12.30,12.46,12.30,12.42,9920
2-Sep-14,12.24,12.29,12.18,12.28,1489
29-Aug-14,12.28,12.30,11.99,12.12,11402
28-Aug-14,12.17,12.30,11.95,12.30,12620
27-Aug-14,11.79,12.06,11.79,12.06,17867
26-Aug-14,11.80,11.95,11.75,11.95,7133
25-Aug-14,11.80,11.94,11.65,11.79,6584
22-Aug-14,11.80,12.00,11.65,11.83,6314
21-Aug-14,11.73,12.00,11.65,11.69,5501
20-Aug-14,11.74,12.00,11.70,11.92,7030
19-Aug-14,11.74,11.97,11.74,11.97,3408
18-Aug-14,11.64,12.05,11.64,11.76,8671
15-Aug-14,11.89,11.92,11.41,11.64,5114
14-Aug-14,11.56,12.09,11.51,11.79,4144
13-Aug-14,11.70,12.14,11.40,11.62,2392
12-Aug-14,11.33,11.56,11.33,11.53,618
11-Aug-14,11.45,12.02,11.34,11.47,5935
8-Aug-14,11.43,11.87,11.43,11.79,4731
7-Aug-14,11.55,11.92,11.41,11.74,8998
6-Aug-14,11.42,11.95,11.42,11.54,7285
5-Aug-14,11.38,11.90,11.38,11.61,7840
4-Aug-14,11.62,12.14,11.45,11.85,5382
1-Aug-14,11.62,11.99,10.94,11.46,6046
31-Jul-14,11.66,12.24,11.66,11.85,5531
30-Jul-14,12.30,12.30,11.71,12.03,2690
29-Jul-14,11.70,11.70,11.62,11.62,2087
28-Jul-14,11.66,11.85,11.61,11.68,2168
25-Jul-14,11.41,12.26,11.41,11.57,5393
24-Jul-14,12.14,12.20,11.15,12.00,6951
23-Jul-14,11.61,12.30,11.61,12.29,5178
22-Jul-14,12.25,12.25,11.68,11.82,4418
21-Jul-14,11.44,12.13,11.36,11.40,3964
18-Jul-14,11.71,11.71,11.25,11.55,5402
17-Jul-14,11.55,11.83,11.53,11.60,5435
16-Jul-14,11.94,11.94,11.10,11.71,3081
15-Jul-14,12.24,12.24,12.10,12.10,1896
14-Jul-14,12.24,12.24,12.06,12.19,2069
11-Jul-14,12.53,12.53,11.82,11.82,1942
10-Jul-14,12.07,12.15,12.07,12.09,423
9-Jul-14,11.91,12.37,11.53,11.88,8463
8-Jul-14,11.17,11.45,11.17,11.45,4234
7-Jul-14,11.17,11.17,11.05,11.05,858
3-Jul-14,11.15,11.15,11.11,11.14,1713
2-Jul-14,11.03,11.10,11.02,11.02,1611
1-Jul-14,11.17,11.17,11.00,11.00,2401
30-Jun-14,11.09,11.09,10.99,11.00,2754
27-Jun-14,11.02,11.02,11.02,11.02,206
26-Jun-14,11.24,11.24,10.99,10.99,502
25-Jun-14,11.20,11.20,11.20,11.20,300
24-Jun-14,11.11,11.12,10.97,11.00,3076
23-Jun-14,11.08,11.20,10.99,10.99,4854
20-Jun-14,11.20,11.20,10.92,10.96,3666
19-Jun-14,11.06,11.13,10.92,11.05,2755
18-Jun-14,11.25,11.25,10.97,11.03,3686
17-Jun-14,11.22,11.22,11.05,11.05,26129
16-Jun-14,11.09,11.16,11.06,11.15,1218
13-Jun-14,11.06,11.13,10.93,11.08,4343
12-Jun-14,11.00,11.25,11.00,11.10,8687
11-Jun-14,11.00,11.00,10.93,10.93,715
10-Jun-14,11.00,11.03,11.00,11.03,669
9-Jun-14,10.99,11.07,10.91,10.95,8966
6-Jun-14,11.00,11.01,10.91,11.01,5688
5-Jun-14,10.95,11.00,10.95,11.00,3326
4-Jun-14,11.00,11.00,10.91,10.91,3500
3-Jun-14,11.02,11.04,11.00,11.00,8174
2-Jun-14,11.05,11.20,11.01,11.05,10566
30-May-14,11.00,11.05,11.00,11.05,3001
29-May-14,11.16,11.16,11.09,11.09,1500
28-May-14,11.20,11.20,11.04,11.05,1400
27-May-14,11.16,11.16,11.00,11.14,1100
23-May-14,11.02,11.20,10.85,11.05,12096
22-May-14,10.98,11.10,10.84,11.02,1210
21-May-14,10.96,11.00,10.85,10.88,3953
20-May-14,11.01,11.17,10.98,10.98,1100
19-May-14,10.88,11.12,10.88,11.00,1200
16-May-14,11.00,11.01,10.95,11.00,6190
13-May-14,11.13,11.20,11.02,11.02,6907
12-May-14,10.99,11.20,10.99,11.20,2233
9-May-14,10.85,10.93,10.85,10.90,769
8-May-14,10.98,10.98,10.95,10.95,3618
7-May-14,11.20,11.20,11.15,11.15,755
6-May-14,11.09,11.21,10.97,10.99,3752
5-May-14,11.24,11.26,10.89,11.26,3343
1-May-14,11.00,11.25,11.00,11.20,11668
30-Apr-14,11.24,11.24,10.56,11.14,9995
29-Apr-14,11.03,11.40,11.02,11.14,15136
28-Apr-14,11.24,11.24,11.02,11.09,3125
25-Apr-14,11.26,11.98,11.00,11.07,7414
24-Apr-14,11.42,11.83,11.27,11.27,9755
23-Apr-14,11.40,11.40,11.03,11.33,4736
22-Apr-14,10.08,11.42,10.08,11.37,31394
21-Apr-14,9.97,10.40,9.80,10.17,12231
17-Apr-14,9.63,9.88,9.61,9.85,2388
16-Apr-14,9.73,9.74,9.55,9.64,4891
15-Apr-14,9.63,9.88,9.62,9.65,1229
14-Apr-14,9.77,9.99,9.61,9.90,7918
11-Apr-14,9.68,10.00,9.53,9.66,2855
10-Apr-14,9.89,9.89,9.56,9.56,4502
9-Apr-14,9.68,10.00,9.68,9.76,1303
8-Apr-14,9.48,10.12,9.18,9.59,15727
7-Apr-14,9.00,9.63,8.95,9.18,8720
4-Apr-14,9.26,9.26,8.94,9.04,5075
3-Apr-14,9.51,9.56,9.22,9.31,17899
2-Apr-14,9.74,10.24,9.59,9.60,3794
1-Apr-14,9.85,9.85,9.10,9.57,16860
31-Mar-14,9.86,9.96,9.85,9.85,4427
28-Mar-14,10.17,10.24,10.00,10.00,2435
27-Mar-14,10.02,10.12,9.93,9.93,2442
26-Mar-14,10.27,10.44,9.88,10.16,11540
25-Mar-14,10.75,10.75,9.82,10.30,15917
24-Mar-14,11.50,11.50,10.55,10.77,8655
21-Mar-14,11.65,11.74,11.50,11.50,1195
20-Mar-14,11.70,11.94,11.36,11.72,11720
19-Mar-14,12.15,12.15,11.74,11.78,5267
18-Mar-14,11.87,12.10,11.70,11.96,7391
17-Mar-14,12.55,12.55,11.67,11.86,22958
14-Mar-14,12.33,12.40,12.14,12.14,4461
13-Mar-14,12.47,13.26,12.30,12.39,5639
12-Mar-14,12.60,12.88,12.60,12.72,1324
11-Mar-14,12.67,12.67,12.40,12.58,2509
10-Mar-14,12.80,12.80,12.39,12.70,14338
7-Mar-14,13.40,13.40,12.40,12.75,13113
6-Mar-14,12.76,12.76,12.40,12.55,7095
5-Mar-14,12.72,12.72,12.54,12.67,4939
4-Mar-14,12.89,13.00,12.62,12.62,6205
3-Mar-14,12.78,12.92,12.41,12.92,3663
28-Feb-14,12.94,12.94,12.40,12.76,8206
27-Feb-14,12.89,13.00,12.33,13.00,6693
26-Feb-14,13.00,13.44,12.51,12.89,35496
25-Feb-14,13.28,13.28,12.85,13.00,5499
24-Feb-14,12.50,13.14,12.30,13.10,10059
21-Feb-14,12.50,12.59,12.23,12.51,7292
20-Feb-14,12.49,13.00,12.30,12.50,6773
19-Feb-14,12.25,13.30,12.25,12.38,10133
18-Feb-14,12.50,12.50,12.00,12.33,22118
14-Feb-14,11.91,11.95,11.91,11.93,868
13-Feb-14,11.94,11.95,11.75,11.75,10163
12-Feb-14,11.94,11.94,11.52,11.74,4257
11-Feb-14,11.45,11.98,11.44,11.77,16943
10-Feb-14,10.97,11.46,10.90,11.46,19630
7-Feb-14,10.91,11.00,10.62,10.75,3135
6-Feb-14,10.55,10.60,10.55,10.60,2722
5-Feb-14,10.48,10.48,10.48,10.48,404
4-Feb-14,10.41,10.80,10.00,10.48,16535
3-Feb-14,11.16,11.16,10.40,10.50,25129
31-Jan-14,11.16,11.21,10.65,11.11,2466
30-Jan-14,11.01,11.50,10.97,11.37,15930
29-Jan-14,10.80,11.20,10.75,11.20,27029
28-Jan-14,10.50,10.50,10.40,10.41,3608
27-Jan-14,10.42,10.46,10.40,10.45,10288
