Date,Open,High,Low,Close,Volume
31-Dec-14,1.71,1.79,1.70,1.72,33978
30-Dec-14,1.63,1.80,1.57,1.80,21015
29-Dec-14,1.73,1.75,1.57,1.67,26968
26-Dec-14,1.76,1.77,1.65,1.69,14790
24-Dec-14,1.74,1.79,1.74,1.75,7602
23-Dec-14,1.73,1.75,1.53,1.72,65760
22-Dec-14,1.50,1.75,1.40,1.66,99766
19-Dec-14,1.58,1.58,1.50,1.50,42292
18-Dec-14,1.54,1.56,1.54,1.55,9591
17-Dec-14,1.55,1.60,1.53,1.53,12165
16-Dec-14,1.54,1.63,1.54,1.55,23685
15-Dec-14,1.61,1.67,1.56,1.63,17371
12-Dec-14,1.55,1.69,1.53,1.60,31745
11-Dec-14,1.64,1.66,1.51,1.55,49518
10-Dec-14,1.66,1.66,1.63,1.63,10941
9-Dec-14,1.62,1.63,1.61,1.63,14652
8-Dec-14,1.78,1.78,1.60,1.70,30005
5-Dec-14,1.75,1.79,1.70,1.71,75907
4-Dec-14,1.72,2.18,1.68,1.78,361349
3-Dec-14,1.70,1.75,1.62,1.74,18080
2-Dec-14,1.80,1.80,1.75,1.75,4450
1-Dec-14,1.78,1.90,1.70,1.72,19403
28-Nov-14,1.85,1.89,1.73,1.73,54388
26-Nov-14,1.87,1.87,1.83,1.83,1557
25-Nov-14,1.88,1.88,1.81,1.86,20251
24-Nov-14,1.86,1.90,1.86,1.90,1113
21-Nov-14,1.99,1.99,1.83,1.88,6825
20-Nov-14,1.84,2.05,1.82,1.96,116172
19-Nov-14,1.85,1.90,1.73,1.84,32330
18-Nov-14,1.87,1.90,1.80,1.88,23364
17-Nov-14,1.85,2.00,1.74,1.85,77316
14-Nov-14,1.86,1.88,1.64,1.85,54680
13-Nov-14,2.00,2.00,1.74,1.85,51175
12-Nov-14,1.93,1.98,1.93,1.96,3880
11-Nov-14,2.00,2.03,2.00,2.03,7484
10-Nov-14,2.05,2.05,1.97,2.00,23011
7-Nov-14,2.05,2.05,2.00,2.04,16419
6-Nov-14,1.97,2.05,1.96,2.05,12748
5-Nov-14,2.03,2.03,1.93,2.02,26624
4-Nov-14,1.92,2.03,1.92,1.97,29259
3-Nov-14,1.99,2.05,1.92,2.02,37103
31-Oct-14,2.00,2.04,1.91,1.95,29384
30-Oct-14,2.10,2.13,1.92,1.95,93393
29-Oct-14,2.24,2.54,2.06,2.13,263737
28-Oct-14,2.13,2.25,2.10,2.25,81127
27-Oct-14,1.99,2.15,1.99,2.13,45196
24-Oct-14,1.87,2.06,1.87,1.99,55015
23-Oct-14,1.89,1.89,1.81,1.82,3875
22-Oct-14,1.92,1.92,1.85,1.85,1700
21-Oct-14,1.91,1.97,1.91,1.92,9031
17-Oct-14,1.87,1.90,1.84,1.84,13300
16-Oct-14,1.77,1.85,1.77,1.85,2099
15-Oct-14,1.84,1.89,1.73,1.89,6080
14-Oct-14,1.72,1.90,1.72,1.80,19719
13-Oct-14,1.85,1.91,1.71,1.79,41884
10-Oct-14,1.81,1.94,1.75,1.91,10000
9-Oct-14,1.89,2.04,1.82,1.83,21645
8-Oct-14,1.99,2.02,1.89,1.89,17284
7-Oct-14,2.02,2.15,1.96,1.97,14800
6-Oct-14,2.03,2.10,1.94,2.10,9447
3-Oct-14,1.99,2.07,1.99,2.07,12400
2-Oct-14,2.04,2.04,1.96,2.04,27543
1-Oct-14,2.06,2.09,2.01,2.02,17725
30-Sep-14,2.10,2.15,2.06,2.07,12520
29-Sep-14,2.05,2.13,2.00,2.11,10902
26-Sep-14,1.97,2.26,1.93,2.03,92572
25-Sep-14,2.06,2.09,1.98,1.99,3600
24-Sep-14,2.16,2.19,1.99,2.06,18416
23-Sep-14,1.92,2.07,1.88,2.07,23262
22-Sep-14,2.00,2.00,1.90,1.90,24912
19-Sep-14,2.02,2.06,1.96,1.99,30433
18-Sep-14,2.07,2.15,2.00,2.05,16953
17-Sep-14,2.07,2.15,2.07,2.15,3455
16-Sep-14,2.13,2.21,2.01,2.03,20369
15-Sep-14,2.42,2.57,2.10,2.17,67331
12-Sep-14,1.97,2.61,1.95,2.25,290623
11-Sep-14,1.98,2.02,1.92,1.98,11907
10-Sep-14,2.01,2.03,1.98,2.03,3362
9-Sep-14,2.06,2.06,1.94,2.04,2722
8-Sep-14,2.06,2.07,2.02,2.06,1807
5-Sep-14,2.10,2.10,1.92,2.07,23915
4-Sep-14,2.02,2.10,2.00,2.10,33612
3-Sep-14,2.06,2.07,1.96,2.00,2030
2-Sep-14,2.08,2.08,1.94,1.99,6333
29-Aug-14,2.07,2.07,1.95,1.98,1956
28-Aug-14,2.07,2.08,1.98,1.98,1400
27-Aug-14,2.06,2.06,1.98,2.04,9114
26-Aug-14,2.07,2.07,1.99,2.02,3015
25-Aug-14,2.02,2.02,1.95,2.02,17038
22-Aug-14,2.05,2.09,2.05,2.05,4655
21-Aug-14,2.01,2.08,2.00,2.06,11248
20-Aug-14,1.97,2.17,1.93,2.03,11720
19-Aug-14,2.02,2.08,2.00,2.00,4241
18-Aug-14,2.05,2.05,2.03,2.03,4300
15-Aug-14,2.14,2.17,2.05,2.06,5308
14-Aug-14,2.13,2.13,2.08,2.12,3222
13-Aug-14,2.09,2.26,2.01,2.13,41880
12-Aug-14,2.14,2.15,2.10,2.10,8810
11-Aug-14,2.03,2.16,2.03,2.08,11129
8-Aug-14,1.95,2.10,1.95,2.07,11098
7-Aug-14,1.97,2.47,1.85,1.95,25452
6-Aug-14,1.95,2.03,1.86,1.98,30144
5-Aug-14,2.00,2.03,1.90,1.94,42771
4-Aug-14,2.02,2.04,2.00,2.00,28776
1-Aug-14,2.04,2.07,1.95,1.97,28951
31-Jul-14,2.10,2.10,1.97,2.01,18220
