Date,Open,High,Low,Close,Volume
31-Dec-14,3.09,3.19,3.09,3.10,8290
30-Dec-14,3.12,3.19,3.04,3.08,22363
29-Dec-14,3.01,3.14,2.88,3.09,60125
26-Dec-14,3.04,3.10,3.00,3.05,37570
24-Dec-14,3.00,3.02,2.91,3.01,13572
23-Dec-14,2.93,3.04,2.93,3.00,30654
22-Dec-14,2.98,2.98,2.92,2.95,15315
19-Dec-14,2.89,2.98,2.85,2.98,42846
18-Dec-14,2.92,2.94,2.89,2.89,133828
17-Dec-14,2.88,2.94,2.86,2.86,10432
16-Dec-14,2.92,2.95,2.86,2.89,38790
15-Dec-14,2.85,2.92,2.78,2.92,26686
12-Dec-14,2.80,2.92,2.80,2.82,12589
11-Dec-14,2.76,2.89,2.76,2.80,43809
10-Dec-14,2.90,2.95,2.76,2.76,34710
9-Dec-14,2.90,2.93,2.80,2.88,11940
8-Dec-14,2.95,2.95,2.83,2.88,24031
5-Dec-14,2.89,3.00,2.89,2.98,49687
4-Dec-14,2.88,2.90,2.82,2.89,24239
3-Dec-14,2.73,2.85,2.72,2.85,29828
2-Dec-14,2.72,2.80,2.72,2.74,12312
1-Dec-14,2.82,2.82,2.69,2.70,184278
28-Nov-14,2.81,2.93,2.78,2.80,23194
26-Nov-14,2.80,2.85,2.75,2.81,191101
25-Nov-14,2.86,2.86,2.76,2.78,27927
24-Nov-14,2.82,2.93,2.75,2.83,91917
21-Nov-14,3.01,3.04,2.81,2.86,31600
20-Nov-14,2.95,3.02,2.90,2.98,17950
19-Nov-14,3.09,3.27,2.94,2.98,65518
18-Nov-14,3.22,3.26,3.08,3.09,51273
17-Nov-14,3.33,3.34,3.18,3.21,34578
14-Nov-14,3.42,3.50,3.30,3.37,56554
13-Nov-14,3.44,3.50,3.38,3.41,44762
12-Nov-14,3.40,3.49,3.40,3.42,45486
11-Nov-14,3.43,3.49,3.36,3.40,30885
10-Nov-14,3.53,3.60,3.31,3.40,124178
7-Nov-14,3.50,3.53,3.40,3.50,16686
6-Nov-14,3.52,3.59,3.39,3.51,48327
5-Nov-14,3.37,3.46,3.31,3.32,23105
4-Nov-14,3.31,3.40,3.31,3.34,29052
3-Nov-14,3.45,3.46,3.33,3.34,44960
31-Oct-14,3.49,3.49,3.36,3.41,38836
30-Oct-14,3.49,3.49,3.36,3.40,24048
29-Oct-14,3.45,3.45,3.40,3.41,16524
28-Oct-14,3.41,3.50,3.34,3.42,37500
27-Oct-14,3.34,3.44,3.32,3.43,32183
24-Oct-14,3.34,3.45,3.32,3.34,20459
23-Oct-14,3.34,3.49,3.16,3.33,429210
22-Oct-14,3.52,3.56,3.15,3.29,69483
21-Oct-14,3.38,3.70,3.33,3.49,59924
20-Oct-14,3.45,3.46,3.27,3.30,72355
17-Oct-14,3.45,3.70,3.42,3.43,39852
16-Oct-14,3.30,3.52,3.30,3.40,36864
15-Oct-14,3.55,3.70,3.35,3.35,197465
14-Oct-14,3.75,3.76,3.56,3.61,52180
13-Oct-14,3.80,3.83,3.72,3.77,14606
10-Oct-14,3.73,3.77,3.69,3.75,7909
9-Oct-14,3.76,3.77,3.75,3.75,8096
8-Oct-14,3.75,3.84,3.73,3.82,4349
7-Oct-14,3.70,3.76,3.65,3.75,32028
6-Oct-14,3.79,3.84,3.79,3.82,8732
3-Oct-14,3.82,3.82,3.74,3.77,14076
2-Oct-14,3.79,3.79,3.72,3.75,7586
1-Oct-14,3.79,3.79,3.70,3.75,20914
30-Sep-14,3.75,3.81,3.74,3.78,20039
29-Sep-14,3.78,3.78,3.76,3.77,8812
