Date,Open,High,Low,Close,Volume
31-Dec-14,12.17,12.52,11.95,11.95,57589
30-Dec-14,12.20,12.40,12.07,12.08,40099
29-Dec-14,12.27,12.47,12.16,12.27,39153
26-Dec-14,12.16,12.50,12.16,12.31,58688
24-Dec-14,12.27,12.33,12.13,12.20,25209
23-Dec-14,12.25,12.41,12.07,12.29,45568
22-Dec-14,12.15,12.54,12.03,12.21,100213
19-Dec-14,12.45,12.45,12.15,12.18,130141
18-Dec-14,12.56,12.56,12.28,12.49,47692
17-Dec-14,12.03,12.42,12.00,12.37,86484
16-Dec-14,11.93,12.39,11.93,12.00,57370
15-Dec-14,12.06,12.24,11.79,11.90,51192
12-Dec-14,12.07,12.56,11.93,12.06,50617
11-Dec-14,12.31,12.64,12.21,12.25,43056
10-Dec-14,12.78,12.78,12.18,12.20,38212
9-Dec-14,12.11,12.80,11.97,12.79,80422
8-Dec-14,12.43,12.53,12.09,12.16,35979
5-Dec-14,12.52,12.75,12.31,12.51,67023
4-Dec-14,12.63,12.67,12.35,12.54,29398
3-Dec-14,12.22,12.68,12.17,12.63,31846
2-Dec-14,11.93,12.22,11.93,12.21,48111
1-Dec-14,12.84,12.92,11.96,11.97,84337
28-Nov-14,13.16,13.16,12.81,12.82,35712
26-Nov-14,12.89,13.25,12.89,13.10,77835
25-Nov-14,12.80,12.94,12.79,12.93,66307
24-Nov-14,12.79,12.88,12.73,12.80,32231
21-Nov-14,13.08,13.11,12.65,12.77,41468
20-Nov-14,12.70,12.94,12.70,12.85,37593
19-Nov-14,13.09,13.16,12.72,12.79,31580
18-Nov-14,13.01,13.20,13.01,13.15,29564
17-Nov-14,13.18,13.18,13.01,13.01,20632
14-Nov-14,13.22,13.25,13.08,13.16,37807
13-Nov-14,13.17,13.45,13.15,13.20,27901
12-Nov-14,13.28,13.74,13.07,13.20,63543
11-Nov-14,13.20,13.25,13.10,13.20,60859
10-Nov-14,13.29,13.29,13.01,13.24,20971
7-Nov-14,13.43,13.70,13.26,13.31,59400
6-Nov-14,13.80,13.94,13.37,13.49,146390
5-Nov-14,13.89,14.00,13.80,14.00,51387
4-Nov-14,13.57,13.85,13.57,13.76,47100
3-Nov-14,13.57,13.85,13.57,13.69,68576
31-Oct-14,13.54,13.60,13.38,13.56,107207
30-Oct-14,12.94,13.52,12.78,13.33,80963
29-Oct-14,12.80,13.02,12.70,12.95,56056
28-Oct-14,12.29,12.75,12.29,12.75,54146
27-Oct-14,12.10,12.33,12.01,12.27,35089
24-Oct-14,12.31,12.33,12.15,12.19,35531
23-Oct-14,12.28,12.35,12.20,12.32,36747
22-Oct-14,12.48,12.51,12.13,12.14,21925
21-Oct-14,12.25,12.55,12.25,12.49,67295
20-Oct-14,12.06,12.27,12.02,12.23,43698
17-Oct-14,12.70,12.70,12.06,12.09,68328
16-Oct-14,12.39,12.75,12.29,12.55,41771
15-Oct-14,12.32,12.65,12.17,12.59,62872
14-Oct-14,12.15,12.50,12.09,12.44,56161
13-Oct-14,11.59,12.22,11.59,12.09,69648
10-Oct-14,11.62,11.95,11.51,11.55,48746
9-Oct-14,12.18,12.18,11.69,11.70,32658
8-Oct-14,11.56,12.29,11.52,12.20,57092
7-Oct-14,11.78,11.87,11.60,11.61,30613
6-Oct-14,12.10,12.10,11.87,11.88,34037
3-Oct-14,12.14,12.25,12.00,12.11,24170
2-Oct-14,12.11,12.15,11.91,11.99,22334
1-Oct-14,12.01,12.11,11.79,11.89,49616
30-Sep-14,12.14,12.31,11.98,11.98,52343
29-Sep-14,12.31,12.36,12.12,12.19,28424
26-Sep-14,12.16,12.53,12.15,12.46,28752
