Date,Open,High,Low,Close,Volume
31-Dec-14,13.40,13.75,13.11,13.29,99802
30-Dec-14,13.73,13.73,13.18,13.41,119416
29-Dec-14,14.23,14.34,13.61,13.72,77084
26-Dec-14,13.38,15.00,13.36,14.35,109004
24-Dec-14,13.27,13.66,13.13,13.33,51702
23-Dec-14,12.80,13.50,12.80,13.27,75563
22-Dec-14,13.40,13.88,12.72,12.75,109328
19-Dec-14,13.27,13.80,12.92,13.38,81496
18-Dec-14,13.31,13.70,12.79,13.31,99126
17-Dec-14,11.78,13.09,11.46,12.89,103450
16-Dec-14,10.90,12.02,10.02,11.82,227235
15-Dec-14,12.47,12.57,12.10,12.10,107603
12-Dec-14,12.00,12.92,11.70,12.54,146435
11-Dec-14,13.21,13.70,12.20,12.34,94161
10-Dec-14,13.00,14.00,12.82,13.00,92584
9-Dec-14,12.47,13.84,12.32,13.83,107009
8-Dec-14,13.62,13.72,12.60,12.72,123962
5-Dec-14,13.70,13.85,13.39,13.48,104995
4-Dec-14,13.80,13.93,13.40,13.66,78535
3-Dec-14,12.97,13.66,12.75,13.54,212795
2-Dec-14,12.83,13.99,12.69,13.02,180915
1-Dec-14,14.01,14.20,12.63,12.80,220969
28-Nov-14,15.12,15.12,14.01,14.06,103154
26-Nov-14,15.85,15.90,15.13,15.39,142309
25-Nov-14,15.76,15.91,15.45,15.61,84327
24-Nov-14,16.11,16.40,15.55,15.67,132183
21-Nov-14,16.01,16.83,15.71,16.14,214971
20-Nov-14,15.32,15.69,15.21,15.62,55778
19-Nov-14,16.07,16.07,15.30,15.65,100320
18-Nov-14,14.88,15.50,14.69,15.31,84247
17-Nov-14,14.88,15.32,14.52,14.58,130393
14-Nov-14,15.06,15.06,14.29,14.80,215748
13-Nov-14,15.18,15.18,14.34,15.17,180749
12-Nov-14,14.88,15.84,14.57,15.23,187700
11-Nov-14,16.53,16.53,14.77,15.03,248944
10-Nov-14,17.75,17.75,15.29,15.96,507275
7-Nov-14,17.80,18.30,17.75,18.14,127956
6-Nov-14,18.15,18.61,17.75,17.91,167020
5-Nov-14,18.78,19.00,18.02,18.16,133258
4-Nov-14,18.50,18.60,17.98,18.45,92573
3-Nov-14,18.39,18.99,18.04,18.47,172016
31-Oct-14,17.20,17.79,17.10,17.70,137301
30-Oct-14,16.70,17.44,16.51,16.92,61584
29-Oct-14,17.06,17.12,16.41,16.93,72232
28-Oct-14,15.50,17.09,15.33,16.95,120224
27-Oct-14,15.40,15.52,14.89,15.04,97723
24-Oct-14,15.50,15.70,15.15,15.37,46291
23-Oct-14,15.32,15.78,15.26,15.50,112074
22-Oct-14,15.79,16.20,15.01,15.13,81633
21-Oct-14,15.00,16.12,14.85,15.87,111478
20-Oct-14,15.64,16.26,14.83,14.89,120063
17-Oct-14,16.69,17.10,15.26,15.59,129489
16-Oct-14,14.22,16.29,13.90,16.28,149404
15-Oct-14,14.20,14.70,13.83,14.43,124679
14-Oct-14,14.89,15.36,14.15,14.37,167492
