Date,Open,High,Low,Close,Volume
31-Dec-14,61.73,61.95,60.66,60.79,486150
30-Dec-14,61.62,62.23,61.51,61.52,521255
29-Dec-14,62.20,62.48,61.86,61.91,880721
26-Dec-14,62.17,62.72,62.17,62.37,246114
24-Dec-14,61.47,62.54,61.19,61.82,489830
23-Dec-14,61.50,62.00,61.14,61.19,1381611
22-Dec-14,61.27,61.73,61.22,61.37,925909
19-Dec-14,61.55,61.66,61.20,61.49,966730
18-Dec-14,61.30,61.93,60.96,61.42,847079
17-Dec-14,60.06,60.96,59.93,60.70,737330
16-Dec-14,60.99,61.46,59.91,60.07,826670
15-Dec-14,62.74,63.64,61.20,61.26,540597
12-Dec-14,62.35,62.92,62.02,62.23,520824
11-Dec-14,63.22,64.10,62.69,62.87,417772
10-Dec-14,64.41,64.63,62.67,62.84,640737
9-Dec-14,63.43,64.68,63.06,64.63,479328
8-Dec-14,65.78,66.00,63.48,64.28,758582
5-Dec-14,65.43,66.34,65.41,65.97,566937
4-Dec-14,65.09,65.80,64.94,65.44,463579
3-Dec-14,64.48,65.08,64.33,64.96,669203
2-Dec-14,64.48,64.66,64.07,64.58,895228
1-Dec-14,65.29,65.40,64.11,64.30,637683
28-Nov-14,65.64,65.69,65.04,65.28,323321
26-Nov-14,65.60,65.94,65.33,65.44,536029
25-Nov-14,66.05,66.09,65.53,65.73,492752
24-Nov-14,65.01,65.99,64.64,65.87,1376930
21-Nov-14,65.47,66.03,64.95,64.99,822941
20-Nov-14,63.82,65.19,63.82,65.08,531412
19-Nov-14,64.58,64.58,63.80,64.18,416089
18-Nov-14,64.80,64.89,64.09,64.56,599688
17-Nov-14,65.60,65.62,64.56,64.87,672224
14-Nov-14,65.04,65.72,64.83,65.56,427999
13-Nov-14,65.75,65.94,64.69,64.81,597539
12-Nov-14,65.26,65.91,64.88,65.42,664060
11-Nov-14,65.80,65.86,65.36,65.75,425411
10-Nov-14,65.63,66.16,65.31,65.91,709941
7-Nov-14,65.75,66.72,65.65,65.70,948619
6-Nov-14,65.94,66.34,65.36,65.86,875353
5-Nov-14,67.82,67.94,65.10,65.81,2958636
4-Nov-14,67.33,68.02,67.04,67.76,973308
3-Nov-14,67.89,68.05,67.42,67.88,971358
