Date,Open,High,Low,Close,Volume
31-Dec-14,9.73,9.73,9.63,9.68,42026
30-Dec-14,9.75,9.75,9.63,9.68,33140
29-Dec-14,9.75,9.85,9.70,9.72,375720
26-Dec-14,9.72,9.86,9.72,9.75,9539
24-Dec-14,9.61,9.70,9.61,9.70,13801
23-Dec-14,9.62,9.72,9.58,9.68,51686
22-Dec-14,9.62,9.64,9.60,9.64,32738
19-Dec-14,9.62,9.62,9.53,9.59,41070
18-Dec-14,9.74,9.84,9.74,9.82,39800
17-Dec-14,9.50,9.64,9.49,9.58,48520
16-Dec-14,9.54,9.70,9.50,9.62,31291
15-Dec-14,9.76,9.80,9.61,9.63,46973
12-Dec-14,9.79,9.89,9.72,9.72,200652
11-Dec-14,10.00,10.04,9.88,9.88,12806
10-Dec-14,9.95,10.06,9.84,9.88,33241
9-Dec-14,9.74,9.90,9.70,9.87,36410
8-Dec-14,10.00,10.05,9.90,9.90,10379
5-Dec-14,10.11,10.13,10.05,10.07,32404
4-Dec-14,9.97,10.09,9.97,10.04,180805
3-Dec-14,9.97,10.09,9.97,10.06,35374
2-Dec-14,10.03,10.03,9.98,10.01,15133
1-Dec-14,10.00,10.05,9.91,9.92,22225
28-Nov-14,10.43,10.43,10.22,10.23,13671
26-Nov-14,10.48,10.55,10.48,10.54,18405
25-Nov-14,10.47,10.48,10.40,10.43,7879
24-Nov-14,10.36,10.49,10.36,10.40,8933
21-Nov-14,10.37,10.39,10.32,10.35,17935
20-Nov-14,10.21,10.24,10.18,10.21,28632
19-Nov-14,10.16,10.19,10.12,10.15,10273
18-Nov-14,10.12,10.18,10.09,10.13,14605
17-Nov-14,10.10,10.10,10.01,10.06,8283
14-Nov-14,10.07,10.09,10.02,10.08,42973
13-Nov-14,10.07,10.10,10.00,10.04,49846
12-Nov-14,10.10,10.10,10.05,10.06,10307
11-Nov-14,10.14,10.17,10.13,10.15,10775
10-Nov-14,10.21,10.21,10.12,10.16,18940
7-Nov-14,10.10,10.21,10.10,10.21,9273
6-Nov-14,10.15,10.19,10.07,10.11,25732
5-Nov-14,10.32,10.32,10.18,10.21,7311
4-Nov-14,10.40,10.40,10.27,10.31,5102
3-Nov-14,10.45,10.46,10.40,10.43,30691
31-Oct-14,10.40,10.46,10.36,10.45,57585
30-Oct-14,10.21,10.29,10.12,10.28,10869
29-Oct-14,10.26,10.30,10.12,10.17,28051
28-Oct-14,10.07,10.26,10.07,10.24,442634
27-Oct-14,10.02,10.02,9.92,9.93,18118
24-Oct-14,10.10,10.19,10.10,10.18,7648
23-Oct-14,10.20,10.20,10.09,10.14,35789
22-Oct-14,10.33,10.33,10.09,10.09,7123
21-Oct-14,10.10,10.22,10.10,10.20,42159
20-Oct-14,9.75,10.03,9.75,10.01,127756
17-Oct-14,9.92,10.05,9.86,9.95,27234
16-Oct-14,9.63,9.81,9.58,9.74,16163
15-Oct-14,9.55,9.80,9.42,9.77,60591
14-Oct-14,9.85,9.85,9.70,9.72,26508
13-Oct-14,9.90,9.95,9.74,9.74,14384
10-Oct-14,10.02,10.02,9.79,9.84,36166
9-Oct-14,10.27,10.35,10.01,10.04,16343
8-Oct-14,10.23,10.42,10.08,10.37,30035
7-Oct-14,10.27,10.40,10.26,10.26,7793
6-Oct-14,10.72,10.75,10.27,10.34,78800
3-Oct-14,10.55,10.67,10.55,10.64,26907
2-Oct-14,10.63,10.63,10.30,10.51,56348
1-Oct-14,10.80,10.80,10.55,10.59,74117
30-Sep-14,10.94,10.94,10.80,10.87,84003
29-Sep-14,10.93,10.96,10.90,10.94,12667
26-Sep-14,11.01,11.16,11.01,11.14,32704
25-Sep-14,11.21,11.21,11.00,11.03,67729
24-Sep-14,11.10,11.25,11.10,11.25,12255
23-Sep-14,11.11,11.22,11.10,11.11,29485
22-Sep-14,11.26,11.34,11.14,11.18,9979
19-Sep-14,11.38,11.39,11.24,11.29,13001
18-Sep-14,11.49,11.49,11.40,11.41,13899
17-Sep-14,11.42,11.44,11.37,11.42,9160
16-Sep-14,11.35,11.40,11.26,11.39,10720
15-Sep-14,11.59,11.59,11.36,11.40,19093
12-Sep-14,11.69,11.69,11.62,11.65,8742
11-Sep-14,11.71,11.71,11.62,11.69,14840
10-Sep-14,11.75,11.75,11.62,11.70,14855
9-Sep-14,11.91,11.91,11.59,11.61,48073
