Date,Open,High,Low,Close,Volume
31-Dec-14,34.12,34.20,33.72,33.79,710342
30-Dec-14,34.26,34.38,33.88,33.93,830552
29-Dec-14,34.17,34.86,34.10,34.23,1544295
26-Dec-14,33.98,34.12,33.73,33.95,968712
24-Dec-14,33.72,34.15,33.72,33.86,920254
23-Dec-14,33.94,34.32,33.64,33.64,1810401
22-Dec-14,33.43,34.02,32.88,33.90,2915575
19-Dec-14,35.84,35.84,32.78,33.31,4003850
18-Dec-14,36.54,36.54,35.51,35.83,1415173
17-Dec-14,35.82,36.11,35.32,36.05,1572861
16-Dec-14,36.75,36.75,35.64,35.84,1509259
15-Dec-14,39.00,39.26,36.65,36.86,2129500
12-Dec-14,38.94,39.66,38.91,39.25,505271
11-Dec-14,39.69,40.43,39.14,39.28,366140
10-Dec-14,39.77,39.86,39.11,39.41,308660
9-Dec-14,39.15,40.22,39.10,39.88,794889
8-Dec-14,39.81,40.17,39.45,39.60,423257
5-Dec-14,39.45,40.19,39.41,40.07,413807
4-Dec-14,40.14,40.23,39.13,39.44,493496
3-Dec-14,39.85,40.51,39.85,40.15,430419
2-Dec-14,39.68,40.10,39.51,39.89,305338
1-Dec-14,40.56,40.60,39.48,39.55,469397
28-Nov-14,40.65,41.03,40.34,40.41,209347
26-Nov-14,40.70,40.75,40.20,40.51,279850
25-Nov-14,40.50,40.61,40.22,40.56,419975
24-Nov-14,39.94,40.39,39.90,40.37,282383
21-Nov-14,40.26,40.50,39.70,39.87,658601
20-Nov-14,39.55,40.06,39.45,39.79,1301405
19-Nov-14,38.51,39.99,38.51,39.71,1773467
18-Nov-14,38.03,38.83,37.87,38.44,964228
17-Nov-14,37.94,38.34,37.82,37.98,587996
14-Nov-14,37.95,38.40,37.69,37.95,1640699
13-Nov-14,38.37,38.41,37.83,37.90,1282910
12-Nov-14,38.52,38.70,38.34,38.35,1254116
11-Nov-14,39.23,39.36,38.46,38.51,1475259
10-Nov-14,39.60,39.89,38.75,38.98,1063845
7-Nov-14,39.43,39.83,39.13,39.46,824610
6-Nov-14,39.66,40.00,39.45,39.52,788034
5-Nov-14,40.10,40.13,39.70,39.74,415030
4-Nov-14,39.88,39.96,39.70,39.81,407110
3-Nov-14,40.00,40.18,39.67,39.88,555113
31-Oct-14,40.73,40.73,39.88,40.01,969660
30-Oct-14,39.88,40.79,39.67,40.00,835107
29-Oct-14,39.50,40.06,39.23,39.99,841311
28-Oct-14,39.29,40.53,38.54,39.44,1604508
27-Oct-14,37.39,37.89,36.84,37.84,634675
24-Oct-14,38.03,38.30,37.53,37.59,914174
23-Oct-14,38.00,38.20,37.68,38.02,680142
22-Oct-14,38.15,38.58,37.53,37.56,504711
21-Oct-14,37.31,38.22,37.31,37.95,522194
20-Oct-14,36.35,37.27,36.33,37.23,550771
17-Oct-14,36.99,37.04,36.15,36.38,559465
16-Oct-14,35.89,36.67,35.83,36.51,638472
15-Oct-14,36.00,36.50,35.20,36.34,1124176
14-Oct-14,36.00,36.55,36.00,36.41,569959
13-Oct-14,36.04,36.57,35.70,35.78,321175
10-Oct-14,36.11,36.64,36.06,36.13,379051
9-Oct-14,37.00,37.09,36.00,36.26,454835
8-Oct-14,36.55,37.17,36.20,37.11,404293
7-Oct-14,37.09,37.31,36.56,36.57,825585
6-Oct-14,37.09,37.48,36.98,37.21,751694
3-Oct-14,36.54,37.68,36.29,37.03,1090352
2-Oct-14,36.31,36.62,36.04,36.27,1156623
1-Oct-14,36.92,37.08,35.97,36.31,941336
30-Sep-14,37.84,37.84,36.93,36.94,778694
29-Sep-14,37.69,38.07,37.56,37.84,788380
26-Sep-14,37.90,38.17,37.64,37.95,296683
25-Sep-14,38.16,38.39,37.58,37.78,543060
24-Sep-14,38.22,38.36,37.91,38.27,311942
23-Sep-14,38.04,38.49,37.96,38.06,725375
22-Sep-14,38.59,38.66,37.85,38.22,510460
19-Sep-14,39.91,39.92,38.59,38.72,1023740
18-Sep-14,40.37,40.52,39.81,39.94,655718
17-Sep-14,40.02,40.36,39.80,40.18,681637
16-Sep-14,39.78,40.23,39.60,39.97,402686
15-Sep-14,40.46,40.72,39.71,39.97,604931
12-Sep-14,40.90,40.91,40.23,40.54,429190
11-Sep-14,40.81,40.99,40.43,40.90,344161
10-Sep-14,41.11,41.18,40.78,40.98,296592
9-Sep-14,41.20,41.28,40.57,41.07,235622
8-Sep-14,41.44,41.94,41.05,41.22,373889
5-Sep-14,41.27,41.45,40.50,41.41,627868
4-Sep-14,41.60,42.10,41.35,41.49,365586
3-Sep-14,42.04,42.09,41.45,41.56,329722
2-Sep-14,41.67,42.25,41.67,41.87,291947
29-Aug-14,41.50,41.83,41.08,41.63,213134
28-Aug-14,41.33,41.60,41.02,41.50,231262
27-Aug-14,41.64,41.84,41.18,41.62,268331
26-Aug-14,41.87,42.07,41.68,41.74,251860
25-Aug-14,41.60,42.15,41.57,41.81,332617
22-Aug-14,41.14,41.64,40.94,41.46,334086
21-Aug-14,41.23,41.30,40.52,41.07,421211
20-Aug-14,41.06,41.25,40.81,41.10,371915
19-Aug-14,41.10,41.55,41.00,41.10,495758
18-Aug-14,41.20,41.39,41.00,41.14,510034
15-Aug-14,41.54,41.54,40.52,40.93,288575
14-Aug-14,40.84,41.21,40.74,41.17,198508
13-Aug-14,41.76,41.85,40.43,40.89,652002
12-Aug-14,42.64,42.82,41.45,41.75,282013
11-Aug-14,42.54,43.14,42.28,42.70,417296
8-Aug-14,41.74,42.33,41.39,42.14,248529
7-Aug-14,42.07,42.40,41.32,41.68,318304
6-Aug-14,41.95,42.42,41.74,42.01,517793
5-Aug-14,41.74,42.21,41.59,41.99,309733
4-Aug-14,42.23,42.23,41.95,42.08,377294
1-Aug-14,42.30,42.60,41.92,42.02,376535
31-Jul-14,42.54,42.54,41.95,42.23,413441
30-Jul-14,42.75,42.96,42.00,42.83,480797
29-Jul-14,43.53,44.33,42.12,42.44,593196
28-Jul-14,42.56,42.90,41.95,42.71,536778
25-Jul-14,43.14,43.62,42.42,42.68,583734
24-Jul-14,42.67,43.38,42.60,42.66,443163
23-Jul-14,42.09,42.56,42.01,42.54,1043710
22-Jul-14,42.17,42.56,42.03,42.14,487875
21-Jul-14,42.25,42.46,41.89,42.03,274562
18-Jul-14,42.00,42.65,41.93,42.36,399941
17-Jul-14,41.88,42.33,41.73,42.02,333943
16-Jul-14,41.92,42.12,41.75,41.86,258603
15-Jul-14,41.94,42.09,41.55,41.78,282009
14-Jul-14,41.91,42.15,41.75,41.90,160813
11-Jul-14,41.84,41.96,41.35,41.68,179684
10-Jul-14,41.96,42.42,41.33,41.91,435239
9-Jul-14,42.35,42.76,42.11,42.57,502042
8-Jul-14,42.73,42.73,42.04,42.26,350663
7-Jul-14,43.05,43.18,41.92,42.71,404469
3-Jul-14,42.83,43.49,42.83,43.20,138649
2-Jul-14,43.04,43.04,42.38,42.79,268288
1-Jul-14,42.98,43.52,42.91,43.19,348885
30-Jun-14,42.61,43.05,42.15,42.94,619268
27-Jun-14,42.49,42.97,42.33,42.75,1111400
26-Jun-14,42.66,42.91,42.34,42.67,423263
25-Jun-14,42.01,42.71,42.01,42.71,464156
24-Jun-14,42.80,43.22,41.91,42.21,773713
23-Jun-14,43.58,43.74,42.89,42.99,659733
20-Jun-14,43.50,43.78,43.27,43.38,667816
19-Jun-14,43.97,43.98,43.05,43.29,305115
18-Jun-14,43.65,43.99,43.22,43.87,399392
17-Jun-14,42.91,43.97,42.61,43.64,768600
16-Jun-14,42.64,43.13,42.25,43.09,303517
13-Jun-14,42.95,43.06,42.64,42.75,355811
12-Jun-14,43.43,43.57,42.69,42.75,478876
11-Jun-14,43.74,43.91,43.50,43.64,500644
10-Jun-14,44.13,44.36,43.75,43.94,404700
9-Jun-14,44.24,44.81,44.00,44.22,552766
6-Jun-14,43.72,44.35,43.57,44.14,435108
5-Jun-14,42.99,44.02,42.87,43.54,550082
4-Jun-14,42.42,43.05,42.15,42.79,805155
3-Jun-14,42.27,42.79,42.13,42.54,363910
2-Jun-14,41.89,42.59,41.67,42.40,305522
30-May-14,42.27,42.47,41.88,41.94,635376
29-May-14,42.65,42.73,41.87,42.17,223369
28-May-14,42.80,42.82,42.04,42.30,331503
