Date,Open,High,Low,Close,Volume
31-Dec-14,14.50,14.56,14.03,14.56,805
30-Dec-14,14.12,14.95,14.12,14.50,3148
29-Dec-14,14.53,14.65,14.50,14.65,2823
26-Dec-14,14.66,15.00,14.66,14.66,1100
24-Dec-14,14.54,15.07,14.54,15.00,350
23-Dec-14,14.65,15.19,14.65,15.19,400
22-Dec-14,14.58,15.23,14.51,15.23,1050
18-Dec-14,15.00,15.48,15.00,15.48,546
17-Dec-14,15.50,15.50,15.50,15.50,200
16-Dec-14,15.35,15.43,15.12,15.43,2423
12-Dec-14,15.54,15.61,15.45,15.55,1328
11-Dec-14,15.99,15.99,15.99,15.99,201
9-Dec-14,15.60,15.94,15.35,15.60,2280
8-Dec-14,15.70,15.78,15.70,15.78,399
3-Dec-14,15.70,15.70,15.70,15.70,306
2-Dec-14,16.00,16.01,15.56,15.56,1000
26-Nov-14,16.00,16.01,16.00,16.00,1100
25-Nov-14,15.36,16.34,15.36,16.34,300
24-Nov-14,15.90,15.90,15.90,15.90,250
21-Nov-14,16.00,16.00,15.40,15.78,1281
20-Nov-14,15.42,16.08,15.35,15.80,1821
18-Nov-14,15.40,16.73,15.25,15.32,5853
17-Nov-14,15.25,16.78,15.25,16.11,1473
13-Nov-14,16.47,16.83,16.01,16.83,3270
11-Nov-14,16.89,16.89,16.89,16.89,100
10-Nov-14,15.80,16.60,15.80,15.90,550
7-Nov-14,15.71,16.00,15.60,15.60,1733
6-Nov-14,17.17,17.21,15.71,15.93,684
5-Nov-14,16.90,16.90,16.90,16.90,200
4-Nov-14,15.71,16.80,15.71,16.80,1768
3-Nov-14,15.62,16.86,15.62,16.19,2380
31-Oct-14,15.61,16.94,15.56,16.60,1000
29-Oct-14,15.96,16.74,15.75,16.00,2089
28-Oct-14,15.57,15.93,15.57,15.90,2710
27-Oct-14,15.67,15.87,15.57,15.87,840
24-Oct-14,15.97,15.97,15.59,15.97,756
23-Oct-14,15.97,15.97,15.97,15.97,106
22-Oct-14,15.57,15.91,15.57,15.79,775
21-Oct-14,15.97,15.99,15.57,15.97,2125
20-Oct-14,15.30,16.17,15.30,15.80,657
17-Oct-14,15.75,16.34,15.09,15.80,2152
16-Oct-14,15.11,16.35,15.11,15.80,850
15-Oct-14,15.63,16.56,14.30,14.80,1915
14-Oct-14,15.95,16.92,15.50,16.91,1552
13-Oct-14,16.19,17.63,15.56,15.56,10273
10-Oct-14,16.30,17.66,16.11,17.22,2922
9-Oct-14,16.79,17.78,16.12,16.79,6250
8-Oct-14,16.80,17.81,16.35,17.81,1090
7-Oct-14,16.95,16.95,16.95,16.95,300
6-Oct-14,16.81,17.50,16.11,17.23,3123
3-Oct-14,17.18,17.18,16.91,17.03,785
2-Oct-14,17.10,17.82,16.80,16.80,604
1-Oct-14,17.16,17.49,17.06,17.49,1552
30-Sep-14,17.41,18.15,17.40,18.15,935
29-Sep-14,17.76,17.85,17.76,17.76,575
25-Sep-14,17.06,17.76,17.06,17.76,602
24-Sep-14,17.40,17.76,17.40,17.76,400
23-Sep-14,18.10,18.10,17.20,17.60,1311
22-Sep-14,17.80,18.50,17.52,18.10,1689
19-Sep-14,17.61,18.39,17.50,18.23,1417
18-Sep-14,18.00,18.16,17.75,18.16,1383
17-Sep-14,17.86,18.00,17.57,18.00,1571
16-Sep-14,17.91,18.13,17.91,18.12,850
15-Sep-14,19.20,19.20,18.15,18.15,655
12-Sep-14,18.50,18.96,18.50,18.79,746
11-Sep-14,18.80,19.46,18.68,18.68,769
10-Sep-14,19.34,19.34,19.34,19.34,110
9-Sep-14,18.10,19.47,17.51,19.47,1129
8-Sep-14,19.21,19.21,17.50,18.20,5120
5-Sep-14,19.70,19.74,18.90,19.27,1903
4-Sep-14,18.75,19.94,18.60,19.94,3195
3-Sep-14,19.99,19.99,19.99,19.99,112
2-Sep-14,19.10,19.88,19.01,19.88,1000
29-Aug-14,18.60,19.81,18.60,19.81,5050
28-Aug-14,19.00,19.92,18.40,19.25,4050
27-Aug-14,18.40,19.35,18.40,19.35,1060
26-Aug-14,19.12,19.94,18.74,18.74,568
25-Aug-14,19.61,19.64,18.90,19.30,11687
22-Aug-14,19.33,19.91,18.80,19.62,2970
21-Aug-14,19.90,19.90,19.00,19.71,5897
20-Aug-14,19.78,19.78,18.78,19.20,5890
19-Aug-14,18.98,19.99,18.61,19.99,12493
18-Aug-14,19.23,20.00,18.62,19.30,8641
15-Aug-14,18.99,19.43,18.57,19.08,7365
14-Aug-14,18.47,19.97,18.39,19.23,4357
13-Aug-14,19.97,19.97,18.50,19.73,1820
12-Aug-14,19.53,19.91,18.57,19.50,4943
11-Aug-14,22.10,22.10,19.99,20.13,1000
8-Aug-14,19.92,19.95,19.02,19.67,2560
7-Aug-14,20.00,20.00,18.50,19.98,3981
6-Aug-14,20.00,21.30,20.00,21.18,1560
5-Aug-14,21.26,21.30,20.00,21.30,2379
4-Aug-14,22.15,22.15,20.38,21.30,8316
1-Aug-14,22.74,22.74,21.61,22.60,2901
31-Jul-14,23.12,23.12,23.12,23.12,286
30-Jul-14,22.95,23.01,22.00,22.33,3318
29-Jul-14,22.45,22.80,22.45,22.80,623
28-Jul-14,22.52,25.00,22.52,22.70,305
25-Jul-14,22.92,24.33,21.89,22.86,5462
24-Jul-14,23.02,25.55,22.05,23.20,7045
23-Jul-14,23.85,23.85,23.85,23.85,289
22-Jul-14,24.00,24.00,22.50,23.98,6748
21-Jul-14,24.00,24.00,23.71,23.98,849
18-Jul-14,24.94,24.94,23.67,23.94,6845
