Date,Open,High,Low,Close,Volume
31-Dec-14,6.01,6.26,6.01,6.10,1741249
30-Dec-14,6.20,6.34,6.02,6.02,1459955
29-Dec-14,5.98,6.33,5.97,6.26,2489906
26-Dec-14,5.90,6.03,5.81,5.93,1615071
24-Dec-14,5.80,5.90,5.60,5.90,1464049
23-Dec-14,6.00,6.06,5.34,5.77,4263645
22-Dec-14,6.25,6.30,5.72,5.92,5046134
19-Dec-14,5.97,6.82,5.36,6.11,16592698
18-Dec-14,10.78,11.00,10.63,10.85,1047525
17-Dec-14,9.83,10.74,9.81,10.72,1472488
16-Dec-14,9.37,9.98,9.17,9.83,1095343
15-Dec-14,10.00,10.02,9.36,9.40,940050
12-Dec-14,9.72,10.39,9.69,10.01,910209
11-Dec-14,9.89,10.61,9.85,10.01,1107133
10-Dec-14,10.19,10.19,9.57,9.89,992901
9-Dec-14,9.41,10.19,9.35,10.19,1099397
8-Dec-14,9.65,9.85,9.49,9.55,708057
5-Dec-14,9.49,9.73,9.43,9.66,850947
4-Dec-14,9.77,9.90,9.44,9.50,680068
3-Dec-14,9.81,10.02,9.61,9.79,957264
2-Dec-14,9.66,10.06,9.62,9.83,2169842
1-Dec-14,10.09,10.29,9.53,9.68,1044462
28-Nov-14,10.42,10.68,10.25,10.29,616745
26-Nov-14,9.87,10.38,9.80,10.35,1009378
25-Nov-14,10.09,10.15,9.79,9.84,776949
24-Nov-14,9.88,10.12,9.85,10.09,922933
21-Nov-14,9.83,10.02,9.70,9.84,702495
20-Nov-14,9.27,9.77,9.21,9.68,831941
19-Nov-14,9.62,9.65,9.31,9.31,696996
18-Nov-14,9.33,9.82,9.33,9.68,849974
17-Nov-14,9.50,9.70,9.12,9.25,924753
14-Nov-14,9.50,9.58,9.16,9.53,1126862
13-Nov-14,10.16,10.36,9.45,9.46,1675143
12-Nov-14,10.05,10.15,9.69,10.12,1507849
11-Nov-14,9.94,10.39,9.67,10.10,1811918
10-Nov-14,9.79,10.10,9.54,9.95,1367459
7-Nov-14,9.69,9.97,9.38,9.77,1263479
6-Nov-14,9.44,9.69,9.40,9.66,833114
5-Nov-14,9.31,9.46,9.11,9.39,963225
4-Nov-14,9.29,9.51,9.03,9.20,1085608
3-Nov-14,9.25,9.70,9.11,9.48,1198973
31-Oct-14,9.77,9.98,9.20,9.26,1702967
30-Oct-14,9.35,9.74,9.28,9.49,1247862
29-Oct-14,9.30,9.44,9.14,9.38,945822
28-Oct-14,9.01,9.52,8.87,9.31,1458206
27-Oct-14,8.69,8.95,8.37,8.93,1994513
24-Oct-14,8.95,9.66,8.70,8.75,1743370
23-Oct-14,9.12,9.39,9.00,9.22,1239781
22-Oct-14,8.91,9.40,8.79,9.00,1388203
21-Oct-14,9.56,9.71,8.57,8.84,1622590
20-Oct-14,8.49,9.70,8.41,9.46,2163388
17-Oct-14,8.58,8.68,7.70,8.30,11713565
16-Oct-14,8.64,8.75,8.23,8.38,2027881
15-Oct-14,8.50,8.80,8.30,8.76,1408043
14-Oct-14,8.98,9.13,8.60,8.67,1200786
13-Oct-14,8.91,9.15,8.56,8.87,843757
10-Oct-14,9.05,9.39,8.91,8.93,889851
9-Oct-14,9.73,9.76,9.12,9.21,808542
8-Oct-14,9.56,9.76,8.99,9.73,1067758
7-Oct-14,9.66,9.85,9.38,9.51,928607
6-Oct-14,10.52,10.65,9.66,9.67,1218002
3-Oct-14,10.86,10.94,10.50,10.51,752892
2-Oct-14,10.43,10.79,10.28,10.70,573865
1-Oct-14,10.63,10.81,10.31,10.45,831370
30-Sep-14,11.11,11.17,10.59,10.59,908268
29-Sep-14,10.64,11.24,10.64,11.17,1145268
26-Sep-14,10.87,10.94,10.67,10.78,631264
25-Sep-14,11.20,11.28,10.66,10.82,529837
24-Sep-14,10.76,11.05,10.65,11.04,716475
23-Sep-14,10.85,11.00,10.65,10.69,1318509
22-Sep-14,11.24,11.31,10.71,10.91,810437
19-Sep-14,11.43,11.73,11.20,11.35,1317699
18-Sep-14,11.39,11.48,11.17,11.34,384287
17-Sep-14,11.19,11.43,11.04,11.30,368683
16-Sep-14,11.06,11.23,10.86,11.14,450866
15-Sep-14,11.41,11.48,10.86,10.99,739833
12-Sep-14,11.70,11.75,11.30,11.41,532405
11-Sep-14,11.65,11.86,11.46,11.68,441557
10-Sep-14,11.32,11.75,11.27,11.72,862829
9-Sep-14,11.64,11.65,11.29,11.30,820053
8-Sep-14,11.29,11.63,11.27,11.62,544494
5-Sep-14,11.73,11.85,11.15,11.32,669628
4-Sep-14,12.00,12.10,11.73,11.75,783142
3-Sep-14,12.24,12.41,11.82,12.01,2032700
2-Sep-14,12.02,12.74,11.88,12.20,1302761
29-Aug-14,11.65,11.91,11.56,11.82,468396
28-Aug-14,11.82,12.28,11.63,11.66,739097
27-Aug-14,12.23,12.23,11.88,11.88,691515
26-Aug-14,11.94,12.23,11.88,12.18,563445
25-Aug-14,11.68,12.09,11.64,11.91,558540
22-Aug-14,11.49,11.64,11.28,11.52,479544
21-Aug-14,11.90,11.94,11.48,11.49,525900
20-Aug-14,11.70,12.04,11.60,11.89,506049
19-Aug-14,11.74,11.81,11.58,11.79,584947
18-Aug-14,11.70,11.78,11.52,11.73,752324
15-Aug-14,11.94,11.99,11.28,11.53,787396
14-Aug-14,11.50,11.84,11.38,11.84,658165
13-Aug-14,11.26,11.58,11.13,11.46,621404
12-Aug-14,11.35,11.40,11.16,11.20,732554
11-Aug-14,11.31,11.44,10.98,11.43,777350
8-Aug-14,11.09,11.35,10.94,11.25,561982
7-Aug-14,11.42,11.59,11.02,11.07,624583
6-Aug-14,10.90,11.59,10.90,11.37,777552
5-Aug-14,10.41,11.04,10.41,11.02,961191
4-Aug-14,10.54,10.84,10.49,10.62,941747
1-Aug-14,10.35,11.00,10.28,10.47,1064596
31-Jul-14,10.98,11.09,10.63,10.78,653554
30-Jul-14,11.12,11.38,11.02,11.11,529541
29-Jul-14,10.61,10.99,10.52,10.95,518764
28-Jul-14,10.62,10.78,10.31,10.53,628649
25-Jul-14,10.82,10.90,10.44,10.63,835301
24-Jul-14,11.36,11.36,10.77,10.89,1073952
23-Jul-14,11.44,11.69,11.01,11.38,818120
22-Jul-14,11.28,11.52,11.09,11.33,508246
21-Jul-14,11.65,11.74,11.12,11.19,976017
18-Jul-14,10.68,11.82,10.68,11.74,3820174
17-Jul-14,11.11,11.29,10.65,10.79,1252438
16-Jul-14,10.85,11.76,10.80,11.27,1418648
15-Jul-14,11.11,11.35,10.65,10.74,1215238
14-Jul-14,11.40,11.44,11.02,11.08,418910
11-Jul-14,10.91,11.26,10.87,11.23,496126
10-Jul-14,10.96,11.32,10.70,10.89,907378
9-Jul-14,11.29,11.36,10.87,11.23,428562
8-Jul-14,11.19,11.39,10.77,11.24,1207952
7-Jul-14,11.59,11.69,11.26,11.28,748878
3-Jul-14,11.86,11.97,11.58,11.60,447069
2-Jul-14,11.91,12.12,11.79,11.85,540701
1-Jul-14,11.90,12.17,11.58,11.95,792757
30-Jun-14,11.92,12.00,11.56,11.85,638678
27-Jun-14,11.70,11.96,11.52,11.91,1989099
26-Jun-14,12.01,12.02,11.56,11.79,778209
25-Jun-14,12.55,12.78,11.87,12.04,1372797
24-Jun-14,13.34,13.78,13.02,13.12,650285
23-Jun-14,13.30,13.54,13.08,13.24,484378
20-Jun-14,13.22,13.30,13.00,13.25,1098745
19-Jun-14,13.18,13.32,12.87,13.15,304896
18-Jun-14,13.09,13.24,12.85,13.15,407725
17-Jun-14,13.10,13.34,12.90,13.05,533051
