Date,Open,High,Low,Close,Volume
31-Dec-14,9.31,9.58,9.16,9.47,182313
30-Dec-14,9.20,9.41,9.06,9.32,124178
29-Dec-14,9.49,9.55,9.18,9.24,80323
26-Dec-14,9.50,9.62,9.30,9.52,95454
24-Dec-14,9.01,9.50,8.95,9.45,108790
23-Dec-14,9.13,9.31,8.93,8.98,107166
22-Dec-14,8.90,9.25,8.75,9.08,159830
19-Dec-14,8.97,9.03,8.74,8.91,337053
18-Dec-14,9.10,9.16,8.83,8.99,206627
17-Dec-14,8.69,9.07,8.67,9.02,180025
16-Dec-14,8.65,8.98,8.65,8.68,159951
15-Dec-14,8.97,9.06,8.56,8.71,171374
12-Dec-14,8.65,9.06,8.60,8.93,192569
11-Dec-14,8.88,9.13,8.72,8.81,178160
10-Dec-14,9.00,9.17,8.77,8.83,194726
9-Dec-14,8.55,9.14,8.39,9.03,199742
8-Dec-14,8.62,8.90,8.57,8.66,199960
5-Dec-14,8.33,8.80,8.33,8.62,252493
4-Dec-14,8.43,8.57,8.28,8.34,68077
3-Dec-14,8.31,8.51,8.26,8.43,122176
2-Dec-14,8.27,8.56,8.27,8.32,134064
1-Dec-14,8.62,8.62,8.25,8.27,119114
28-Nov-14,8.79,8.94,8.58,8.67,60957
26-Nov-14,8.67,8.81,8.58,8.80,106158
25-Nov-14,8.75,8.89,8.54,8.66,106265
24-Nov-14,8.77,8.88,8.69,8.72,133296
21-Nov-14,8.92,8.95,8.78,8.78,157157
20-Nov-14,8.59,8.76,8.52,8.76,196387
19-Nov-14,8.93,8.97,8.57,8.62,248552
18-Nov-14,9.10,9.35,8.96,8.97,233506
17-Nov-14,9.02,9.11,8.90,9.09,198183
14-Nov-14,8.70,9.28,8.70,9.19,272645
13-Nov-14,9.24,9.34,8.62,8.68,242876
12-Nov-14,9.14,9.31,9.00,9.24,343395
11-Nov-14,8.99,9.22,8.87,9.19,267737
10-Nov-14,9.05,9.15,8.80,8.97,195205
7-Nov-14,8.85,9.09,8.67,9.08,286928
6-Nov-14,8.52,8.88,8.44,8.85,268908
5-Nov-14,8.81,8.81,8.38,8.49,240238
4-Nov-14,8.73,8.82,8.57,8.71,269885
3-Nov-14,8.38,8.88,8.00,8.62,428417
31-Oct-14,7.97,8.78,7.97,8.42,445954
30-Oct-14,8.35,8.63,8.24,8.48,302175
29-Oct-14,8.32,8.46,8.08,8.36,230845
28-Oct-14,7.88,8.36,7.80,8.33,214778
27-Oct-14,7.67,7.87,7.62,7.80,185394
24-Oct-14,7.92,7.99,7.71,7.75,248090
23-Oct-14,7.63,8.02,7.49,7.88,278278
22-Oct-14,7.76,8.07,7.53,7.53,193497
21-Oct-14,7.86,8.04,7.50,7.77,206864
