Date,Open,High,Low,Close,Volume
31-Dec-14,47.74,48.50,47.74,47.90,77124
30-Dec-14,47.00,47.82,46.87,47.67,74621
29-Dec-14,46.80,47.12,46.54,47.09,76721
26-Dec-14,46.96,47.12,46.64,46.94,35671
24-Dec-14,47.45,47.60,46.75,46.94,26084
23-Dec-14,47.50,47.95,47.14,47.27,72129
22-Dec-14,46.04,47.68,45.81,47.43,89810
19-Dec-14,46.98,47.00,45.77,46.03,274980
18-Dec-14,47.35,47.49,46.76,47.08,88457
17-Dec-14,44.71,47.20,44.18,46.92,119506
16-Dec-14,43.56,44.54,43.26,44.42,101153
15-Dec-14,43.32,44.49,42.70,43.84,125148
12-Dec-14,42.67,44.07,42.54,43.11,107235
11-Dec-14,43.74,44.44,42.60,43.19,188720
10-Dec-14,45.37,46.23,43.23,43.34,108935
9-Dec-14,44.49,45.77,43.72,45.61,146880
8-Dec-14,46.04,47.23,44.66,45.10,129034
5-Dec-14,46.80,47.10,45.84,46.28,128758
4-Dec-14,46.19,47.10,45.37,46.68,177884
3-Dec-14,45.44,46.85,45.09,46.09,128433
2-Dec-14,44.74,45.81,43.75,45.57,104974
1-Dec-14,45.07,45.27,44.22,44.53,127721
28-Nov-14,44.99,45.76,44.70,45.23,56444
26-Nov-14,44.08,45.45,43.81,44.88,76789
25-Nov-14,45.27,45.43,43.55,43.95,141615
24-Nov-14,44.05,45.32,43.90,45.22,74369
21-Nov-14,44.96,44.96,43.48,44.00,112202
20-Nov-14,43.20,44.81,43.18,44.35,83871
19-Nov-14,45.41,45.41,43.12,43.46,120593
18-Nov-14,46.38,46.68,45.26,45.29,84434
17-Nov-14,47.72,48.10,46.12,46.19,88920
14-Nov-14,46.85,48.20,46.65,47.97,226868
13-Nov-14,47.90,48.39,46.67,46.95,80830
12-Nov-14,47.79,48.26,47.55,47.89,129716
11-Nov-14,48.17,48.90,47.12,48.00,174248
10-Nov-14,48.33,48.56,47.76,48.07,161466
7-Nov-14,49.07,49.07,48.02,48.25,184066
6-Nov-14,49.09,49.98,48.87,49.26,184272
5-Nov-14,53.91,53.93,48.93,49.19,296766
4-Nov-14,54.98,55.65,51.85,53.73,864069
3-Nov-14,48.47,48.80,47.35,47.70,236861
