Date,Open,High,Low,Close,Volume
31-Dec-14,61.84,63.91,61.64,61.74,1969583
30-Dec-14,63.65,63.87,61.34,61.73,1620265
29-Dec-14,63.27,64.78,62.25,63.14,2016164
26-Dec-14,61.20,63.98,61.00,63.65,2823472
24-Dec-14,56.31,61.50,56.15,59.49,2873385
23-Dec-14,61.73,62.14,55.65,57.61,6691613
22-Dec-14,64.23,64.97,61.10,62.88,4393586
19-Dec-14,63.05,67.12,60.85,65.09,10086936
18-Dec-14,58.66,60.04,57.95,59.55,2147533
17-Dec-14,55.18,57.64,54.50,57.48,2623190
16-Dec-14,55.55,57.10,53.64,54.94,4136662
15-Dec-14,63.84,63.99,56.67,56.93,4410587
12-Dec-14,61.48,64.91,60.86,62.32,3890648
11-Dec-14,62.70,65.13,61.17,61.87,5514019
10-Dec-14,57.58,61.64,57.50,60.85,4187299
9-Dec-14,55.72,58.98,55.25,57.99,2222481
8-Dec-14,53.99,58.10,53.90,56.99,3430005
5-Dec-14,52.24,53.11,52.10,52.76,898038
4-Dec-14,53.68,54.24,52.29,52.68,1112762
3-Dec-14,53.22,54.07,52.05,53.61,1346787
2-Dec-14,51.51,53.45,51.50,53.04,1364017
1-Dec-14,51.60,52.25,50.25,50.97,1239249
28-Nov-14,53.39,53.60,51.61,51.79,813490
26-Nov-14,51.49,52.77,51.31,52.75,754834
25-Nov-14,53.15,53.29,51.47,51.51,1346405
24-Nov-14,51.08,52.45,51.05,52.42,1225943
21-Nov-14,52.02,52.58,50.75,50.94,1531035
20-Nov-14,50.51,51.79,50.35,51.62,1190184
19-Nov-14,49.62,51.20,49.08,50.06,1534759
18-Nov-14,49.33,50.82,48.77,49.71,1525351
17-Nov-14,49.11,49.64,48.18,49.01,1533414
14-Nov-14,50.74,50.89,48.68,49.01,2757972
13-Nov-14,51.70,53.12,50.67,50.71,3450078
12-Nov-14,50.43,51.86,49.46,51.08,5604096
11-Nov-14,48.16,52.24,48.10,51.39,10214771
10-Nov-14,45.15,47.25,44.01,47.23,2274156
