Date,Open,High,Low,Close,Volume
31-Dec-14,12.78,12.90,12.71,12.90,7858
30-Dec-14,12.90,13.00,12.70,12.85,6390
29-Dec-14,12.80,13.00,12.61,12.85,12006
26-Dec-14,12.70,12.74,12.70,12.74,1245
24-Dec-14,12.72,12.74,12.50,12.64,3502
23-Dec-14,13.10,13.10,12.38,12.50,25440
22-Dec-14,10.85,12.98,10.85,12.34,77972
19-Dec-14,10.50,10.66,10.27,10.55,9049
18-Dec-14,10.22,10.44,10.18,10.42,10243
17-Dec-14,10.10,10.17,10.00,10.02,11763
16-Dec-14,10.05,10.20,9.95,9.95,8037
15-Dec-14,10.31,10.31,9.79,9.84,3949
12-Dec-14,10.05,10.25,10.02,10.05,6487
11-Dec-14,9.89,10.02,9.77,10.00,2080
10-Dec-14,9.88,10.00,9.75,9.75,13987
9-Dec-14,9.96,9.96,9.65,9.88,3965
8-Dec-14,9.35,9.65,9.34,9.65,17403
5-Dec-14,9.27,9.27,8.88,9.25,15371
4-Dec-14,9.10,9.27,8.97,9.26,865
3-Dec-14,8.95,9.05,8.95,9.05,9135
2-Dec-14,8.99,9.00,8.81,8.83,1250
1-Dec-14,8.80,8.99,8.79,8.94,12979
28-Nov-14,8.92,8.92,8.81,8.82,2570
26-Nov-14,8.96,9.00,8.60,8.81,17158
25-Nov-14,8.49,9.02,8.42,8.89,5560
24-Nov-14,8.49,8.54,8.40,8.40,722
21-Nov-14,8.63,8.63,8.34,8.55,14553
20-Nov-14,8.28,8.47,8.27,8.30,6452
19-Nov-14,8.37,8.37,8.19,8.24,8300
18-Nov-14,8.45,8.50,8.35,8.44,9906
17-Nov-14,8.02,8.52,8.02,8.52,36855
14-Nov-14,7.97,8.01,7.90,7.96,11612
13-Nov-14,7.58,7.90,7.50,7.90,7906
12-Nov-14,7.53,7.59,7.53,7.59,9443
11-Nov-14,7.40,7.54,7.40,7.51,4349
10-Nov-14,7.53,7.53,7.26,7.28,12300
7-Nov-14,7.37,7.46,7.35,7.40,5204
6-Nov-14,7.48,7.52,7.35,7.52,2598
5-Nov-14,7.29,7.50,7.25,7.49,8620
4-Nov-14,7.48,7.48,7.47,7.47,1402
3-Nov-14,7.54,7.54,7.26,7.26,914
31-Oct-14,7.35,7.40,7.19,7.27,9258
30-Oct-14,7.40,7.44,7.03,7.11,52515
29-Oct-14,7.12,7.41,7.02,7.41,3628
28-Oct-14,7.20,7.49,7.03,7.34,8694
27-Oct-14,7.10,7.48,7.00,7.48,22647
24-Oct-14,7.35,7.35,7.21,7.21,1180
23-Oct-14,7.20,7.53,7.05,7.30,5021
22-Oct-14,7.23,7.52,7.16,7.20,15870
21-Oct-14,7.06,7.55,7.00,7.24,70235
20-Oct-14,7.01,7.22,7.00,7.18,1610
17-Oct-14,7.04,7.23,7.02,7.23,11533
16-Oct-14,6.95,7.05,6.95,7.02,31303
15-Oct-14,7.10,7.17,6.92,7.00,13500
14-Oct-14,7.20,7.29,6.90,7.29,10458
13-Oct-14,7.25,7.49,7.25,7.25,10900
10-Oct-14,7.51,7.51,7.13,7.20,11143
9-Oct-14,7.97,7.97,7.13,7.25,2402
8-Oct-14,7.13,7.13,7.13,7.13,217
7-Oct-14,7.23,7.39,7.12,7.12,5405
6-Oct-14,7.20,7.39,7.10,7.31,13745
3-Oct-14,7.22,7.22,7.00,7.20,3262
2-Oct-14,7.05,7.17,6.91,7.17,6835
1-Oct-14,7.08,7.10,6.87,7.04,10632
30-Sep-14,6.99,7.27,6.85,7.01,10887
29-Sep-14,6.78,7.12,6.70,7.10,37857
26-Sep-14,6.96,7.25,6.96,7.14,5390
25-Sep-14,6.87,7.22,6.75,6.94,81068
24-Sep-14,7.16,7.16,6.86,7.12,1726
23-Sep-14,6.88,7.13,6.75,6.95,4541
22-Sep-14,6.81,7.20,6.77,7.07,14682
19-Sep-14,7.16,7.30,6.65,6.75,50658
18-Sep-14,7.15,7.53,7.15,7.16,34361
17-Sep-14,7.20,7.54,7.18,7.32,16589
16-Sep-14,7.24,7.43,7.15,7.18,14484
15-Sep-14,7.42,7.58,7.25,7.37,26737
12-Sep-14,7.82,8.00,7.25,7.66,27812
11-Sep-14,7.47,8.00,7.45,7.80,91273
10-Sep-14,7.72,7.82,7.00,7.65,32736
9-Sep-14,8.10,8.14,7.66,7.66,19141
8-Sep-14,7.70,7.96,7.70,7.91,17107
