Date,Open,High,Low,Close,Volume
31-Dec-14,32.05,32.34,31.59,31.65,114479
30-Dec-14,32.29,32.65,31.98,32.04,251760
29-Dec-14,31.45,32.64,31.45,32.46,100993
26-Dec-14,31.45,31.90,31.31,31.41,161608
24-Dec-14,31.26,31.52,31.10,31.34,36467
23-Dec-14,31.24,31.80,30.79,31.24,113376
22-Dec-14,30.96,31.23,30.86,31.00,106341
19-Dec-14,30.99,31.11,30.72,30.99,310736
18-Dec-14,31.24,31.24,30.70,31.03,182466
17-Dec-14,30.15,31.08,30.13,30.80,158426
16-Dec-14,30.39,30.86,30.05,30.14,166451
15-Dec-14,30.62,31.17,30.34,30.45,121214
12-Dec-14,30.52,30.83,30.41,30.56,76393
11-Dec-14,30.53,31.24,30.51,30.85,234304
10-Dec-14,30.19,30.51,30.19,30.45,274820
9-Dec-14,30.35,30.67,29.93,30.24,436754
8-Dec-14,31.21,31.46,30.54,30.67,135365
5-Dec-14,31.25,31.63,31.20,31.30,178395
4-Dec-14,31.34,31.51,31.15,31.25,124891
3-Dec-14,31.41,31.43,31.12,31.29,449526
2-Dec-14,31.24,31.61,31.10,31.36,128511
1-Dec-14,31.25,31.86,31.23,31.24,191904
28-Nov-14,31.56,32.04,31.20,31.28,297769
26-Nov-14,31.79,31.79,31.45,31.49,101553
25-Nov-14,31.80,32.02,31.62,31.74,121530
24-Nov-14,31.98,32.12,31.74,31.80,181732
21-Nov-14,32.57,32.89,31.81,31.86,66953
20-Nov-14,31.79,32.23,31.76,32.14,104697
19-Nov-14,32.32,32.41,31.82,31.91,128700
18-Nov-14,32.02,32.49,31.66,32.40,85415
17-Nov-14,32.25,32.30,31.92,31.95,96127
14-Nov-14,32.50,32.71,32.24,32.30,78270
13-Nov-14,32.87,32.87,32.35,32.48,68596
12-Nov-14,32.33,32.92,32.33,32.86,79969
11-Nov-14,32.54,32.66,32.31,32.49,81164
10-Nov-14,32.38,32.67,32.22,32.51,70676
7-Nov-14,32.22,32.65,31.95,32.40,95572
6-Nov-14,31.78,32.33,31.75,32.27,101412
5-Nov-14,31.76,31.94,31.43,31.71,123350
4-Nov-14,31.16,31.58,31.05,31.50,166955
3-Nov-14,31.42,31.55,31.09,31.27,160616
31-Oct-14,31.91,31.99,31.24,31.33,247363
30-Oct-14,30.95,31.50,30.57,31.40,223826
29-Oct-14,31.05,31.22,30.74,31.04,164372
28-Oct-14,30.24,31.15,30.23,31.10,121991
27-Oct-14,29.96,30.30,29.70,30.18,84976
24-Oct-14,30.02,30.20,29.82,30.13,91656
23-Oct-14,30.02,30.19,29.59,29.98,151092
22-Oct-14,29.89,30.05,29.64,29.68,144911
21-Oct-14,29.80,30.09,29.50,29.87,129830
20-Oct-14,29.15,29.71,29.14,29.68,157303
17-Oct-14,29.89,29.89,29.25,29.27,154705
16-Oct-14,28.88,29.86,28.09,29.47,407932
15-Oct-14,28.45,29.62,28.21,29.35,228102
14-Oct-14,28.66,29.18,28.66,28.91,222263
13-Oct-14,28.72,29.23,28.31,28.42,171105
10-Oct-14,28.67,29.21,28.64,28.71,211740
9-Oct-14,29.70,29.86,28.77,28.86,215089
8-Oct-14,30.16,30.56,29.68,29.83,313046
7-Oct-14,32.00,32.71,29.82,30.13,390714
6-Oct-14,32.04,32.43,31.86,31.93,155666
3-Oct-14,32.59,32.71,32.02,32.07,124903
2-Oct-14,31.44,32.33,31.44,32.27,128035
1-Oct-14,31.57,31.58,31.03,31.41,236970
30-Sep-14,31.87,31.96,31.42,31.64,228769
29-Sep-14,31.37,32.06,31.36,31.89,105056
26-Sep-14,31.77,31.89,31.53,31.78,95654
25-Sep-14,31.90,32.02,31.61,31.75,120537
24-Sep-14,31.77,32.16,31.68,32.04,100971
23-Sep-14,31.88,31.92,31.56,31.66,116820
22-Sep-14,32.37,32.37,31.62,31.92,126452
19-Sep-14,33.14,33.14,32.20,32.50,158065
18-Sep-14,33.05,33.47,32.80,33.06,133940
17-Sep-14,32.67,33.19,32.57,33.02,179154
16-Sep-14,32.45,32.83,32.42,32.67,84289
15-Sep-14,32.62,32.82,32.34,32.58,63020
12-Sep-14,33.10,33.10,32.34,32.51,79336
11-Sep-14,32.70,33.16,32.70,33.01,71987
10-Sep-14,32.80,32.98,32.61,32.94,41417
9-Sep-14,32.92,32.92,32.40,32.71,82041
8-Sep-14,32.90,33.23,32.66,33.01,104581
5-Sep-14,32.88,33.07,32.86,33.00,74867
4-Sep-14,33.07,33.33,32.86,33.01,71717
3-Sep-14,33.57,33.64,32.93,32.99,78018
2-Sep-14,33.67,33.98,33.42,33.52,171509
29-Aug-14,33.27,33.59,33.13,33.49,83144
28-Aug-14,33.28,33.33,32.98,33.27,75221
27-Aug-14,32.58,33.40,32.08,33.33,176703
26-Aug-14,32.14,32.63,32.14,32.49,79146
25-Aug-14,32.27,32.29,31.91,32.12,73196
22-Aug-14,32.02,32.29,31.96,32.16,91503
21-Aug-14,31.75,32.03,31.29,32.02,77746
20-Aug-14,31.66,31.88,31.51,31.79,100222
19-Aug-14,31.74,31.90,31.67,31.81,49506
18-Aug-14,31.84,32.07,31.61,31.70,116160
15-Aug-14,31.71,31.71,31.07,31.47,160788
14-Aug-14,31.48,31.60,31.29,31.40,119751
13-Aug-14,31.47,31.60,31.29,31.43,98360
12-Aug-14,31.25,31.42,31.14,31.34,132726
11-Aug-14,31.40,31.50,31.20,31.34,121817
8-Aug-14,30.51,31.39,30.51,31.19,149565
7-Aug-14,30.53,30.72,30.31,30.56,109040
6-Aug-14,30.18,30.81,30.18,30.39,72307
5-Aug-14,30.05,30.44,29.97,30.31,68366
4-Aug-14,30.07,30.28,29.67,30.20,139168
1-Aug-14,30.28,30.46,29.72,29.91,226121
31-Jul-14,30.82,31.17,30.12,30.32,167397
30-Jul-14,31.43,31.43,30.91,31.17,75730
29-Jul-14,31.50,31.75,30.90,31.17,172815
28-Jul-14,31.45,31.50,31.15,31.41,76475
25-Jul-14,31.42,31.65,31.18,31.36,80555
24-Jul-14,32.12,32.16,31.49,31.67,170356
23-Jul-14,32.01,32.19,31.85,31.98,47547
22-Jul-14,31.98,32.30,31.93,32.05,82453
21-Jul-14,32.26,32.65,31.87,31.90,87651
18-Jul-14,31.67,32.64,31.67,32.48,116591
17-Jul-14,32.08,32.27,31.54,31.73,94912
16-Jul-14,32.73,32.73,31.98,32.24,124567
15-Jul-14,33.08,33.13,32.26,32.55,91404
14-Jul-14,33.35,33.42,32.89,33.04,82990
11-Jul-14,33.00,33.14,32.70,32.95,64503
10-Jul-14,32.88,33.29,32.59,33.03,73756
9-Jul-14,33.48,33.67,33.27,33.40,67249
8-Jul-14,33.83,33.83,33.18,33.31,130345
7-Jul-14,33.95,34.10,33.58,33.92,118299
3-Jul-14,34.56,35.32,33.56,34.03,212559
2-Jul-14,33.19,33.69,33.19,33.56,132537
1-Jul-14,33.28,34.16,33.05,33.22,221254
30-Jun-14,33.43,33.46,33.01,33.28,132302
27-Jun-14,32.52,33.50,32.52,33.41,268684
26-Jun-14,33.26,33.26,32.59,32.74,69180
25-Jun-14,32.03,33.20,32.03,33.17,137093
24-Jun-14,32.23,32.89,32.18,32.21,124049
23-Jun-14,32.25,32.46,32.14,32.38,46284
20-Jun-14,32.56,32.58,32.03,32.26,187459
19-Jun-14,32.29,32.44,31.98,32.36,50248
18-Jun-14,32.19,32.28,31.81,32.23,61205
17-Jun-14,31.64,32.65,31.64,32.14,138530
16-Jun-14,31.90,31.96,31.38,31.65,96944
13-Jun-14,31.90,32.33,31.77,31.98,80192
12-Jun-14,32.02,32.07,31.32,31.80,59465
11-Jun-14,32.28,32.60,31.94,32.00,90053
10-Jun-14,32.26,32.64,32.16,32.43,106861
9-Jun-14,31.81,32.33,31.67,32.33,96918
6-Jun-14,31.54,32.15,31.33,31.75,102306
5-Jun-14,30.68,31.46,30.33,31.37,67473
4-Jun-14,30.42,30.62,30.32,30.53,45783
3-Jun-14,30.71,30.71,30.22,30.53,74283
2-Jun-14,31.16,31.16,30.62,30.77,66576
30-May-14,31.30,31.41,30.91,31.09,63585
29-May-14,31.36,31.50,31.05,31.21,46739
28-May-14,31.32,31.68,30.93,31.25,106650
27-May-14,31.57,31.84,31.28,31.54,80757
23-May-14,30.80,31.33,30.68,31.22,74306
22-May-14,30.60,31.08,30.38,30.79,165130
21-May-14,30.57,30.76,30.26,30.60,305536
20-May-14,30.69,30.69,30.16,30.51,155227
19-May-14,30.36,30.90,30.30,30.69,76587
16-May-14,30.32,30.54,30.13,30.45,122998
15-May-14,30.30,30.52,30.04,30.39,111424
14-May-14,30.89,30.89,29.90,30.40,167381
13-May-14,31.62,31.64,30.89,30.93,176727
12-May-14,31.01,32.04,31.01,31.63,111347
9-May-14,30.34,31.06,30.20,30.80,96659
8-May-14,30.73,31.32,30.49,30.51,93331
7-May-14,30.53,30.81,30.17,30.76,104926
6-May-14,30.64,31.01,30.33,30.53,148625
5-May-14,31.06,31.22,30.58,30.75,121141
2-May-14,31.04,31.55,31.04,31.29,102395
1-May-14,31.48,31.55,30.71,31.01,156643
30-Apr-14,31.37,31.63,31.01,31.44,105568
29-Apr-14,31.58,31.81,31.28,31.43,103600
28-Apr-14,31.47,31.67,30.74,31.43,116597
25-Apr-14,31.79,32.01,31.17,31.35,133827
24-Apr-14,31.85,32.11,31.52,31.99,141718
23-Apr-14,32.13,32.23,31.75,31.78,119848
22-Apr-14,32.04,32.49,31.98,32.18,138750
21-Apr-14,32.52,32.53,31.76,31.99,166187
17-Apr-14,31.83,32.57,31.79,32.40,76724
16-Apr-14,32.05,32.05,31.61,31.88,76190
15-Apr-14,31.75,31.96,31.03,31.90,112234
