Date,Open,High,Low,Close,Volume
31-Dec-14,3.54,3.66,3.52,3.58,19855
30-Dec-14,3.54,3.69,3.50,3.58,24253
29-Dec-14,3.59,3.71,3.59,3.59,38624
26-Dec-14,3.79,3.81,3.57,3.65,28570
24-Dec-14,3.72,3.89,3.71,3.78,14683
23-Dec-14,3.71,3.79,3.67,3.76,52335
22-Dec-14,3.63,3.89,3.63,3.74,48906
19-Dec-14,3.75,3.82,3.69,3.71,57677
18-Dec-14,4.10,4.10,3.63,3.81,113403
17-Dec-14,4.40,4.45,3.98,4.19,566216
16-Dec-14,4.10,4.44,3.75,4.44,709682
15-Dec-14,3.37,4.18,3.32,4.18,610962
12-Dec-14,3.08,3.79,3.08,3.60,612024
11-Dec-14,3.08,3.20,3.05,3.05,36693
10-Dec-14,3.13,3.29,3.06,3.06,39171
9-Dec-14,3.09,3.37,3.09,3.14,28936
8-Dec-14,3.31,3.40,3.16,3.16,59167
5-Dec-14,3.35,3.55,3.22,3.31,302709
4-Dec-14,3.27,3.44,3.27,3.42,157182
3-Dec-14,3.17,3.35,3.08,3.22,104131
2-Dec-14,3.18,3.35,3.08,3.15,78536
1-Dec-14,3.02,3.18,3.00,3.10,266236
28-Nov-14,2.99,2.99,2.95,2.96,1066
26-Nov-14,2.92,3.00,2.92,2.92,16180
25-Nov-14,2.97,2.97,2.91,2.91,9598
24-Nov-14,2.95,2.99,2.91,2.91,13016
21-Nov-14,3.01,3.01,2.92,2.98,12213
20-Nov-14,2.81,2.99,2.81,2.95,20198
19-Nov-14,2.95,2.99,2.75,2.88,21965
18-Nov-14,3.04,3.06,2.77,2.91,23026
17-Nov-14,3.00,3.06,2.90,3.04,19450
14-Nov-14,2.97,3.04,2.89,3.00,10150
13-Nov-14,2.92,2.99,2.90,2.92,17391
12-Nov-14,2.81,3.00,2.77,2.88,47570
11-Nov-14,2.86,2.90,2.76,2.76,97090
10-Nov-14,2.90,2.96,2.85,2.85,20882
7-Nov-14,2.98,3.03,2.90,2.98,5955
6-Nov-14,2.92,3.00,2.90,2.95,31375
5-Nov-14,3.11,3.13,2.96,2.98,21865
4-Nov-14,3.12,3.13,2.98,3.02,18932
3-Nov-14,3.10,3.12,3.00,3.01,78286
31-Oct-14,3.12,3.20,3.09,3.20,20946
30-Oct-14,3.10,3.23,3.10,3.10,43995
29-Oct-14,3.14,3.18,3.14,3.16,15733
28-Oct-14,3.18,3.18,3.15,3.18,5709
27-Oct-14,3.11,3.22,3.11,3.22,17043
24-Oct-14,3.19,3.23,3.19,3.19,9792
23-Oct-14,3.12,3.20,3.10,3.19,17729
22-Oct-14,3.17,3.19,3.10,3.18,23432
21-Oct-14,3.10,3.19,3.08,3.14,11136
20-Oct-14,2.99,3.10,2.98,3.09,38800
17-Oct-14,3.03,3.10,3.01,3.09,4519
16-Oct-14,3.02,3.11,2.97,3.07,9979
15-Oct-14,3.06,3.12,3.03,3.08,18432
14-Oct-14,3.08,3.14,3.06,3.10,11326
13-Oct-14,3.07,3.08,3.04,3.08,4942
10-Oct-14,3.02,3.10,3.02,3.10,9250
9-Oct-14,3.03,3.06,3.03,3.04,6331
