Date,Open,High,Low,Close,Volume
31-Dec-14,42.80,43.43,42.19,42.29,156502
30-Dec-14,42.97,43.35,42.64,42.78,145678
29-Dec-14,43.33,43.65,42.95,43.00,200949
26-Dec-14,42.84,43.67,42.84,43.35,103775
24-Dec-14,42.38,43.00,42.27,42.63,99743
23-Dec-14,41.83,42.49,41.63,42.42,183348
22-Dec-14,41.54,41.91,41.42,41.49,152807
19-Dec-14,41.31,41.84,41.10,41.53,515622
18-Dec-14,40.92,41.72,40.31,41.34,249259
17-Dec-14,39.74,40.78,39.06,40.56,311191
16-Dec-14,39.08,39.80,38.80,39.59,294144
15-Dec-14,40.08,40.59,39.29,39.32,231043
12-Dec-14,40.26,40.75,39.92,39.98,148629
11-Dec-14,40.57,41.28,40.36,40.68,121947
10-Dec-14,41.17,41.56,40.24,40.30,150202
9-Dec-14,39.81,41.54,39.48,41.49,192348
8-Dec-14,40.86,41.68,40.16,40.30,171767
5-Dec-14,40.60,41.58,40.57,41.11,152012
4-Dec-14,41.08,41.36,40.51,40.63,160629
3-Dec-14,40.80,41.48,40.72,41.22,148150
2-Dec-14,40.35,41.41,40.35,40.95,200827
1-Dec-14,40.15,40.75,40.06,40.36,216670
28-Nov-14,40.49,41.10,40.11,40.40,121293
26-Nov-14,40.76,40.90,40.51,40.59,92711
25-Nov-14,40.53,40.99,40.21,40.73,206092
24-Nov-14,40.28,40.64,39.99,40.50,209238
21-Nov-14,40.71,40.71,39.77,40.28,213866
20-Nov-14,39.71,40.19,39.54,40.18,141841
19-Nov-14,40.51,40.54,39.63,39.97,160948
18-Nov-14,39.91,41.03,39.91,40.67,177441
17-Nov-14,40.42,40.70,39.78,39.80,161971
14-Nov-14,40.87,41.01,40.53,40.63,154940
13-Nov-14,41.67,41.85,40.86,40.92,124432
12-Nov-14,40.96,41.73,40.86,41.64,136563
11-Nov-14,41.42,41.66,41.17,41.26,172579
10-Nov-14,41.33,41.62,40.92,41.42,195961
7-Nov-14,40.88,41.36,40.69,41.28,215427
6-Nov-14,40.71,41.29,40.65,40.94,203321
5-Nov-14,40.73,41.90,39.48,40.59,312486
4-Nov-14,40.02,40.47,39.26,39.67,328453
3-Nov-14,39.10,40.86,38.74,40.54,393704
31-Oct-14,39.81,39.85,38.87,38.93,441563
30-Oct-14,38.68,39.23,38.64,38.99,213370
29-Oct-14,38.91,39.20,38.61,38.76,222795
28-Oct-14,38.27,39.10,38.14,38.88,397035
27-Oct-14,37.95,38.17,37.76,38.04,333905
24-Oct-14,38.33,38.49,38.01,38.02,296721
23-Oct-14,38.32,38.83,37.62,38.33,208468
22-Oct-14,38.36,38.70,37.99,38.07,224697
21-Oct-14,37.38,38.23,37.28,38.20,239176
20-Oct-14,36.91,37.45,36.80,37.12,314426
17-Oct-14,37.59,37.80,36.87,37.07,205017
16-Oct-14,36.92,37.70,36.51,37.06,379351
15-Oct-14,36.71,37.84,36.57,37.52,394607
14-Oct-14,36.75,37.63,36.47,37.28,281084
13-Oct-14,36.45,36.86,35.96,36.43,321552
10-Oct-14,36.87,37.48,36.19,36.42,206175
9-Oct-14,38.60,38.64,37.00,37.16,267691
8-Oct-14,38.31,38.89,37.60,38.75,235530
7-Oct-14,38.74,39.35,38.26,38.32,235841
6-Oct-14,39.89,40.07,39.06,39.07,206629
3-Oct-14,39.27,40.13,39.02,39.80,333672
2-Oct-14,38.80,39.16,38.70,38.92,281105
1-Oct-14,39.30,39.67,38.70,38.75,454181
30-Sep-14,38.94,39.65,38.52,39.31,460021
29-Sep-14,39.04,39.10,38.64,38.95,228041
26-Sep-14,38.80,39.49,38.80,39.29,317084
25-Sep-14,38.76,38.90,37.90,38.75,304501
24-Sep-14,39.35,39.49,38.88,38.93,202153
23-Sep-14,39.88,40.02,39.17,39.20,262693
22-Sep-14,40.09,40.31,39.72,40.04,225746
19-Sep-14,41.42,41.87,40.13,40.29,463904
18-Sep-14,40.69,41.83,40.69,41.34,225019
17-Sep-14,40.61,41.02,40.43,40.59,133208
16-Sep-14,40.42,40.93,40.08,40.63,248601
15-Sep-14,41.25,41.42,40.39,40.81,165346
12-Sep-14,41.71,41.77,41.00,41.28,267597
11-Sep-14,41.61,41.93,41.30,41.85,137620
10-Sep-14,41.83,42.17,41.70,41.90,120197
9-Sep-14,42.72,42.72,41.65,41.74,185888
8-Sep-14,41.90,43.21,41.74,42.88,376270
5-Sep-14,41.58,42.01,41.23,41.86,114835
4-Sep-14,42.08,42.53,41.72,41.79,147767
3-Sep-14,42.10,42.47,41.78,41.92,243414
2-Sep-14,42.23,42.54,41.86,41.96,314725
29-Aug-14,42.01,42.42,41.82,42.22,170410
28-Aug-14,41.85,42.22,41.64,41.96,102915
27-Aug-14,41.95,42.59,41.83,41.92,188839
26-Aug-14,41.42,42.03,41.24,41.99,168523
25-Aug-14,41.66,41.79,41.08,41.49,108446
22-Aug-14,41.30,41.73,41.18,41.46,139773
21-Aug-14,41.36,41.52,40.80,41.38,197349
20-Aug-14,41.23,41.40,40.77,41.30,210720
19-Aug-14,40.72,41.57,40.66,41.41,233138
18-Aug-14,40.13,40.90,40.11,40.65,203739
15-Aug-14,40.06,40.25,39.28,39.88,239252
14-Aug-14,39.66,39.92,39.24,39.65,126538
13-Aug-14,39.51,39.76,39.24,39.58,162405
12-Aug-14,39.42,39.83,38.89,39.48,201025
11-Aug-14,40.07,40.53,39.71,39.80,185622
8-Aug-14,39.31,39.99,39.10,39.80,223713
7-Aug-14,39.60,39.97,39.26,39.40,486454
6-Aug-14,38.29,40.80,38.29,39.38,1187277
5-Aug-14,35.95,36.71,35.67,36.40,258254
4-Aug-14,35.89,36.28,35.49,36.11,218771
1-Aug-14,35.91,36.26,35.48,35.77,300492
31-Jul-14,36.48,36.81,35.93,35.98,304848
30-Jul-14,36.62,37.15,36.61,36.90,207951
29-Jul-14,36.84,37.14,36.31,36.33,244520
28-Jul-14,36.81,37.00,36.22,36.70,195796
25-Jul-14,36.93,36.98,36.51,36.68,213690
24-Jul-14,37.73,38.11,36.82,37.26,355706
23-Jul-14,37.55,38.19,37.27,37.77,278670
22-Jul-14,37.52,37.63,36.98,37.59,539823
21-Jul-14,38.88,40.39,37.25,37.35,848323
18-Jul-14,40.70,41.68,40.70,41.50,169678
17-Jul-14,40.60,41.03,40.60,40.85,300219
16-Jul-14,40.67,41.28,40.38,40.89,290597
15-Jul-14,40.91,41.08,40.17,40.52,190889
14-Jul-14,41.19,41.20,40.55,40.89,179905
11-Jul-14,40.96,41.27,40.73,40.77,165177
10-Jul-14,40.95,41.44,40.84,41.08,249977
9-Jul-14,41.34,41.76,41.16,41.59,230532
8-Jul-14,40.99,41.16,40.60,41.10,265005
7-Jul-14,41.09,41.30,40.73,41.17,378266
3-Jul-14,41.12,41.54,40.96,41.33,75880
2-Jul-14,41.32,41.67,40.98,41.05,180165
1-Jul-14,40.77,41.75,40.58,41.42,414368
30-Jun-14,40.66,40.86,40.00,40.55,341806
27-Jun-14,39.97,40.90,39.97,40.82,422980
26-Jun-14,40.29,40.33,39.78,40.32,108348
25-Jun-14,39.66,40.47,39.47,40.27,229299
24-Jun-14,40.20,40.70,39.71,39.78,229506
23-Jun-14,40.21,40.50,40.00,40.34,259638
20-Jun-14,39.89,40.60,39.67,40.20,729362
19-Jun-14,41.26,41.26,39.41,39.89,388021
18-Jun-14,40.89,41.25,40.39,41.21,300174
17-Jun-14,39.59,41.00,39.27,40.92,346108
16-Jun-14,39.67,39.78,38.86,39.66,247280
13-Jun-14,40.04,40.16,39.64,39.81,263832
12-Jun-14,40.09,40.25,39.56,39.84,241385
11-Jun-14,40.05,40.53,39.92,40.25,161654
10-Jun-14,40.23,40.23,39.69,40.09,197512
9-Jun-14,39.92,40.82,39.70,40.42,257118
6-Jun-14,39.91,40.39,39.72,39.82,223917
5-Jun-14,38.59,39.69,38.39,39.68,193473
4-Jun-14,38.29,38.67,38.13,38.41,143800
3-Jun-14,38.08,38.95,37.92,38.43,270739
2-Jun-14,38.46,38.46,37.46,38.29,188249
30-May-14,39.06,39.06,38.01,38.45,289718
29-May-14,38.85,39.11,38.62,38.93,247168
28-May-14,39.59,39.70,38.72,38.85,253534
