Date,Open,High,Low,Close,Volume
31-Dec-14,22.14,22.51,21.97,22.04,7574
30-Dec-14,21.97,22.10,21.93,22.06,7800
29-Dec-14,21.48,22.08,21.38,22.00,80788
26-Dec-14,22.09,22.11,21.82,22.09,9735
24-Dec-14,22.04,22.18,21.95,22.10,47917
23-Dec-14,22.36,23.49,22.00,22.66,14890
22-Dec-14,22.30,22.47,22.21,22.40,19705
19-Dec-14,21.67,22.45,21.55,22.45,23539
18-Dec-14,21.55,22.70,21.41,21.69,11174
17-Dec-14,21.34,22.70,21.18,21.59,12314
16-Dec-14,21.39,21.74,21.20,21.42,8720
15-Dec-14,21.78,21.88,21.56,21.59,2278
12-Dec-14,21.65,21.77,21.40,21.74,4985
11-Dec-14,21.60,21.89,21.50,21.87,19081
10-Dec-14,21.74,22.09,21.68,21.72,7027
9-Dec-14,21.64,22.48,21.49,21.71,28358
8-Dec-14,21.66,21.74,21.37,21.70,12040
5-Dec-14,21.99,22.13,21.67,21.67,5437
4-Dec-14,21.77,22.11,21.74,22.03,3663
3-Dec-14,21.35,21.95,21.29,21.81,18400
2-Dec-14,21.49,21.89,21.40,21.55,14797
1-Dec-14,21.63,21.80,21.60,21.75,9236
28-Nov-14,21.66,21.74,21.61,21.70,7616
26-Nov-14,21.40,21.60,21.34,21.54,10642
25-Nov-14,21.14,21.48,21.05,21.33,37422
24-Nov-14,20.95,21.23,20.50,21.20,24339
21-Nov-14,21.61,21.75,21.22,21.25,4044
20-Nov-14,21.06,21.30,20.98,21.30,14012
19-Nov-14,21.20,21.31,21.15,21.27,11951
18-Nov-14,20.82,21.25,20.78,21.23,191184
17-Nov-14,20.29,20.50,19.53,20.48,8743
14-Nov-14,20.11,20.30,20.11,20.20,3680
13-Nov-14,20.14,20.31,20.10,20.29,9290
12-Nov-14,20.19,20.30,20.05,20.26,9474
11-Nov-14,20.30,20.34,20.11,20.30,12614
10-Nov-14,20.30,20.56,20.18,20.49,11553
7-Nov-14,20.23,20.40,20.15,20.38,18906
6-Nov-14,20.13,20.28,20.07,20.13,8795
5-Nov-14,20.21,20.35,20.19,20.31,9710
4-Nov-14,20.34,20.40,20.22,20.22,5270
3-Nov-14,20.50,20.55,20.33,20.52,15721
31-Oct-14,20.55,20.60,20.25,20.49,6907
30-Oct-14,20.27,20.60,19.55,20.46,42711
29-Oct-14,20.68,20.76,20.54,20.55,4812
28-Oct-14,20.76,20.78,20.58,20.78,13099
27-Oct-14,20.34,20.73,20.34,20.58,12662
24-Oct-14,20.51,20.74,20.51,20.58,5772
23-Oct-14,20.74,20.74,20.43,20.53,10047
22-Oct-14,20.86,20.90,20.78,20.81,4796
