Date,Open,High,Low,Close,Volume
31-Dec-14,8.03,8.03,7.77,7.77,34758
30-Dec-14,8.03,8.03,7.95,7.99,13926
29-Dec-14,8.24,8.27,7.98,8.00,35962
26-Dec-14,8.15,8.30,8.05,8.21,29595
24-Dec-14,8.02,8.14,8.01,8.13,15418
23-Dec-14,7.98,8.09,7.87,8.03,46827
22-Dec-14,8.05,8.08,7.81,7.98,42977
19-Dec-14,8.07,8.18,7.69,8.15,203533
18-Dec-14,8.00,8.14,7.96,8.09,41843
17-Dec-14,7.55,7.97,7.50,7.97,50294
16-Dec-14,7.52,7.75,7.50,7.58,26804
15-Dec-14,7.66,7.72,7.55,7.55,22749
12-Dec-14,7.23,7.74,7.17,7.64,101066
11-Dec-14,7.81,7.84,7.33,7.35,38022
10-Dec-14,7.74,7.83,7.61,7.79,37791
9-Dec-14,7.40,7.75,7.30,7.75,43205
8-Dec-14,7.60,7.71,7.46,7.46,20405
5-Dec-14,7.34,7.60,7.34,7.60,48865
4-Dec-14,7.17,7.40,7.11,7.25,45261
3-Dec-14,7.12,7.30,7.12,7.26,33662
2-Dec-14,7.10,7.18,7.00,7.14,65851
1-Dec-14,7.11,7.18,7.03,7.10,25917
28-Nov-14,7.38,7.40,7.09,7.10,23671
26-Nov-14,7.16,7.39,7.15,7.34,15998
25-Nov-14,7.46,7.46,7.14,7.18,67432
24-Nov-14,7.18,7.45,7.18,7.45,21313
21-Nov-14,7.35,7.43,7.19,7.20,32907
20-Nov-14,7.00,7.25,6.94,7.22,48582
19-Nov-14,7.33,7.33,6.99,7.01,38098
18-Nov-14,7.39,7.45,7.26,7.32,23856
17-Nov-14,7.70,7.72,7.33,7.33,22781
14-Nov-14,7.68,7.82,7.58,7.69,30716
13-Nov-14,7.86,7.90,7.61,7.64,33014
12-Nov-14,7.50,7.88,7.48,7.88,33592
11-Nov-14,7.93,7.93,7.50,7.55,43956
10-Nov-14,7.83,7.94,7.52,7.80,27721
7-Nov-14,7.90,7.90,7.66,7.80,21780
6-Nov-14,7.91,8.01,7.65,7.90,75103
5-Nov-14,7.73,7.95,7.51,7.94,46469
4-Nov-14,7.42,7.73,7.42,7.72,47423
3-Nov-14,7.40,7.70,7.34,7.48,62486
31-Oct-14,7.50,7.50,7.27,7.40,73257
30-Oct-14,7.20,7.39,7.17,7.37,70766
29-Oct-14,7.40,7.40,7.14,7.20,57073
28-Oct-14,7.40,7.40,7.19,7.39,98755
27-Oct-14,7.41,7.43,7.21,7.35,80550
24-Oct-14,7.45,7.55,7.36,7.40,36847
23-Oct-14,7.68,7.84,7.41,7.48,67095
22-Oct-14,7.89,7.89,7.58,7.58,44947
21-Oct-14,7.74,7.90,7.73,7.84,88230
20-Oct-14,7.58,7.74,7.58,7.67,36030
17-Oct-14,7.93,7.93,7.32,7.64,91099
16-Oct-14,7.52,7.96,7.48,7.79,83513
15-Oct-14,7.16,7.59,7.16,7.58,110444
14-Oct-14,7.10,7.44,7.09,7.28,106805
13-Oct-14,6.87,7.16,6.78,7.01,61064
10-Oct-14,6.63,6.97,6.60,6.84,62361
9-Oct-14,7.03,7.03,6.66,6.69,58158
8-Oct-14,6.81,7.04,6.60,7.03,62239
7-Oct-14,6.91,7.05,6.83,6.84,71453
6-Oct-14,6.83,7.06,6.72,6.83,97555
3-Oct-14,6.89,6.92,6.69,6.84,88232
2-Oct-14,6.38,6.95,6.36,6.80,116999
1-Oct-14,6.60,6.60,6.36,6.40,106519
30-Sep-14,6.72,6.78,6.63,6.67,104694
29-Sep-14,6.63,6.75,6.63,6.69,57108
