Date,Open,High,Low,Close,Volume
31-Dec-14,6.80,6.89,6.78,6.80,257084
30-Dec-14,7.01,7.06,6.79,6.81,286931
29-Dec-14,6.82,7.06,6.80,6.98,291445
26-Dec-14,6.85,6.88,6.75,6.82,128091
24-Dec-14,7.00,7.11,6.80,6.81,168609
23-Dec-14,6.67,7.10,6.59,7.08,467869
22-Dec-14,6.58,6.82,6.51,6.67,277210
19-Dec-14,6.64,6.71,6.60,6.60,463383
18-Dec-14,6.59,6.63,6.54,6.61,362158
17-Dec-14,6.45,6.57,6.39,6.52,264507
16-Dec-14,6.61,6.67,6.42,6.46,602123
15-Dec-14,6.76,6.81,6.59,6.61,390881
12-Dec-14,6.81,7.05,6.69,6.77,441871
11-Dec-14,7.17,7.30,6.84,6.87,457438
10-Dec-14,6.75,7.24,6.75,7.13,589729
9-Dec-14,7.10,7.22,7.03,7.10,383323
8-Dec-14,7.31,7.33,7.06,7.16,325014
5-Dec-14,7.12,7.34,7.07,7.33,458341
4-Dec-14,7.19,7.26,7.04,7.07,292159
3-Dec-14,7.24,7.30,7.07,7.20,406939
2-Dec-14,7.11,7.55,7.03,7.22,525978
1-Dec-14,7.40,7.56,6.92,7.11,649706
28-Nov-14,7.09,7.46,7.09,7.36,663295
26-Nov-14,6.88,7.06,6.78,7.04,449732
25-Nov-14,6.82,7.01,6.78,6.88,480245
24-Nov-14,6.77,6.88,6.72,6.82,355318
21-Nov-14,6.73,6.90,6.70,6.78,339995
20-Nov-14,6.82,6.88,6.57,6.66,565872
19-Nov-14,6.84,6.98,6.75,6.85,410673
18-Nov-14,6.76,6.93,6.72,6.89,324240
17-Nov-14,7.00,7.04,6.74,6.76,466088
14-Nov-14,6.59,7.02,6.59,6.98,484502
13-Nov-14,6.83,6.87,6.61,6.61,351598
12-Nov-14,6.63,6.85,6.63,6.85,313961
11-Nov-14,6.59,6.74,6.53,6.69,424667
10-Nov-14,6.54,6.62,6.44,6.56,322359
7-Nov-14,6.52,6.61,6.32,6.51,373727
6-Nov-14,6.25,6.65,6.25,6.54,707307
5-Nov-14,6.25,6.34,6.16,6.23,594796
4-Nov-14,6.25,6.36,6.13,6.23,411689
3-Nov-14,6.35,6.41,6.26,6.29,561326
31-Oct-14,6.48,6.50,6.25,6.38,688549
30-Oct-14,6.49,6.58,6.39,6.43,685837
29-Oct-14,6.67,6.72,6.42,6.54,895077
28-Oct-14,6.41,6.72,6.38,6.65,966564
27-Oct-14,6.50,6.57,6.23,6.41,1353453
24-Oct-14,7.01,7.07,6.51,6.52,2989275
23-Oct-14,8.90,8.99,6.90,6.95,9753600
22-Oct-14,8.01,8.15,7.83,7.96,1062275
21-Oct-14,8.05,8.10,7.94,7.95,373221
20-Oct-14,7.88,8.10,7.83,8.00,622474
17-Oct-14,8.06,8.20,7.88,7.90,689880
16-Oct-14,7.75,8.00,7.58,7.95,1015941
15-Oct-14,7.78,7.92,7.55,7.83,494745
14-Oct-14,7.83,8.00,7.77,7.81,526446
13-Oct-14,7.88,7.97,7.79,7.80,618103
10-Oct-14,7.82,7.98,7.59,7.86,712677
9-Oct-14,7.98,8.04,7.76,7.87,423180
8-Oct-14,7.68,7.98,7.61,7.96,590875
7-Oct-14,7.65,7.72,7.47,7.66,505007
6-Oct-14,7.75,7.99,7.51,7.66,851203
3-Oct-14,7.27,7.54,7.25,7.51,526893
2-Oct-14,6.98,7.27,6.98,7.25,465488
1-Oct-14,7.07,7.20,6.98,7.00,275173
30-Sep-14,7.17,7.25,7.03,7.10,518274
29-Sep-14,6.65,6.98,6.61,6.89,188049
26-Sep-14,6.61,6.82,6.61,6.73,169241
25-Sep-14,6.72,6.79,6.46,6.61,333362
24-Sep-14,6.86,6.88,6.61,6.70,804069
23-Sep-14,6.85,6.94,6.76,6.83,327428
22-Sep-14,6.68,6.88,6.60,6.85,229434
19-Sep-14,6.91,6.93,6.68,6.70,231769
18-Sep-14,6.88,6.93,6.78,6.90,151992
17-Sep-14,6.75,6.99,6.66,6.85,255307
16-Sep-14,6.71,6.89,6.47,6.72,542848
15-Sep-14,6.99,7.07,6.68,6.75,573087
12-Sep-14,7.10,7.19,6.99,7.00,388694
11-Sep-14,7.14,7.30,7.09,7.10,275485
10-Sep-14,7.13,7.29,7.05,7.18,365666
9-Sep-14,7.21,7.21,7.02,7.16,167229
8-Sep-14,7.07,7.33,7.07,7.20,241269
5-Sep-14,6.95,7.15,6.91,7.07,340944
4-Sep-14,6.92,7.09,6.92,6.98,232489
3-Sep-14,7.01,7.21,6.90,6.92,345310
2-Sep-14,6.79,7.00,6.72,6.97,366693
29-Aug-14,6.60,6.80,6.60,6.78,167924
28-Aug-14,6.70,6.72,6.57,6.60,149393
27-Aug-14,6.70,6.85,6.70,6.75,156031
26-Aug-14,6.58,6.68,6.50,6.68,192163
25-Aug-14,6.61,6.74,6.58,6.59,275269
22-Aug-14,6.63,6.66,6.58,6.61,141971
21-Aug-14,6.76,6.77,6.51,6.66,406034
20-Aug-14,6.70,6.82,6.60,6.79,322115
19-Aug-14,6.59,6.72,6.58,6.70,182520
18-Aug-14,6.51,6.62,6.41,6.57,252959
