Date,Open,High,Low,Close,Volume
31-Dec-14,164.26,167.85,163.02,163.73,536720
30-Dec-14,166.00,166.47,162.22,163.14,504116
29-Dec-14,166.65,167.83,165.39,166.77,360300
26-Dec-14,165.75,167.90,164.56,166.55,203753
24-Dec-14,163.18,167.33,161.65,165.33,279724
23-Dec-14,166.24,166.27,159.79,163.50,758512
22-Dec-14,169.05,169.95,164.25,164.96,475189
19-Dec-14,169.31,170.56,167.13,169.03,1141761
18-Dec-14,169.45,170.55,167.09,169.88,593156
17-Dec-14,161.17,166.57,158.46,166.40,981544
16-Dec-14,160.77,163.57,158.38,159.65,788348
15-Dec-14,166.17,169.39,160.55,162.60,1011989
12-Dec-14,172.01,172.98,164.60,165.12,1232380
11-Dec-14,176.01,179.89,172.69,173.21,771250
10-Dec-14,176.88,179.16,174.76,175.44,720823
9-Dec-14,178.79,179.87,172.65,178.19,934190
8-Dec-14,178.70,183.84,178.68,183.03,834686
5-Dec-14,178.03,182.03,177.10,178.36,833829
4-Dec-14,178.01,182.00,177.16,178.28,1134228
3-Dec-14,174.16,178.92,172.97,178.68,749503
2-Dec-14,171.61,174.65,170.90,174.28,686320
1-Dec-14,176.87,178.00,170.07,170.89,740849
28-Nov-14,177.52,177.65,175.31,177.09,349104
26-Nov-14,171.46,176.99,170.62,176.65,881533
25-Nov-14,170.41,171.87,166.38,170.43,2852081
24-Nov-14,171.65,172.41,169.49,170.45,729282
21-Nov-14,172.17,173.38,169.47,170.10,559529
20-Nov-14,170.85,172.73,169.07,169.84,496034
19-Nov-14,171.77,172.84,169.46,170.95,508863
18-Nov-14,168.38,172.84,168.06,172.32,747752
17-Nov-14,173.76,177.36,168.22,169.49,908950
14-Nov-14,173.32,174.90,170.58,174.57,685113
13-Nov-14,173.65,176.84,171.71,172.98,512906
12-Nov-14,171.73,174.40,171.50,173.53,581500
11-Nov-14,173.63,175.73,170.80,171.89,641956
10-Nov-14,172.02,174.96,170.11,174.43,868266
7-Nov-14,170.80,172.98,169.55,170.80,612930
6-Nov-14,170.04,173.08,167.03,172.37,789471
5-Nov-14,175.09,180.00,166.35,167.18,1939870
4-Nov-14,169.20,170.36,167.60,168.48,756335
3-Nov-14,169.15,173.90,169.06,170.33,744505
31-Oct-14,171.77,173.83,168.60,168.84,863358
30-Oct-14,167.85,170.94,167.50,169.82,509621
29-Oct-14,167.41,169.21,166.67,168.22,584261
28-Oct-14,166.03,168.93,165.02,168.35,684909
27-Oct-14,165.54,166.55,160.22,164.67,756926
24-Oct-14,163.90,167.30,163.24,166.46,555610
23-Oct-14,159.07,163.88,158.23,162.30,527335
22-Oct-14,160.16,161.94,156.30,157.14,567040
21-Oct-14,154.23,159.50,154.23,159.35,580203
20-Oct-14,151.87,155.15,150.97,152.39,489459
17-Oct-14,151.77,154.75,150.20,152.36,489456
16-Oct-14,143.87,151.96,142.78,150.26,596208
15-Oct-14,141.26,147.12,137.34,146.31,607233
14-Oct-14,142.77,148.66,141.07,143.73,755856
13-Oct-14,148.73,150.52,142.01,142.72,609650
10-Oct-14,154.04,156.31,147.45,148.95,667232
9-Oct-14,158.14,159.60,154.07,155.06,437943
8-Oct-14,155.28,160.00,152.50,159.74,679064
7-Oct-14,157.46,158.52,154.05,155.28,481314
6-Oct-14,162.99,162.99,158.04,158.48,620097
3-Oct-14,156.75,163.16,156.02,161.43,907823
2-Oct-14,154.67,156.59,150.11,154.55,702486
1-Oct-14,160.82,161.18,153.50,155.30,742421
30-Sep-14,162.63,163.20,160.00,160.56,1486334
29-Sep-14,159.07,162.63,157.04,162.16,685353
26-Sep-14,160.54,161.98,158.02,160.53,599368
25-Sep-14,164.83,165.99,159.36,159.94,678139
24-Sep-14,160.44,165.64,159.50,165.05,758441
23-Sep-14,157.48,162.22,156.50,158.82,919970
22-Sep-14,162.05,163.63,159.44,161.34,667564
19-Sep-14,164.75,166.00,162.02,163.64,1325436
18-Sep-14,163.75,164.91,161.95,163.23,658757
17-Sep-14,165.47,166.13,160.52,162.30,765726
16-Sep-14,157.57,165.32,157.00,164.35,1631748
15-Sep-14,167.69,168.39,156.79,160.35,1417984
12-Sep-14,171.22,173.39,166.77,169.40,877685
11-Sep-14,174.00,176.36,170.22,172.14,1128858
10-Sep-14,169.24,174.50,168.52,174.37,1093022
9-Sep-14,170.32,172.24,169.18,170.50,868044
8-Sep-14,168.00,171.72,166.00,170.85,1372893
5-Sep-14,156.62,168.88,153.92,168.02,3290250
4-Sep-14,162.59,163.34,156.51,156.87,1257101
3-Sep-14,163.62,163.93,161.40,163.70,761506
2-Sep-14,164.22,164.72,161.94,163.05,642390
29-Aug-14,162.88,163.99,160.49,162.92,668820
28-Aug-14,162.11,163.94,161.11,162.71,657988
27-Aug-14,163.88,165.28,162.15,163.11,502400
26-Aug-14,160.95,163.98,159.52,163.56,707418
25-Aug-14,160.31,162.80,159.23,160.89,681633
22-Aug-14,157.45,160.67,156.10,158.83,588924
21-Aug-14,159.50,160.00,156.50,157.61,650386
20-Aug-14,156.39,161.25,155.14,158.30,1218731
19-Aug-14,155.13,159.50,153.07,156.87,1410515
18-Aug-14,148.02,152.69,148.02,152.51,904907
15-Aug-14,145.55,150.79,144.46,148.10,950096
14-Aug-14,143.32,144.67,142.08,144.30,515953
13-Aug-14,135.62,145.20,133.50,144.23,2021895
12-Aug-14,133.15,135.18,132.21,132.55,640460
11-Aug-14,135.57,137.74,133.33,133.86,535320
8-Aug-14,135.75,136.85,131.69,136.58,1446827
7-Aug-14,143.00,144.93,135.00,135.44,1615606
6-Aug-14,133.25,149.95,133.00,142.84,2844928
5-Aug-14,136.00,137.86,134.00,135.80,1160899
4-Aug-14,140.26,141.13,136.35,137.86,653249
1-Aug-14,139.29,141.39,135.22,139.73,843486
31-Jul-14,140.06,142.01,139.20,139.73,537989
30-Jul-14,142.00,143.50,140.64,141.38,532520
29-Jul-14,138.21,141.33,136.87,140.10,701161
28-Jul-14,142.60,143.00,136.26,136.81,1133695
25-Jul-14,143.51,144.18,141.56,142.51,460483
24-Jul-14,147.73,148.55,142.94,143.32,719515
23-Jul-14,148.00,150.97,145.52,147.95,515591
22-Jul-14,146.67,149.37,145.48,145.87,511109
21-Jul-14,142.07,147.36,140.00,146.21,823796
18-Jul-14,140.79,143.00,139.47,142.29,1528862
17-Jul-14,143.62,146.93,141.45,141.65,762165
16-Jul-14,149.96,150.50,144.53,145.37,503054
15-Jul-14,154.56,155.29,147.15,147.85,760645
14-Jul-14,152.17,154.25,150.90,153.48,464141
11-Jul-14,151.83,153.01,148.84,150.80,813340
10-Jul-14,151.90,154.35,147.53,152.49,870407
9-Jul-14,155.04,156.97,150.92,154.70,584187
8-Jul-14,155.00,157.93,149.21,154.89,964453
7-Jul-14,164.62,166.29,155.78,156.35,1083983
3-Jul-14,162.07,164.54,160.13,162.82,764121
2-Jul-14,151.51,164.21,151.51,162.02,1983270
1-Jul-14,148.46,152.71,148.30,151.46,539635
30-Jun-14,147.05,147.35,145.46,147.01,1250753
27-Jun-14,149.71,150.10,145.55,146.00,1088140
26-Jun-14,151.55,151.55,148.62,149.74,401322
25-Jun-14,148.28,151.45,147.87,150.42,400493
24-Jun-14,154.86,154.89,146.74,148.12,1084347
23-Jun-14,155.68,156.34,153.17,153.50,616985
20-Jun-14,150.33,156.00,150.00,154.82,1847903
19-Jun-14,153.04,153.04,147.64,149.59,681870
