Date,Open,High,Low,Close,Volume
31-Dec-14,16.00,16.21,15.85,15.86,7018103
30-Dec-14,15.68,15.97,15.66,15.89,4439096
29-Dec-14,15.50,15.80,15.33,15.70,4256373
26-Dec-14,15.69,15.76,15.47,15.68,4262737
24-Dec-14,15.36,15.57,15.32,15.50,3180053
23-Dec-14,15.45,15.48,15.15,15.29,4061209
22-Dec-14,15.37,15.74,15.36,15.40,5825369
19-Dec-14,15.28,15.49,15.12,15.37,10810361
18-Dec-14,15.17,15.41,14.84,15.37,7097126
17-Dec-14,14.44,15.17,14.32,15.13,8926916
16-Dec-14,15.07,15.07,14.43,14.44,10757436
15-Dec-14,14.95,15.15,14.61,14.94,9520696
12-Dec-14,15.49,15.50,14.80,14.81,9244523
11-Dec-14,15.33,15.55,15.21,15.29,8281739
10-Dec-14,15.45,15.69,15.10,15.15,11972007
9-Dec-14,15.10,15.38,14.31,15.04,14622477
8-Dec-14,15.11,15.79,15.10,15.51,9915091
5-Dec-14,15.37,15.44,15.14,15.19,8160807
4-Dec-14,15.12,15.61,15.02,15.09,17641583
3-Dec-14,14.69,14.99,14.52,14.82,7674548
2-Dec-14,14.65,15.00,14.58,14.90,11449936
1-Dec-14,14.97,15.29,14.42,14.56,16563956
28-Nov-14,14.24,14.94,14.20,14.63,13052247
26-Nov-14,13.66,13.77,13.43,13.60,7040484
25-Nov-14,13.51,13.74,13.46,13.64,7541143
24-Nov-14,13.43,13.52,13.36,13.44,8212102
21-Nov-14,13.67,13.69,13.02,13.25,11372249
20-Nov-14,13.45,13.55,12.91,13.44,12143976
19-Nov-14,12.60,13.48,12.60,13.24,16590342
18-Nov-14,12.40,12.92,12.40,12.72,7749691
17-Nov-14,12.55,12.75,12.35,12.38,6980361
14-Nov-14,12.64,12.75,12.46,12.60,4796338
13-Nov-14,12.58,12.79,12.42,12.59,7146080
12-Nov-14,12.60,12.61,12.23,12.53,10812957
11-Nov-14,13.08,13.23,12.93,12.95,8828830
10-Nov-14,12.60,13.11,12.40,13.09,6903790
7-Nov-14,12.81,12.84,12.48,12.56,8050681
6-Nov-14,12.29,12.85,12.22,12.81,12168798
5-Nov-14,12.26,12.30,11.95,12.12,9346978
4-Nov-14,11.82,12.24,11.82,12.14,9612690
3-Nov-14,11.50,11.82,11.46,11.74,6949713
31-Oct-14,11.44,11.56,11.20,11.54,10069412
30-Oct-14,11.48,11.60,11.11,11.18,9076302
29-Oct-14,11.36,11.59,11.15,11.54,7247436
28-Oct-14,11.17,11.40,11.06,11.38,6688813
27-Oct-14,10.98,11.24,10.86,11.08,7304887
24-Oct-14,10.88,11.04,10.77,10.96,7234880
23-Oct-14,11.46,11.64,10.69,10.86,16637733
22-Oct-14,11.66,11.70,11.17,11.18,8534544
21-Oct-14,11.37,11.73,11.37,11.56,7521451
20-Oct-14,10.95,11.25,10.95,11.23,6484013
17-Oct-14,11.40,11.42,10.77,10.86,8262250
16-Oct-14,10.00,11.28,9.95,11.22,15426665
15-Oct-14,9.82,10.39,9.77,10.30,13605252
14-Oct-14,9.65,10.40,9.52,10.23,13724812
13-Oct-14,10.19,10.24,9.38,9.41,13972623
10-Oct-14,10.60,10.84,10.04,10.06,13442010
9-Oct-14,10.85,10.97,10.67,10.68,10438312
8-Oct-14,10.70,10.82,10.50,10.82,8067352
7-Oct-14,10.82,10.92,10.51,10.65,6963644
6-Oct-14,11.17,11.30,10.80,10.85,7674713
3-Oct-14,10.95,11.28,10.92,11.12,10347043
2-Oct-14,10.40,10.69,10.25,10.58,9715343
1-Oct-14,10.37,10.45,10.15,10.24,11116962
30-Sep-14,10.38,10.76,10.21,10.62,13089295
29-Sep-14,10.61,10.72,10.46,10.53,5735930
26-Sep-14,10.42,10.61,10.38,10.58,4434121
25-Sep-14,10.62,10.62,10.38,10.40,6211078
24-Sep-14,10.78,10.82,10.61,10.64,6791049
23-Sep-14,10.79,11.03,10.70,10.76,6847977
22-Sep-14,11.31,11.36,10.90,10.90,6884846
19-Sep-14,11.77,11.81,11.30,11.36,15748158
18-Sep-14,11.26,11.38,11.20,11.33,5002690
17-Sep-14,11.39,11.56,11.12,11.20,6013936
16-Sep-14,11.21,11.47,10.97,11.42,7986815
15-Sep-14,11.93,12.02,11.18,11.26,14629964
12-Sep-14,12.17,12.38,12.17,12.19,4319762
11-Sep-14,12.29,12.42,12.05,12.24,7636442
10-Sep-14,12.08,12.31,12.00,12.29,4950636
9-Sep-14,12.30,12.52,12.01,12.04,9118212
8-Sep-14,12.52,12.68,12.45,12.47,5409093
5-Sep-14,12.49,12.68,12.38,12.54,3835814
4-Sep-14,12.42,12.76,12.38,12.52,6207229
3-Sep-14,12.40,12.46,12.21,12.36,6473085
2-Sep-14,12.23,12.70,12.21,12.64,9528695
29-Aug-14,12.42,12.54,12.17,12.23,4862478
28-Aug-14,12.33,12.44,12.23,12.41,5359059
27-Aug-14,12.50,12.52,12.23,12.38,6510007
