Date,Open,High,Low,Close,Volume
29-Dec-14,10.13,10.13,10.13,10.13,105
26-Dec-14,10.00,10.00,10.00,10.00,101
23-Dec-14,10.50,10.50,10.50,10.50,525
22-Dec-14,10.60,10.60,10.55,10.60,619
18-Dec-14,10.36,10.36,10.36,10.36,100
16-Dec-14,10.50,10.50,10.35,10.35,681
15-Dec-14,10.50,10.50,10.45,10.45,1116
12-Dec-14,10.65,10.65,10.32,10.50,555
11-Dec-14,10.31,10.31,10.31,10.31,1075
9-Dec-14,10.50,10.50,10.50,10.50,406
8-Dec-14,10.50,10.50,10.49,10.50,3494
5-Dec-14,10.32,10.48,10.32,10.45,600
3-Dec-14,10.51,10.51,10.51,10.51,178
26-Nov-14,10.48,10.50,10.48,10.50,516
24-Nov-14,10.50,10.73,10.46,10.70,4833
20-Nov-14,10.50,10.61,10.50,10.60,504
19-Nov-14,10.41,10.41,10.41,10.41,1010
18-Nov-14,10.75,10.75,10.75,10.75,1000
17-Nov-14,10.33,10.98,10.33,10.97,13075
14-Nov-14,10.89,11.24,10.89,11.08,6046
13-Nov-14,10.22,11.10,10.22,10.71,5006
12-Nov-14,9.78,11.68,9.21,10.94,122717
11-Nov-14,10.06,10.08,9.90,9.99,2375
7-Nov-14,10.06,10.08,9.90,9.90,900
6-Nov-14,9.79,9.94,9.79,9.80,3000
5-Nov-14,9.59,9.80,9.59,9.80,800
4-Nov-14,9.30,10.25,9.30,9.65,26368
3-Nov-14,9.33,9.50,9.33,9.45,2985
31-Oct-14,9.50,9.50,9.49,9.50,2246
30-Oct-14,9.58,10.25,9.09,9.69,22256
28-Oct-14,9.83,9.83,9.83,9.83,209
23-Oct-14,10.00,10.00,9.77,9.77,788
17-Oct-14,9.87,9.87,9.72,9.72,777
16-Oct-14,9.72,10.00,9.67,9.73,1582
13-Oct-14,9.69,10.06,9.69,9.95,738
10-Oct-14,9.85,10.00,9.85,10.00,6952
9-Oct-14,9.95,9.95,9.95,9.95,3226
8-Oct-14,9.97,9.98,9.97,9.98,985
