Date,Open,High,Low,Close,Volume
31-Dec-14,36.33,36.42,35.79,35.85,45771
30-Dec-14,36.16,36.39,35.90,36.19,46162
29-Dec-14,36.42,36.48,35.99,36.39,104959
26-Dec-14,36.24,36.56,35.95,36.22,102058
24-Dec-14,35.91,36.48,35.72,36.03,26793
23-Dec-14,36.37,36.70,35.90,36.00,65682
22-Dec-14,36.00,36.50,35.42,36.45,214756
19-Dec-14,35.56,35.85,35.21,35.85,145968
18-Dec-14,34.80,36.09,34.74,35.46,200886
17-Dec-14,33.71,34.39,33.49,34.27,195242
16-Dec-14,33.65,34.31,33.52,33.80,175252
15-Dec-14,33.44,34.09,32.84,33.79,276658
12-Dec-14,33.39,33.56,33.03,33.09,116161
11-Dec-14,33.27,33.86,32.89,33.57,87320
10-Dec-14,34.02,34.25,33.08,33.32,133508
9-Dec-14,34.94,34.94,33.85,34.29,225042
8-Dec-14,36.87,36.87,35.38,35.50,122567
5-Dec-14,36.05,36.85,36.05,36.84,141523
4-Dec-14,36.79,36.88,35.81,35.98,52169
3-Dec-14,36.28,36.79,36.13,36.65,207130
2-Dec-14,36.14,36.46,35.81,36.36,375123
1-Dec-14,36.47,36.47,35.41,35.88,92619
28-Nov-14,36.49,36.88,36.19,36.75,91419
26-Nov-14,36.08,36.77,35.83,36.62,96630
25-Nov-14,36.59,36.59,35.86,36.19,204920
24-Nov-14,35.35,36.51,34.50,36.39,128667
21-Nov-14,35.71,35.88,35.08,35.42,112075
20-Nov-14,35.10,35.68,35.10,35.30,91420
19-Nov-14,35.86,35.86,34.98,35.36,124604
18-Nov-14,36.19,36.28,35.79,35.84,173012
17-Nov-14,35.46,36.04,35.35,35.88,196471
14-Nov-14,35.16,35.80,34.82,35.74,121228
13-Nov-14,35.60,35.83,34.66,35.12,333224
12-Nov-14,34.49,35.35,34.32,35.19,190451
11-Nov-14,34.51,34.79,34.51,34.62,103040
10-Nov-14,34.41,34.97,34.36,34.46,239519
7-Nov-14,33.00,34.72,32.50,34.06,374294
6-Nov-14,32.29,32.45,31.62,32.40,264164
5-Nov-14,31.96,32.30,31.34,32.13,298702
4-Nov-14,31.12,31.90,31.12,31.85,122698
3-Nov-14,30.58,31.37,30.57,31.15,316648
31-Oct-14,31.00,31.24,30.48,30.70,485932
30-Oct-14,30.47,30.74,30.17,30.64,151210
29-Oct-14,30.33,30.73,30.19,30.49,142906
28-Oct-14,30.24,30.52,30.12,30.35,203475
27-Oct-14,30.06,30.13,29.42,30.02,57639
24-Oct-14,30.06,30.46,29.88,30.19,123116
23-Oct-14,30.50,30.50,29.83,30.15,154487
22-Oct-14,30.02,30.59,29.91,30.12,154575
21-Oct-14,29.97,30.61,29.80,30.15,207137
20-Oct-14,29.97,30.38,29.58,30.02,88285
17-Oct-14,30.03,30.44,29.60,30.18,233089
16-Oct-14,29.99,30.86,29.46,29.92,239153
15-Oct-14,30.35,30.71,29.93,30.54,101169
14-Oct-14,30.64,30.71,30.24,30.57,191653
13-Oct-14,30.23,30.75,29.94,30.28,396193
10-Oct-14,29.67,30.59,29.67,30.06,141228
9-Oct-14,30.85,30.92,29.76,29.85,104760
8-Oct-14,30.20,30.98,29.78,30.84,77089
7-Oct-14,30.49,30.60,30.09,30.21,177378
6-Oct-14,30.04,30.74,30.02,30.54,137641
3-Oct-14,30.03,30.71,29.85,29.91,173848
2-Oct-14,29.51,30.09,29.30,29.67,133361
1-Oct-14,29.79,30.08,29.24,29.35,234222
30-Sep-14,30.57,30.57,29.83,29.93,95847
29-Sep-14,30.51,30.78,30.35,30.66,66487
26-Sep-14,30.81,31.21,30.34,30.78,96673
25-Sep-14,30.60,30.94,30.50,30.59,120718
24-Sep-14,31.15,31.20,30.65,30.77,142675
23-Sep-14,30.83,31.23,30.59,30.98,124472
22-Sep-14,31.14,31.60,30.52,31.14,133106
19-Sep-14,31.69,31.69,31.00,31.54,150038
18-Sep-14,30.80,31.66,30.65,31.48,179347
17-Sep-14,31.50,31.64,30.65,30.81,200080
16-Sep-14,31.75,32.02,31.13,31.57,145392
15-Sep-14,32.75,33.16,31.70,31.78,120552
12-Sep-14,32.94,33.22,32.64,32.87,52343
11-Sep-14,32.67,33.05,32.66,32.76,69269
10-Sep-14,32.55,32.98,32.26,32.86,80532
9-Sep-14,32.31,33.11,32.29,32.50,98339
8-Sep-14,33.40,34.00,32.15,32.61,547522
5-Sep-14,34.07,34.12,33.43,33.69,164285
4-Sep-14,35.14,35.14,33.95,34.24,170228
3-Sep-14,35.95,36.30,34.86,35.05,201156
2-Sep-14,35.00,35.91,34.58,35.62,134228
29-Aug-14,34.17,34.84,34.03,34.62,45922
28-Aug-14,34.40,34.53,34.06,34.17,29733
27-Aug-14,34.52,34.72,34.24,34.35,47261
26-Aug-14,34.82,35.22,34.25,34.63,135289
25-Aug-14,34.72,35.82,34.09,34.66,178726
22-Aug-14,34.36,35.26,34.32,34.65,172965
21-Aug-14,35.21,35.21,34.25,34.60,186116
20-Aug-14,35.88,35.91,34.78,34.86,92805
19-Aug-14,36.00,36.48,35.32,35.67,139946
18-Aug-14,35.56,36.19,35.12,35.89,85370
15-Aug-14,35.95,35.95,34.75,35.03,138493
14-Aug-14,35.80,36.44,35.37,35.96,350747
13-Aug-14,34.89,36.13,34.89,35.35,350984
12-Aug-14,31.66,36.98,31.66,34.89,653252
11-Aug-14,36.50,38.57,36.50,38.25,118632
8-Aug-14,37.05,37.05,36.10,36.43,91757
7-Aug-14,37.18,37.50,35.93,36.62,140044
6-Aug-14,36.30,37.21,36.30,36.90,89158
5-Aug-14,36.88,37.26,36.34,36.74,205364
4-Aug-14,37.24,37.60,36.54,37.06,48632
1-Aug-14,37.90,37.90,36.36,37.24,97436
31-Jul-14,37.87,38.18,37.50,37.78,130544
30-Jul-14,37.68,38.36,37.57,38.10,99548
29-Jul-14,37.76,38.20,37.08,37.66,249176
28-Jul-14,36.50,38.55,36.05,37.76,286634
25-Jul-14,36.32,36.50,35.81,36.05,21196
24-Jul-14,36.24,36.72,36.00,36.64,113718
23-Jul-14,35.62,36.17,35.42,36.00,140540
22-Jul-14,35.06,37.14,34.92,35.62,231240
21-Jul-14,34.78,34.97,34.33,34.85,68794
18-Jul-14,34.50,35.00,34.26,34.83,89230
17-Jul-14,34.40,34.50,33.85,34.34,139556
16-Jul-14,35.02,35.10,34.19,34.44,104776
15-Jul-14,34.44,35.12,33.95,34.96,235882
14-Jul-14,34.72,35.00,34.36,34.51,136630
11-Jul-14,34.41,34.72,33.82,34.26,115418
10-Jul-14,34.50,34.64,34.26,34.40,93234
9-Jul-14,34.82,35.20,34.34,34.82,109248
8-Jul-14,35.98,35.98,34.10,34.76,290764
7-Jul-14,35.96,36.22,35.20,36.02,284866
3-Jul-14,36.31,37.15,35.76,36.06,86488
2-Jul-14,34.70,37.84,33.46,36.50,623568
1-Jul-14,32.88,34.94,32.68,34.52,142636
30-Jun-14,32.40,33.05,32.22,32.98,473728
27-Jun-14,31.26,32.76,31.26,32.62,479576
26-Jun-14,32.51,32.60,32.00,32.58,144666
