Date,Open,High,Low,Close,Volume
31-Dec-14,31.69,31.69,29.50,31.20,31642
30-Dec-14,30.96,31.75,30.91,31.49,5400
29-Dec-14,31.67,31.72,30.52,31.38,7785
26-Dec-14,31.36,31.75,30.19,31.30,12366
24-Dec-14,31.17,31.49,30.83,31.47,4240
23-Dec-14,30.29,30.97,29.92,30.64,8594
22-Dec-14,31.04,31.04,29.53,30.17,14343
19-Dec-14,28.69,30.36,28.33,29.56,48304
18-Dec-14,28.22,29.27,27.68,28.77,20333
17-Dec-14,27.86,28.23,26.97,28.23,28458
16-Dec-14,25.89,27.98,25.89,27.77,26222
15-Dec-14,27.13,27.18,25.34,25.98,22285
12-Dec-14,27.93,28.01,26.70,27.16,28316
11-Dec-14,29.25,29.40,27.18,28.43,25208
10-Dec-14,30.27,30.30,28.90,28.91,24714
9-Dec-14,29.32,30.30,29.20,30.30,8231
8-Dec-14,29.50,30.02,29.10,29.72,21090
5-Dec-14,29.81,30.29,28.95,29.83,22930
4-Dec-14,30.06,30.29,29.87,29.87,4216
3-Dec-14,30.55,30.55,29.87,30.06,7880
2-Dec-14,29.90,30.20,29.90,30.16,7380
1-Dec-14,30.72,30.72,29.88,30.11,13356
28-Nov-14,30.71,31.01,30.32,30.32,4324
26-Nov-14,30.60,31.00,30.34,30.87,4524
25-Nov-14,29.95,31.29,29.95,30.83,15685
24-Nov-14,30.86,31.32,29.87,30.96,10292
21-Nov-14,31.65,31.65,30.49,30.97,12152
20-Nov-14,30.93,31.40,30.57,31.39,9200
19-Nov-14,31.32,31.32,30.39,30.90,35302
18-Nov-14,31.68,31.75,31.25,31.32,11410
17-Nov-14,31.35,31.72,31.13,31.68,30731
14-Nov-14,31.10,31.64,30.78,31.35,20274
13-Nov-14,31.75,31.75,30.74,30.93,24032
12-Nov-14,30.93,31.75,30.93,31.74,17623
11-Nov-14,31.50,31.66,31.10,31.35,18082
10-Nov-14,31.52,31.71,31.18,31.50,31743
7-Nov-14,31.25,31.60,31.15,31.44,9148
6-Nov-14,31.00,31.44,30.80,31.25,26922
5-Nov-14,30.55,31.00,30.53,30.99,17948
4-Nov-14,29.78,30.55,29.78,30.41,30466
3-Nov-14,29.93,30.05,29.68,30.03,11979
31-Oct-14,29.65,30.10,29.65,30.05,25223
30-Oct-14,28.69,29.59,28.59,29.59,17734
29-Oct-14,28.51,29.04,28.42,28.90,11816
28-Oct-14,28.39,28.90,28.39,28.86,14609
27-Oct-14,27.72,28.46,27.28,28.09,8874
24-Oct-14,28.23,28.50,27.98,27.99,7202
23-Oct-14,27.38,28.50,27.38,28.38,13925
22-Oct-14,28.50,28.50,27.48,27.73,24585
21-Oct-14,27.40,28.44,27.01,28.26,23287
20-Oct-14,27.07,27.35,26.61,27.35,15072
17-Oct-14,27.40,27.40,27.26,27.35,8515
16-Oct-14,26.81,27.35,26.64,27.32,17161
15-Oct-14,26.61,27.30,26.55,27.29,19251
14-Oct-14,27.00,27.10,26.33,27.09,25304
13-Oct-14,25.86,26.92,24.82,26.92,18638
10-Oct-14,25.79,26.45,24.65,26.00,19508
9-Oct-14,24.87,26.77,24.87,26.00,29356
8-Oct-14,25.54,26.80,25.32,26.57,20201
7-Oct-14,25.52,26.31,25.17,25.60,11628
6-Oct-14,26.26,26.49,25.47,25.77,12074
3-Oct-14,25.91,26.15,25.38,25.78,16417
2-Oct-14,25.68,25.92,25.37,25.63,8916
1-Oct-14,26.09,26.33,24.12,25.57,16920
30-Sep-14,26.87,27.09,25.88,25.90,22365
29-Sep-14,26.43,27.04,24.56,26.95,22459
26-Sep-14,26.72,26.85,26.34,26.83,9942
25-Sep-14,26.72,26.92,26.66,26.67,8430
