Date,Open,High,Low,Close,Volume
31-Dec-14,5.57,5.62,5.28,5.32,1122788
30-Dec-14,5.94,5.94,5.50,5.56,1193033
29-Dec-14,6.20,6.26,5.80,5.86,1129432
26-Dec-14,5.82,6.26,5.82,6.13,1216905
24-Dec-14,5.81,5.98,5.60,5.81,721235
23-Dec-14,6.23,6.61,5.88,5.92,5435118
22-Dec-14,6.01,6.05,5.24,5.32,1907332
19-Dec-14,5.98,6.12,5.85,6.10,877709
18-Dec-14,5.96,6.50,5.89,5.99,1554793
17-Dec-14,5.85,6.24,5.78,5.82,1302852
16-Dec-14,6.46,6.64,5.70,5.70,2243039
15-Dec-14,7.59,7.62,6.50,6.58,2334473
12-Dec-14,7.81,7.93,7.54,7.62,663047
11-Dec-14,8.20,8.36,7.74,7.93,1114417
10-Dec-14,8.33,8.65,7.90,8.02,1650539
9-Dec-14,7.64,8.28,7.34,8.20,1915721
8-Dec-14,7.60,8.57,7.60,8.18,4933353
5-Dec-14,7.58,7.75,7.23,7.48,1400113
4-Dec-14,6.91,8.10,6.91,7.43,5325233
3-Dec-14,6.74,6.98,6.72,6.86,260906
2-Dec-14,6.99,7.28,6.75,6.82,782859
1-Dec-14,7.17,7.17,6.68,6.70,581183
28-Nov-14,7.26,7.33,7.09,7.23,284780
26-Nov-14,7.25,7.30,7.07,7.18,466297
25-Nov-14,7.15,7.19,6.76,7.17,816432
24-Nov-14,7.42,7.57,7.13,7.19,846558
21-Nov-14,7.33,7.77,7.06,7.18,2107786
20-Nov-14,6.74,7.04,6.74,6.97,459706
19-Nov-14,6.80,6.92,6.61,6.74,544122
18-Nov-14,6.89,7.15,6.85,6.89,622866
17-Nov-14,7.10,7.25,6.73,6.96,1119130
14-Nov-14,6.50,7.48,6.45,7.35,2459704
13-Nov-14,7.11,7.18,6.50,6.56,1218845
12-Nov-14,7.04,7.63,6.96,7.20,1685144
11-Nov-14,7.12,7.95,7.12,7.49,9982381
