Date,Open,High,Low,Close,Volume
31-Dec-14,72.28,72.48,71.24,71.43,123474
30-Dec-14,71.92,72.80,71.75,71.91,96548
29-Dec-14,71.56,72.74,71.54,72.00,183570
26-Dec-14,71.37,72.51,71.36,71.83,126689
24-Dec-14,70.92,72.10,70.92,71.22,84930
23-Dec-14,71.24,71.98,70.16,71.00,146200
22-Dec-14,71.70,71.92,70.70,70.83,170065
19-Dec-14,71.26,72.01,71.05,71.75,367212
18-Dec-14,71.37,72.26,70.60,71.68,202426
17-Dec-14,70.55,71.82,69.36,70.65,228332
16-Dec-14,70.15,71.32,69.80,70.17,226378
15-Dec-14,71.35,71.50,70.02,70.51,216479
12-Dec-14,71.81,71.81,70.10,71.11,198575
11-Dec-14,73.13,74.09,72.28,72.68,203012
10-Dec-14,73.80,74.60,72.75,72.95,155910
9-Dec-14,72.61,75.30,72.61,74.16,168625
8-Dec-14,73.21,73.99,72.83,73.08,137508
5-Dec-14,73.01,74.54,73.01,73.60,142443
4-Dec-14,73.40,73.95,73.06,73.16,231309
3-Dec-14,72.89,74.14,72.37,73.60,193192
2-Dec-14,73.22,73.95,72.48,73.17,292088
1-Dec-14,72.67,73.98,72.59,73.16,172512
28-Nov-14,74.07,74.48,72.50,72.78,110347
26-Nov-14,73.91,75.11,73.56,74.24,140593
25-Nov-14,73.25,74.53,73.25,73.65,164137
24-Nov-14,72.86,73.99,72.56,73.15,93837
21-Nov-14,73.80,74.52,72.62,72.99,166494
20-Nov-14,71.30,73.43,70.32,73.01,251728
19-Nov-14,72.58,72.58,70.86,71.70,175160
18-Nov-14,72.83,73.64,72.70,72.78,160105
17-Nov-14,72.71,72.95,72.29,72.65,162918
14-Nov-14,71.82,73.54,71.10,72.65,514859
13-Nov-14,72.38,72.85,71.74,71.96,159770
12-Nov-14,71.50,72.74,71.50,72.61,183840
11-Nov-14,71.53,72.23,71.25,71.64,171895
10-Nov-14,72.33,72.62,71.16,71.77,281184
7-Nov-14,71.02,72.45,71.02,72.35,228615
6-Nov-14,70.10,71.33,69.87,70.77,241199
5-Nov-14,70.24,71.00,69.53,70.02,199545
4-Nov-14,70.23,70.49,69.14,69.83,215469
3-Nov-14,69.52,70.44,68.86,70.15,275980
31-Oct-14,69.86,69.86,68.85,69.55,310643
30-Oct-14,69.26,69.43,68.26,69.12,217455
29-Oct-14,69.13,69.86,68.63,69.31,249817
28-Oct-14,69.28,70.01,68.69,69.21,261274
27-Oct-14,69.85,69.85,68.28,68.92,314021
24-Oct-14,70.75,71.39,69.75,69.97,280685
