Date,Open,High,Low,Close,Volume
31-Dec-14,9.60,9.60,9.02,9.12,452183
30-Dec-14,9.80,9.98,9.55,9.63,125481
29-Dec-14,10.20,10.30,9.70,9.85,178795
26-Dec-14,9.93,10.20,9.82,10.15,122600
24-Dec-14,9.90,9.96,9.76,9.93,47989
23-Dec-14,9.80,10.04,9.65,9.93,158813
22-Dec-14,9.50,9.74,9.50,9.61,105461
19-Dec-14,9.41,9.61,9.22,9.59,431795
18-Dec-14,9.25,9.58,9.20,9.44,234835
17-Dec-14,8.57,9.17,8.42,9.10,219391
16-Dec-14,8.52,8.75,8.52,8.54,207431
15-Dec-14,8.56,8.89,8.39,8.45,229036
12-Dec-14,8.69,8.90,8.38,8.41,143870
11-Dec-14,9.00,9.26,8.84,8.84,163189
10-Dec-14,9.15,9.33,8.97,9.01,199422
9-Dec-14,8.97,9.17,8.51,9.07,357279
8-Dec-14,9.30,9.40,9.10,9.11,201329
5-Dec-14,9.19,9.48,9.06,9.27,132234
4-Dec-14,8.98,9.39,8.84,9.21,185349
3-Dec-14,9.03,9.20,8.92,8.96,329412
2-Dec-14,9.10,9.27,9.04,9.10,123713
1-Dec-14,9.33,9.39,9.07,9.16,175729
28-Nov-14,9.58,9.83,9.34,9.39,74776
26-Nov-14,9.65,9.81,9.56,9.58,88871
25-Nov-14,9.90,9.98,9.71,9.72,106894
24-Nov-14,9.80,9.99,9.75,9.85,144448
21-Nov-14,9.98,10.06,9.64,9.71,109444
20-Nov-14,9.75,9.93,9.67,9.78,94487
19-Nov-14,9.98,10.18,9.70,9.80,148378
18-Nov-14,10.05,10.48,10.01,10.13,240378
17-Nov-14,9.61,10.03,9.61,9.94,256453
14-Nov-14,9.82,9.94,9.60,9.66,182133
13-Nov-14,9.65,9.89,9.65,9.76,122870
12-Nov-14,9.51,9.67,9.34,9.62,220991
11-Nov-14,10.00,10.05,9.70,9.77,184287
10-Nov-14,10.08,10.46,9.75,10.00,254980
7-Nov-14,10.55,11.37,9.91,10.00,297521
6-Nov-14,11.50,11.50,10.34,10.42,328714
5-Nov-14,12.77,12.90,11.47,11.50,281277
4-Nov-14,12.93,13.28,12.53,12.62,174210
3-Nov-14,13.60,13.85,12.85,12.89,173220
31-Oct-14,18.70,18.70,17.90,17.98,170437
30-Oct-14,18.29,18.39,17.64,18.28,128035
29-Oct-14,17.99,18.45,17.85,18.30,145408
28-Oct-14,17.09,17.90,17.08,17.86,172928
27-Oct-14,16.51,16.89,16.45,16.87,64367
24-Oct-14,16.58,16.77,16.10,16.52,52301
23-Oct-14,16.60,16.87,16.52,16.62,98670
22-Oct-14,16.68,16.72,16.44,16.47,86187
21-Oct-14,16.40,16.66,16.34,16.48,115681
20-Oct-14,16.23,16.50,16.06,16.31,137784
17-Oct-14,16.63,16.63,16.01,16.14,125744
16-Oct-14,16.00,16.70,16.00,16.38,142426
15-Oct-14,16.40,16.71,16.00,16.35,173329
14-Oct-14,15.98,16.90,15.91,16.34,158792
13-Oct-14,15.50,16.07,15.50,15.75,107804
10-Oct-14,15.23,15.75,15.23,15.32,109829
9-Oct-14,15.77,15.85,15.11,15.15,205905
8-Oct-14,15.07,15.75,15.07,15.73,127247
7-Oct-14,14.76,15.21,14.75,15.11,62368
6-Oct-14,14.95,15.19,14.80,14.89,86640
3-Oct-14,15.06,15.27,14.93,14.96,82876
