Date,Open,High,Low,Close,Volume
17-Dec-14,5.00,5.75,4.25,4.25,642
16-Dec-14,5.95,5.95,5.95,5.95,100
11-Dec-14,6.10,6.10,6.10,6.10,187
20-Nov-14,6.10,6.10,6.10,6.10,118
12-Nov-14,7.50,7.50,7.50,7.50,118
10-Nov-14,6.80,6.80,6.80,6.80,100
5-Nov-14,7.50,7.50,5.92,5.92,280
21-Oct-14,7.07,7.07,7.07,7.07,138
18-Sep-14,7.71,7.71,7.71,7.71,900
17-Sep-14,8.12,8.12,7.90,7.90,303
16-Sep-14,8.00,8.00,8.00,8.00,182
15-Sep-14,7.65,7.65,6.89,7.07,963
12-Sep-14,8.50,8.50,8.50,8.50,100
11-Sep-14,9.01,9.01,8.80,8.80,500
2-Sep-14,9.00,9.00,9.00,9.00,324
28-Aug-14,9.80,9.80,9.00,9.33,944
26-Aug-14,9.30,9.70,8.49,8.60,4410
21-Aug-14,9.90,9.90,9.90,9.90,1100
19-Aug-14,10.00,10.00,10.00,10.00,222
18-Aug-14,8.00,8.00,8.00,8.00,100
14-Aug-14,8.73,8.73,8.73,8.73,151
12-Aug-14,9.80,9.80,9.80,9.80,145
6-Aug-14,10.29,10.29,10.00,10.00,446
5-Aug-14,10.35,10.35,10.00,10.00,438
4-Aug-14,10.20,10.35,10.15,10.35,446
31-Jul-14,10.39,10.39,10.05,10.05,257
30-Jul-14,10.08,10.10,10.07,10.07,400
29-Jul-14,10.50,10.50,10.01,10.10,11691
28-Jul-14,9.90,10.35,9.90,10.18,62299
25-Jul-14,10.29,10.29,10.00,10.21,99253
24-Jul-14,10.27,10.30,10.27,10.30,40000
21-Jul-14,10.26,10.26,10.26,10.26,500
18-Jul-14,10.24,10.24,10.24,10.24,744
17-Jul-14,10.23,10.24,10.23,10.24,1800
16-Jul-14,10.24,10.27,10.19,10.22,4000
15-Jul-14,10.24,10.24,10.21,10.21,500
14-Jul-14,10.21,10.24,10.20,10.24,1400
11-Jul-14,10.22,10.22,10.12,10.12,1700
10-Jul-14,10.24,10.24,10.12,10.12,1500
8-Jul-14,10.14,10.14,10.13,10.13,1900
2-Jul-14,10.19,10.19,10.12,10.12,500
1-Jul-14,10.23,10.24,10.20,10.20,492
27-Jun-14,10.24,10.24,10.22,10.22,400
24-Jun-14,10.21,10.21,10.21,10.21,300
12-Jun-14,10.26,10.26,10.26,10.26,200
9-Jun-14,10.27,10.32,10.27,10.32,1837
4-Jun-14,10.22,10.26,10.21,10.26,18306
3-Jun-14,10.22,10.22,10.21,10.21,800
2-Jun-14,10.21,10.22,10.21,10.22,4300
28-May-14,10.20,10.22,10.18,10.20,107300
19-May-14,10.23,10.23,10.22,10.23,3940
16-May-14,10.19,10.19,10.19,10.19,100
15-May-14,10.18,10.18,10.18,10.18,899
14-May-14,10.28,10.28,10.18,10.23,7510
13-May-14,10.24,10.24,10.24,10.24,100
12-May-14,10.24,10.32,10.19,10.30,3400
9-May-14,10.24,10.35,10.17,10.35,11901
5-May-14,10.12,10.35,10.12,10.34,18100
1-May-14,10.19,10.34,10.19,10.34,300
30-Apr-14,10.30,10.34,10.15,10.34,4000
29-Apr-14,10.40,10.40,10.40,10.40,2000
28-Apr-14,10.21,10.35,10.17,10.35,53600
25-Apr-14,10.30,10.30,10.19,10.29,404
22-Apr-14,10.20,10.22,10.20,10.20,1006
17-Apr-14,10.18,10.28,10.15,10.17,53498
16-Apr-14,10.16,10.28,10.15,10.28,65599
14-Apr-14,10.22,10.29,10.17,10.29,5101
9-Apr-14,10.30,10.30,10.19,10.26,11401
4-Apr-14,10.30,10.30,10.20,10.20,8600
3-Apr-14,10.21,10.39,10.20,10.21,69680
2-Apr-14,10.25,10.40,10.22,10.40,32840
21-Mar-14,10.22,10.22,10.22,10.22,1000
20-Mar-14,10.23,10.23,10.23,10.23,900
19-Mar-14,10.26,10.28,10.20,10.28,25112
17-Mar-14,10.25,10.26,10.24,10.24,2000
12-Mar-14,10.21,10.26,10.21,10.26,1300
11-Mar-14,10.21,10.23,10.21,10.23,250300
7-Mar-14,10.22,10.22,10.22,10.22,1200
5-Mar-14,10.19,10.19,10.19,10.19,300
4-Mar-14,10.16,10.16,10.12,10.16,2100
27-Feb-14,10.16,10.25,10.16,10.16,500
19-Feb-14,10.35,10.35,10.23,10.23,200
18-Feb-14,10.23,10.23,10.23,10.23,200
7-Feb-14,10.16,10.16,10.16,10.16,500
6-Feb-14,10.23,10.28,10.14,10.14,32800
4-Feb-14,10.19,10.25,10.12,10.23,2700
31-Jan-14,10.18,10.30,10.12,10.15,57389
30-Jan-14,10.20,10.29,10.18,10.19,7600
29-Jan-14,10.30,10.30,10.11,10.12,139504
28-Jan-14,10.20,10.28,10.12,10.12,48200
27-Jan-14,10.24,10.27,10.17,10.17,11500
22-Jan-14,10.16,10.16,10.16,10.16,200
16-Jan-14,10.18,10.29,10.12,10.12,6500
24-Dec-13,10.23,10.23,10.19,10.20,400
20-Dec-13,10.10,10.12,10.10,10.12,31775
19-Dec-13,10.40,10.40,10.10,10.10,4200
18-Dec-13,10.20,10.50,10.14,10.14,1700
3-Dec-13,10.14,10.14,10.14,10.14,600
15-Nov-13,10.13,10.13,10.12,10.12,600
4-Nov-13,10.11,10.11,10.10,10.10,200
24-Oct-13,10.15,10.26,10.13,10.16,800
23-Oct-13,10.98,10.98,10.98,10.98,300
22-Oct-13,10.12,10.12,10.11,10.11,400
16-Oct-13,10.14,10.14,10.11,10.12,300
15-Oct-13,10.11,10.11,10.10,10.10,600
8-Oct-13,10.09,10.19,10.09,10.19,300
7-Oct-13,10.10,10.10,10.10,10.10,100
3-Oct-13,10.14,10.14,10.13,10.13,500
1-Oct-13,10.09,10.09,10.09,10.09,100
30-Sep-13,10.11,11.40,10.02,10.03,26797
28-Aug-13,10.03,10.03,10.03,10.03,1022
23-Aug-13,10.05,10.05,10.05,10.05,100
20-Aug-13,10.00,10.00,10.00,10.00,500
16-Aug-13,10.03,10.03,10.03,10.03,947
13-Aug-13,10.05,10.07,9.98,10.05,8900
23-Jul-13,9.98,9.98,9.98,9.98,222
2-Jul-13,9.90,9.90,9.90,9.90,600
20-Jun-13,9.88,9.88,9.88,9.88,100
4-Jun-13,10.00,10.00,10.00,10.00,100
3-Jun-13,-,10.00,10.00,10.00,300
31-May-13,9.86,9.86,9.86,9.86,300
24-May-13,9.84,9.87,9.84,9.87,2612
6-May-13,9.78,9.78,9.78,9.78,100
25-Apr-13,7.14,9.78,7.14,9.78,1312
16-Apr-13,9.89,9.90,9.89,9.90,300
11-Apr-13,9.95,9.98,9.95,9.98,200
10-Apr-13,9.93,9.98,9.93,9.95,600
5-Apr-13,9.51,9.70,9.51,9.70,300
4-Apr-13,9.98,9.98,9.95,9.95,1712
7-Mar-13,9.89,9.98,7.00,9.00,4100
