Date,Open,High,Low,Close,Volume
31-Dec-14,24.50,24.52,24.07,24.13,130535
30-Dec-14,24.33,24.56,24.22,24.43,100311
29-Dec-14,24.49,24.72,24.34,24.37,112950
26-Dec-14,24.50,24.55,24.36,24.47,132816
24-Dec-14,24.50,24.54,22.50,24.47,153405
23-Dec-14,24.30,24.58,24.13,24.49,145364
22-Dec-14,24.19,24.44,24.08,24.25,236541
19-Dec-14,23.87,24.14,23.49,24.12,586902
18-Dec-14,23.90,24.09,23.69,23.75,401590
17-Dec-14,23.14,23.80,23.01,23.52,218600
16-Dec-14,23.01,23.60,23.01,23.10,146260
15-Dec-14,23.59,23.64,22.65,23.06,170336
12-Dec-14,23.19,23.59,23.09,23.43,216357
11-Dec-14,23.44,24.13,23.42,23.51,126999
10-Dec-14,23.76,24.01,23.18,23.24,131044
9-Dec-14,23.21,24.10,22.98,23.94,179163
8-Dec-14,23.70,24.00,23.38,23.52,194997
5-Dec-14,23.31,23.88,23.31,23.79,136532
4-Dec-14,23.43,23.74,23.09,23.28,146696
3-Dec-14,23.42,23.97,23.20,23.47,183454
2-Dec-14,23.13,23.59,23.09,23.39,135426
1-Dec-14,23.20,23.39,22.88,23.09,150085
28-Nov-14,23.83,24.01,23.30,23.34,66816
26-Nov-14,23.50,23.94,23.31,23.81,175301
25-Nov-14,22.92,23.66,22.92,23.20,179608
24-Nov-14,22.90,22.99,22.63,22.90,198968
21-Nov-14,23.29,23.41,22.69,22.89,145409
20-Nov-14,22.69,23.14,22.52,22.89,144935
19-Nov-14,23.27,23.31,22.73,22.83,148181
18-Nov-14,23.44,23.66,23.21,23.34,197290
17-Nov-14,23.65,23.96,23.28,23.39,162775
14-Nov-14,23.65,23.90,23.27,23.72,276080
13-Nov-14,23.96,24.14,23.59,23.69,182199
12-Nov-14,23.35,24.00,23.08,23.83,240478
11-Nov-14,23.41,23.59,23.29,23.43,266138
10-Nov-14,23.26,23.53,23.10,23.37,297837
7-Nov-14,23.42,23.55,23.09,23.21,260844
6-Nov-14,23.13,23.53,23.05,23.45,181512
5-Nov-14,23.17,23.42,22.83,23.05,144971
4-Nov-14,23.10,23.49,22.94,22.99,254186
3-Nov-14,23.15,23.37,22.87,23.12,236686
31-Oct-14,23.50,23.71,23.05,23.15,340816
30-Oct-14,22.42,23.10,22.42,23.04,320639
29-Oct-14,22.15,23.46,21.72,22.55,540056
28-Oct-14,20.56,21.67,20.38,21.37,257249
27-Oct-14,20.12,20.57,19.97,20.52,324682
24-Oct-14,20.73,20.90,20.30,20.34,202505
23-Oct-14,20.44,20.77,20.01,20.67,235614
22-Oct-14,20.48,20.68,20.14,20.28,361299
21-Oct-14,19.94,20.44,19.67,20.39,239033
20-Oct-14,20.17,20.36,19.77,19.85,234475
17-Oct-14,20.28,20.52,20.03,20.32,163700
16-Oct-14,19.77,20.30,19.73,19.97,341475
15-Oct-14,19.65,20.40,18.65,20.20,299359
14-Oct-14,20.43,20.56,20.01,20.09,283000
