Date,Open,High,Low,Close,Volume
31-Dec-14,14.70,14.70,14.42,14.46,196331
30-Dec-14,14.59,14.79,14.55,14.69,287284
29-Dec-14,14.48,14.58,14.41,14.52,167493
26-Dec-14,14.55,14.66,14.52,14.53,93498
24-Dec-14,14.70,14.82,14.56,14.56,127858
23-Dec-14,14.42,14.84,14.37,14.67,518311
22-Dec-14,13.89,14.44,13.87,14.39,438301
19-Dec-14,13.97,14.06,13.83,13.90,708204
18-Dec-14,13.96,14.15,13.82,13.91,441775
17-Dec-14,13.54,13.83,13.34,13.77,355036
16-Dec-14,13.25,13.62,13.25,13.47,551379
15-Dec-14,13.81,14.06,13.48,13.50,526233
12-Dec-14,13.80,13.95,13.69,13.78,496599
11-Dec-14,14.16,14.21,13.95,13.96,301492
10-Dec-14,13.98,14.15,13.94,14.06,461537
9-Dec-14,13.80,14.12,13.63,14.06,487742
8-Dec-14,14.07,14.09,13.87,13.98,388290
5-Dec-14,14.10,14.25,14.00,14.18,165045
4-Dec-14,14.18,14.25,14.00,14.10,325121
3-Dec-14,13.95,14.25,13.95,14.21,251988
2-Dec-14,13.96,14.02,13.89,14.00,217412
1-Dec-14,13.93,14.08,13.82,13.94,301420
28-Nov-14,14.06,14.06,13.85,13.98,155785
26-Nov-14,13.93,14.13,13.89,14.08,265799
25-Nov-14,13.97,14.05,13.86,13.98,261927
24-Nov-14,13.94,14.03,13.86,13.95,241699
21-Nov-14,14.07,14.10,13.91,13.95,227013
20-Nov-14,13.73,14.01,13.69,13.98,382857
19-Nov-14,13.99,13.99,13.67,13.75,364555
18-Nov-14,13.89,14.10,13.86,13.97,283545
17-Nov-14,13.90,13.99,13.63,13.85,431595
14-Nov-14,13.88,14.06,13.85,13.96,333305
13-Nov-14,14.00,14.24,13.82,13.82,610045
12-Nov-14,13.63,14.02,13.60,14.00,568674
11-Nov-14,13.51,13.64,13.45,13.56,233630
10-Nov-14,13.53,13.59,13.34,13.54,470618
7-Nov-14,13.80,14.05,13.45,13.56,514513
6-Nov-14,13.01,14.23,12.81,13.81,1441717
5-Nov-14,14.42,14.45,14.19,14.41,611120
4-Nov-14,14.03,14.36,13.86,14.35,473596
3-Nov-14,14.39,14.39,14.12,14.17,450958
31-Oct-14,14.14,14.43,14.05,14.42,453033
30-Oct-14,13.90,14.08,13.72,14.00,391480
29-Oct-14,13.95,14.12,13.91,14.00,225536
28-Oct-14,13.84,14.06,13.83,14.05,404591
27-Oct-14,13.72,13.97,13.68,13.83,346622
24-Oct-14,13.76,13.94,13.71,13.85,374505
23-Oct-14,13.38,13.85,13.38,13.67,450743
22-Oct-14,13.43,13.55,13.21,13.29,460082
21-Oct-14,13.00,13.36,12.98,13.35,309356
20-Oct-14,12.72,12.98,12.66,12.98,621585
17-Oct-14,12.90,12.98,12.71,12.72,445834
16-Oct-14,12.64,12.95,12.62,12.80,681615
15-Oct-14,12.27,12.94,12.18,12.86,524654
14-Oct-14,12.45,12.75,12.36,12.51,511743
13-Oct-14,12.47,12.60,12.14,12.31,975643
10-Oct-14,13.17,13.19,12.55,12.57,811200
9-Oct-14,13.96,13.99,13.23,13.24,442934
8-Oct-14,13.75,14.04,13.47,14.02,457191
7-Oct-14,13.95,14.08,13.76,13.76,416987
6-Oct-14,14.23,14.30,13.96,14.04,397449
3-Oct-14,14.13,14.23,14.05,14.15,252578
2-Oct-14,14.01,14.14,13.94,14.07,624120
1-Oct-14,14.17,14.28,14.03,14.07,614161
30-Sep-14,14.28,14.33,14.12,14.23,375326
29-Sep-14,14.20,14.36,14.13,14.35,240885
26-Sep-14,14.23,14.34,14.23,14.31,162002
25-Sep-14,14.34,14.43,14.12,14.19,279810
24-Sep-14,14.24,14.39,14.17,14.36,231805
23-Sep-14,14.15,14.40,14.10,14.17,204003
22-Sep-14,14.60,14.61,14.16,14.19,650140
19-Sep-14,14.70,14.75,14.62,14.69,456341
18-Sep-14,14.52,14.77,14.52,14.62,257910
17-Sep-14,14.54,14.89,14.48,14.51,286499
16-Sep-14,14.32,14.64,14.32,14.61,216700
15-Sep-14,14.70,14.70,14.33,14.42,426598
12-Sep-14,14.93,14.93,14.65,14.70,225227
11-Sep-14,14.68,14.99,14.60,14.98,386466
10-Sep-14,14.71,14.81,14.51,14.71,387548
9-Sep-14,14.64,14.75,14.55,14.64,302125
8-Sep-14,14.91,15.23,14.70,14.70,422851
5-Sep-14,14.83,14.99,14.75,14.95,324800
