Date,Open,High,Low,Close,Volume
31-Dec-14,41.56,42.17,40.77,41.25,673769
30-Dec-14,40.73,41.49,40.00,41.44,1313777
29-Dec-14,40.44,40.99,40.11,40.80,1340308
26-Dec-14,40.25,41.49,39.51,40.78,1315874
24-Dec-14,41.15,41.95,40.90,41.11,739258
23-Dec-14,41.66,42.99,41.00,41.78,1651619
22-Dec-14,42.96,43.36,41.81,42.26,1178837
19-Dec-14,43.06,43.50,41.60,42.74,2060622
18-Dec-14,41.56,43.84,41.56,42.69,1817232
17-Dec-14,41.00,42.93,38.95,42.45,3270912
16-Dec-14,43.34,43.34,40.57,41.06,1430776
15-Dec-14,44.65,44.65,42.00,42.69,173787
12-Dec-14,42.95,45.22,39.96,42.80,651370
11-Dec-14,44.19,44.60,42.17,43.00,457891
10-Dec-14,45.65,46.18,43.38,43.60,715268
9-Dec-14,45.96,46.46,45.12,45.64,115554
8-Dec-14,46.50,46.50,45.50,45.52,1240088
5-Dec-14,46.15,46.29,45.11,46.04,288814
4-Dec-14,47.00,47.25,46.00,46.26,1607296
3-Dec-14,47.00,50.00,45.00,47.04,2961299
